docname,from,to,pre,keyword,post,pattern
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,281,281,expertise unique employees led doctors security specialists teams work night day protect members pioneer range preventive programmes strengthened country expertise deliver unrivalled emergency assistance critical,illness,accident civil unrest passionate helping clients put duty care practice expertise care global capability multinational corporate clients governments ngos can mitigate risks people working remotely,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,362,362,principles enforce workplace ensure protection human rights carried throughout company examples company s code conduct ethics policy company s policy individual rights company s occupational,health,safety policy annual submission equal opportunities women workplace agency eowa commitment corporate social responsibility via activities o kokoda track foundation o nossal scholarship o yaws,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,400,400,social responsibility via activities o kokoda track foundation o nossal scholarship o yaws study o supporting child s dream o london air ambulance o reducing,malaria,o fighting ebola principle highlights labour businesses uphold freedom association effective recognition right collective bargaining elimination forms forced compulsory labour effective abolition child labour elimination,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,727,727,code conduct sets principles elimination forced labour child labour discrimination respect principles nd enforce workplace international s committed contributing well people countries provide employment training,healthcare,pursue protection human rights believe good record area reflect ed business performance explicitly stated commitment ndividual rights policy code conduct ethics respect employees expected treat,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,845,845,ensure equal opportunities women workplace fulfil obligations equal opportunity women workplace act leaving legacy communities interna tional sos present papua new guinea close years providing,health_care,expatriates local communities time contributed development public_health offering training employment health professionals care thousands people kokoda trac k foundation international sos respect human rights ensure,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,852,852,equal opportunity women workplace act leaving legacy communities interna tional sos present papua new guinea close years providing health_care expatriates local communities time contributed development,public_health,offering training employment health professionals care thousands people kokoda trac k foundation international sos respect human rights ensure compliance international laws standards aware importance access,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,856,856,act leaving legacy communities interna tional sos present papua new guinea close years providing health_care expatriates local communities time contributed development public_health offering training employment,health,professionals care thousands people kokoda trac k foundation international sos respect human rights ensure compliance international laws standards aware importance access basic human rights health,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,881,881,health professionals care thousands people kokoda trac k foundation international sos respect human rights ensure compliance international laws standards aware importance access basic human rights,health,education developed various programs order support education health communities kokoda track foundation provides indigenous people papua new guinea education health community service programs together employees,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,889,889,foundation international sos respect human rights ensure compliance international laws standards aware importance access basic human rights health education developed various programs order support education,health,communities kokoda track foundation provides indigenous people papua new guinea education health community service programs together employees raised ktf money used build first aid post,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,901,901,importance access basic human rights health education developed various programs order support education health communities kokoda track foundation provides indigenous people papua new guinea education,health,community service programs together employees raised ktf money used build first aid post local village png addition money raised pay employment two community health workers,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,925,925,education health community service programs together employees raised ktf money used build first aid post local village png addition money raised pay employment two community,health,workers also utilised medical expertise professionals png train local health_care workers proud partnership ktf difference making people ktf thank international sos r commitment family community,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,935,935,used build first aid post local village png addition money raised pay employment two community health workers also utilised medical expertise professionals png train local,health_care,workers proud partnership ktf difference making people ktf thank international sos r commitment family community making difference supporting child s dream thailand charity focused helping,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,978,978,supporting child s dream thailand charity focused helping children suffered awake humanitarian crises mekong valley thailand cambodia established child s dream dedicated provid ing children,healthcare,education south east asia employees able build schools nurseries vocational training centres college s n addition usd raised enabled us support healthcare programs children s,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1000,1000,provid ing children healthcare education south east asia employees able build schools nurseries vocational training centres college s n addition usd raised enabled us support,healthcare,programs children s medical fund also allowing us provide first aid training teachers children london air ambulance million people within greater london london air ambulance,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1071,1071,strategic partnership charity share financial resources also medical expertise whilst creat ing fundraising activities empl oyees donated support great charity nossal scholarship nossal institute global,health,partnered international sos subsidiary international health medical services ihms promote public_health papua new guinea international sos provide programme course year programme partnership intended promote education,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1077,1077,also medical expertise whilst creat ing fundraising activities empl oyees donated support great charity nossal scholarship nossal institute global health partnered international sos subsidiary international,health,medical services ihms promote public_health papua new guinea international sos provide programme course year programme partnership intended promote education graduate research degrees global health related,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1082,1082,ing fundraising activities empl oyees donated support great charity nossal scholarship nossal institute global health partnered international sos subsidiary international health medical services ihms promote,public_health,papua new guinea international sos provide programme course year programme partnership intended promote education graduate research degrees global health related fields scholarship awarded dr patricia,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1101,1101,international health medical services ihms promote public_health papua new guinea international sos provide programme course year programme partnership intended promote education graduate research degrees global,health,related fields scholarship awarded dr patricia rar au attending melbourne school population global health launched scholarship aims support next generation leaders global health area country,health
