docname,from,to,pre,keyword,post,pattern
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,2922,2922,efficient general r ecommended indoor,temperature,c remi nding employees switch,climate
Australia-SEP-2016-SEP-HealthCareEquipment&Ser...-SEP-COP_-_International_SOS_-_September_2016.pdf?1474586455,3285,3285,energy efficient general recommended indoor,temperature,c remi nding employees switch,climate
Australia-SEP-2017-SEP-HealthCareEquipment&Ser...-SEP-UNGC_COP_-_International_SOS_-17.pdf?1507163431,4370,4370,energy efficient general recommended indoor,temperature,reminding employees switch lights leave,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,151,151,mental health digitalisation healthcare assistance,extreme_weather,conditions fuelling clients growth people,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,539,539,solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,1175,1175,evacuation emergency medical services effects,climate_change,likely continue trend well future,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,3179,3179,solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,6721,6721,weather conditions see increased impact,extreme_weather,international travel particularly hurricanes tropical,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,931,931,number examination made millions units,greenhouse,gases direct emission derivative stationary,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,976,976,criterions performance see page emission,greenhouse,gases declined last two years,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,11198,11198,practices focus impact everyday activities,climate_change,taken reduce waste raw materials,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,11238,11238,health institution publish inventory emissions,greenhouse,gases took reference yea r,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,11283,11283,dev elopment publication corporate inventories,greenhouse,gases emissions co untry aware,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,11333,11333,took initiative raise impact two,greenhouse,gases anesthetic gas considered intergovernmental,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,11388,11388,used ghg tool released evolution,greenhouse,gases emission sq1 l b,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,11568,11568,raw m aterials led reduction,greenhouse,gases sociedade believes best way,climate
