docname,from,to,pre,keyword,post,pattern
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,281,281,deliver unrivalled emergency assistance critical,illness,accident civil unrest passionate helping,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,362,362,individual rights company s occupational,health,safety policy annual submission equal,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,400,400,london air ambulance o reducing,malaria,o fighting ebola principle highlights,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,727,727,people countries provide employment training,healthcare,pursue protection human rights believe,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,845,845,new guinea close years providing,health_care,expatriates local communities time contributed,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,852,852,local communities time contributed development,public_health,offering training employment health professionals,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,856,856,development public_health offering training employment,health,professionals care thousands people kokoda,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,881,881,importance access basic human rights,health,education developed various programs order,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,889,889,various programs order support education,health,communities kokoda track foundation provides,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,901,901,people papua new guinea education,health,community service programs together employees,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,925,925,raised pay employment two community,health,workers also utilised medical expertise,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,935,935,expertise professionals png train local,health_care,workers proud partnership ktf difference,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,978,978,dream dedicated provid ing children,healthcare,education south east asia employees,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1000,1000,usd raised enabled us support,healthcare,programs children s medical fund,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1071,1071,nossal scholarship nossal institute global,health,partnered international sos subsidiary international,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1077,1077,partnered international sos subsidiary international,health,medical services ihms promote public_health,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1082,1082,health medical services ihms promote,public_health,papua new guinea international sos,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1101,1101,education graduate research degrees global,health,related fields scholarship awarded dr,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1115,1115,attending melbourne school population global,health,launched scholarship aims support next,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1124,1124,support next generation leaders global,health,area country life expectancy years,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1141,1141,die age five country impacted,malaria,tuberculosis hiv providing education fight,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1164,1164,new guinea collaboration centre international,health,research barcelona cresib provided promising,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1189,1189,treatment residents rural villages png,illness,affects mostly children age populations,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1208,1208,well personal hygiene lack sanitation,disease,currently documented presen t countries,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1241,1241,th type funding strive improve,health,well employees also communities operate,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1251,1251,operate education mosquito nets reduce,malaria,africa company operates many locations,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1257,1257,africa company operates many locations,malaria,endemic believe prevention can make,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1272,1272,africa 7th april world s,health,da y malaria use day,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1275,1275,world s health da y,malaria,use day opportunity educate reduce,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1282,1282,day opportunity educate reduce cases,malaria,international sos purchased distributed ﬁworld,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1288,1288,international sos purchased distributed ﬁworld,malaria,beads braceletsﬂ portion cost bracelet,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1309,1309,bracelets provided funds support unite,malaria,organisation program able provide mosquito,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1318,1318,provide mosquito nets helped protection,malaria,estimate d children day offices,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1337,1337,joined efforts educate surrounding communities,malaria,addition se initiatives employees donated,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1358,1358,lot useful informa tion prevent,malaria,goals international sos committed continuous,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1393,1393,program continued medical education primary,health_care,workers pilot global relationship water,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1411,1411,aust ralia continue support fight,malaria,committed purchasing anti malarial nets,health
