docname,from,to,pre,keyword,post,pattern
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L147,10,10,mental health digitalisation healthcare assistance,extreme_weather,conditions,extreme_weather
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L149,8,8,mental health digitalisation healthcare assistance,extreme_weather,conditions fuelling clients,extreme_weather
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L540,5,5,fuel growth productivity event,extreme_weather,epidemic security incident provide immediate,extreme_weather
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L3180,5,5,fuel growth productivity event,extreme_weather,epidemic security incident provide immediate,extreme_weather
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121.L11233,11,11,health institution publish inventory emissions,greenhouse,,greenhouse
Japan-SEP-2016-SEP-HealthCareEquipment&Ser...-SEP-terumo_sus_en1007.pdf?1475819550.L4327,5,5,one causes cerebral aneurysms,temperature,health body temperature health falls,temperature
Japan-SEP-2016-SEP-HealthCareEquipment&Ser...-SEP-terumo_sus_en1007.pdf?1475819550.L4327,8,8,cerebral aneurysms temperature health body,temperature,health falls elderly,temperature
Japan-SEP-2016-SEP-HealthCareEquipment&Ser...-SEP-terumo_sus_en1007.pdf?1475819550.L4330,2,2,aneurysms,temperature,health body temperature health falls,temperature
Japan-SEP-2016-SEP-HealthCareEquipment&Ser...-SEP-terumo_sus_en1007.pdf?1475819550.L4330,5,5,aneurysms temperature health body,temperature,health falls elderly people uses,temperature
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L77,4,4,impac t global,climate_change,countries health well-being signing december,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L319,3,3,join kenya,climate_change,working gro health thematic component,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L3833,1,1,,climate_change,working group kccwg sitting health,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L5425,5,5,arm kccwg matters concerning,climate_change,health kenya climate_change working group,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L5425,8,8,matters concerning climate_change health kenya,climate_change,working group kccwg,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L6476,2,2,kenya,climate_change,working group œ health thematic,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L6481,10,10,kccwg health thematic group wake,climate_change,kenya,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L6691,5,5,arm kccwg matters concerning,climate_change,health und ertake situation analysis,climate_change
Kenya-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229.L6701,4,4,looking impact s,climate_change,human health carry n impact,climate_change
Philippines-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-2017_Manila_Doctors_Communication_on_Progress_Report.pdf?1536653653.L135,2,2,effects,climate_change,risk poses human health can,climate_change
Philippines-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-2017_Manila_Doctors_Communication_on_Progress_Report.pdf?1536653653.L389,11,11,health socio economic needs brought,climate_change,,climate_change
Philippines-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-2017_Manila_Doctors_Communication_on_Progress_Report.pdf?1536653653.L519,4,4,communities affec ted,climate_change,provision healthcare services underserved areas,climate_change
Philippines-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-2017_Manila_Doctors_Communication_on_Progress_Report.pdf?1536653653.L1119,2,2,affected,climate_change,marginalized accessing quality healthcare projects,climate_change
Philippines-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-2017_Manila_Doctors_Communication_on_Progress_Report.pdf?1536653653.L1253,2,2,terms,climate_change,mitigation initiatives provision healthcare underserved,climate_change
Philippines-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-2017_Manila_Doctors_Communication_on_Progress_Report.pdf?1536653653.L1297,3,3,countryside impact,climate_change,affected livelihood health communities project,climate_change
