Year,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
1965,101,34,0,0,0,0,33.663366336633665
1966,106,34,1,0,0,0.9433962264150944,32.075471698113205
1967,110,31,0,0,0,0,28.18181818181818
1968,112,40,1,0,0,0.8928571428571428,35.714285714285715
1969,116,42,0,0,0,0,36.206896551724135
1970,70,22,0,0,0,0,31.428571428571427
1971,116,33,0,0,0,0,28.448275862068968
1972,125,47,0,0,0,0,37.6
1973,120,40,1,0,0,0.8333333333333334,33.33333333333333
1974,129,45,0,0,0,0,34.883720930232556
1975,126,30,0,0,0,0,23.809523809523807
1976,134,37,0,0,0,0,27.611940298507463
1977,140,59,2,0,0,1.4285714285714286,42.142857142857146
1978,141,50,4,0,0,2.8368794326241136,35.46099290780142
1979,144,59,2,0,0,1.3888888888888888,40.97222222222222
1980,149,63,3,0,0,2.013422818791946,42.281879194630875
1981,145,53,1,0,0,0.6896551724137931,36.55172413793103
1982,147,50,2,0,0,1.3605442176870748,34.01360544217687
1983,149,48,1,0,0,0.6711409395973155,32.21476510067114
1984,150,63,0,0,0,0,42
1985,137,79,0,0,0,0,57.66423357664233
1986,149,63,1,0,0,0.6711409395973155,42.281879194630875
1987,152,66,1,0,0,0.6578947368421052,43.42105263157895
1988,154,64,16,1,0.6493506493506493,10.38961038961039,41.55844155844156
1989,153,69,34,3,1.9607843137254901,22.22222222222222,45.09803921568628
1990,156,71,22,1,0.641025641025641,14.102564102564102,45.51282051282051
1991,162,61,30,2,1.2345679012345678,18.51851851851852,37.65432098765432
1992,167,69,28,0,0,16.766467065868262,41.31736526946108
1993,175,73,18,1,0.5714285714285714,10.285714285714285,41.714285714285715
1994,178,81,11,0,0,6.179775280898876,45.50561797752809
1995,172,86,20,4,2.3255813953488373,11.627906976744185,50
1996,183,88,24,2,1.092896174863388,13.114754098360656,48.08743169398907
1997,176,72,31,0,0,17.613636363636363,40.909090909090914
1998,181,70,30,2,1.1049723756906076,16.574585635359114,38.67403314917127
1999,181,86,18,2,1.1049723756906076,9.94475138121547,47.51381215469613
2000,178,116,33,2,1.1235955056179776,18.53932584269663,65.1685393258427
2001,189,102,32,3,1.5873015873015872,16.93121693121693,53.96825396825397
2002,188,108,30,8,4.25531914893617,15.957446808510639,57.446808510638306
2003,189,106,24,4,2.1164021164021163,12.698412698412698,56.08465608465608
2004,192,114,28,1,0.5208333333333333,14.583333333333334,59.375
2005,185,109,31,4,2.1621621621621623,16.756756756756758,58.91891891891892
2006,193,111,36,8,4.145077720207254,18.65284974093264,57.51295336787565
2007,191,91,161,26,13.612565445026178,84.29319371727748,47.64397905759162
2008,192,104,157,24,12.5,81.77083333333334,54.166666666666664
2009,193,101,172,31,16.06217616580311,89.11917098445595,52.331606217616574
2010,189,100,153,30,15.873015873015872,80.95238095238095,52.910052910052904
2011,194,98,136,19,9.793814432989691,70.10309278350515,50.51546391752577
2012,195,91,109,14,7.179487179487179,55.8974358974359,46.666666666666664
2013,193,122,100,17,8.808290155440414,51.813471502590666,63.212435233160626
2014,194,138,134,40,20.618556701030926,69.0721649484536,71.1340206185567
2015,193,99,147,23,11.917098445595855,76.16580310880829,51.29533678756477
2016,194,106,155,27,13.917525773195877,79.89690721649485,54.63917525773196
2017,196,92,158,19,9.693877551020408,80.61224489795919,46.93877551020408
2018,196,100,146,28,14.285714285714285,74.48979591836735,51.02040816326531
