Year,WHO,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
1965,Africa,26,11,0,0,0,0,42.30769230769231
1965,Eastern Mediterranean,15,5,0,0,0,0,33.33333333333333
1965,Europe,24,3,0,0,0,0,12.5
1965,Latin America and the Caribbean,18,6,0,0,0,0,33.33333333333333
1965,North America,2,1,0,0,0,0,50
1965,South-East Asia,5,4,0,0,0,0,80
1965,Western Pacific,10,4,0,0,0,0,40
1966,Africa,27,9,0,0,0,0,33.33333333333333
1966,Eastern Mediterranean,14,5,0,0,0,0,35.714285714285715
1966,Europe,25,4,1,0,0,4,16
1966,Latin America and the Caribbean,22,11,0,0,0,0,50
1966,North America,2,1,0,0,0,0,50
1966,South-East Asia,6,0,0,0,0,0,0
1966,Western Pacific,9,4,0,0,0,0,44.44444444444444
1967,Africa,29,10,0,0,0,0,34.48275862068966
1967,Eastern Mediterranean,15,8,0,0,0,0,53.333333333333336
1967,Europe,27,3,0,0,0,0,11.11111111111111
1967,Latin America and the Caribbean,20,5,0,0,0,0,25
1967,North America,2,1,0,0,0,0,50
1967,South-East Asia,6,1,0,0,0,0,16.666666666666664
1967,Western Pacific,10,3,0,0,0,0,30
1968,Africa,30,8,0,0,0,0,26.666666666666668
1968,Eastern Mediterranean,16,8,0,0,0,0,50
1968,Europe,26,6,0,0,0,0,23.076923076923077
1968,Latin America and the Caribbean,19,9,1,0,0,5.263157894736842,47.368421052631575
1968,North America,2,1,0,0,0,0,50
1968,South-East Asia,7,4,0,0,0,0,57.14285714285714
1968,Western Pacific,10,3,0,0,0,0,30
1969,Africa,30,11,0,0,0,0,36.666666666666664
1969,Eastern Mediterranean,16,5,0,0,0,0,31.25
1969,Europe,26,6,0,0,0,0,23.076923076923077
1969,Latin America and the Caribbean,22,12,0,0,0,0,54.54545454545454
1969,North America,2,2,0,0,0,0,100
1969,South-East Asia,7,3,0,0,0,0,42.857142857142854
1969,Western Pacific,10,3,0,0,0,0,30
1970,Africa,14,6,0,0,0,0,42.857142857142854
