year,sum_CC,sum_PH,sum_int,mean_CC,mean_PH,mean_int
1965,0,53,0,0,1.5588235294117647,0
1966,1,59,0,0.02857142857142857,1.6857142857142857,0
1967,0,49,0,0,1.5806451612903225,0
1968,1,56,0,0.024390243902439025,1.3658536585365855,0
1969,0,69,0,0,1.6428571428571428,0
1970,0,32,0,0,1.0666666666666667,0
1971,0,45,0,0,1.0975609756097562,0
1972,0,70,0,0,1.3725490196078431,0
1973,1,67,0,0.022727272727272728,1.5227272727272727,0
1974,0,69,0,0,1.4375,0
1975,0,52,0,0,1.625,0
1976,0,54,0,0,1.3846153846153846,0
1977,2,99,0,0.031746031746031744,1.5714285714285714,0
1978,7,91,0,0.1346153846153846,1.75,0
1979,2,121,0,0.03333333333333333,2.0166666666666666,0
1980,3,110,0,0.046875,1.71875,0
1981,1,97,0,0.018867924528301886,1.830188679245283,0
1982,3,73,0,0.058823529411764705,1.4313725490196079,0
1983,2,80,0,0.041666666666666664,1.6666666666666667,0
1984,0,120,0,0,1.9047619047619047,0
1985,0,155,0,0,1.9620253164556962,0
1986,1,123,0,0.015625,1.921875,0
1987,1,127,0,0.015151515151515152,1.9242424242424243,0
1988,18,122,1,0.2647058823529412,1.7941176470588236,0.014705882352941176
1989,71,126,3,0.8352941176470589,1.4823529411764707,0.03529411764705882
1990,35,142,1,0.4069767441860465,1.6511627906976745,0.011627906976744186
1991,63,107,3,0.7875,1.3375,0.0375
1992,47,127,0,0.5402298850574713,1.4597701149425288,0
1993,29,129,4,0.3493975903614458,1.5542168674698795,0.04819277108433735
1994,24,145,0,0.27906976744186046,1.686046511627907,0
1995,49,157,4,0.5444444444444444,1.7444444444444445,0.044444444444444446
1996,46,163,4,0.4791666666666667,1.6979166666666667,0.041666666666666664
1997,60,114,0,0.6741573033707865,1.2808988764044944,0
1998,79,114,2,0.8977272727272727,1.2954545454545454,0.022727272727272728
1999,55,192,7,0.5729166666666666,2,0.07291666666666667
2000,54,317,3,0.42857142857142855,2.515873015873016,0.023809523809523808
2001,78,264,9,0.6964285714285714,2.357142857142857,0.08035714285714286
2002,60,265,8,0.5084745762711864,2.2457627118644066,0.06779661016949153
2003,62,297,5,0.5391304347826087,2.582608695652174,0.043478260869565216
2004,67,270,1,0.5403225806451613,2.1774193548387095,0.008064516129032258
2005,78,282,5,0.6554621848739496,2.369747899159664,0.04201680672268908
2006,120,255,16,1,2.125,0.13333333333333333
2007,876,250,43,5.093023255813954,1.4534883720930232,0.25
2008,614,269,37,3.5697674418604652,1.563953488372093,0.21511627906976744
2009,959,252,55,5.298342541436464,1.3922651933701657,0.30386740331491713
2010,659,268,60,3.8092485549132946,1.5491329479768785,0.3468208092485549
2011,527,228,31,3.3144654088050314,1.4339622641509433,0.1949685534591195
2012,352,211,24,2.4788732394366195,1.4859154929577465,0.16901408450704225
2013,352,372,27,2.2857142857142856,2.4155844155844157,0.17532467532467533
2014,581,521,68,3.377906976744186,3.0290697674418605,0.3953488372093023
2015,652,258,35,3.8579881656804735,1.5266272189349113,0.20710059171597633
2016,608,270,42,3.619047619047619,1.6071428571428572,0.25
2017,668,215,32,3.883720930232558,1.25,0.18604651162790697
2018,610,236,47,3.630952380952381,1.4047619047619047,0.27976190476190477
