year,WHO,who_int,who_PH,who_CC
1965,Africa,0,17,0
1965,Eastern Mediterranean,0,6,0
1965,Europe,0,4,0
1965,Latin America and the Caribbean,0,11,0
1965,North America,0,2,0
1965,South-East Asia,0,4,0
1965,Western Pacific,0,9,0
1966,Africa,0,17,0
1966,Eastern Mediterranean,0,8,0
1966,Europe,0,7,1
1966,Latin America and the Caribbean,0,19,0
1966,North America,0,1,0
1966,Western Pacific,0,7,0
1967,Africa,0,16,0
1967,Eastern Mediterranean,0,11,0
1967,Europe,0,3,0
1967,Latin America and the Caribbean,0,12,0
1967,North America,0,1,0
1967,South-East Asia,0,2,0
1967,Western Pacific,0,4,0
1968,Africa,0,13,0
1968,Eastern Mediterranean,0,12,0
1968,Europe,0,6,0
1968,Latin America and the Caribbean,0,13,1
1968,North America,0,1,0
1968,South-East Asia,0,5,0
1968,Western Pacific,0,3,0
1969,Africa,0,15,0
1969,Eastern Mediterranean,0,9,0
1969,Europe,0,8,0
1969,Latin America and the Caribbean,0,26,0
1969,North America,0,3,0
1969,South-East Asia,0,4,0
1969,Western Pacific,0,4,0
1970,Africa,0,11,0
1970,Europe,0,7,0
1970,Latin America and the Caribbean,0,8,0
1970,North America,0,1,0
1970,South-East Asia,0,2,0
1970,Western Pacific,0,3,0
1971,Africa,0,16,0
1971,Eastern Mediterranean,0,7,0
1971,Europe,0,5,0
1971,Latin America and the Caribbean,0,10,0
1971,North America,0,2,0
1971,South-East Asia,0,1,0
1971,Western Pacific,0,3,0
1972,Africa,0,24,0
1972,Eastern Mediterranean,0,6,0
1972,Europe,0,9,0
1972,Latin America and the Caribbean,0,20,0
1972,North America,0,3,0
1972,South-East Asia,0,4,0
1972,Western Pacific,0,3,0
1973,Africa,0,19,0
1973,Eastern Mediterranean,0,6,0
1973,Europe,0,7,0
1973,Latin America and the Caribbean,0,23,1
1973,North America,0,2,0
1973,Western Pacific,0,10,0
1974,Africa,0,15,0
1974,Eastern Mediterranean,0,10,0
1974,Europe,0,9,0
1974,Latin America and the Caribbean,0,20,0
1974,North America,0,3,0
1974,South-East Asia,0,3,0
1974,Western Pacific,0,7,0
1975,Africa,0,17,0
1975,Eastern Mediterranean,0,3,0
1975,Europe,0,7,0
1975,Latin America and the Caribbean,0,17,0
1975,North America,0,3,0
1975,South-East Asia,0,1,0
1975,Western Pacific,0,3,0
1976,Africa,0,25,0
1976,Eastern Mediterranean,0,5,0
1976,Europe,0,5,0
1976,Latin America and the Caribbean,0,10,0
1976,North America,0,2,0
1976,South-East Asia,0,3,0
1976,Western Pacific,0,4,0
1977,Africa,0,31,0
1977,Eastern Mediterranean,0,13,0
1977,Europe,0,14,1
1977,Latin America and the Caribbean,0,20,0
1977,North America,0,1,0
1977,South-East Asia,0,8,0
1977,Western Pacific,0,10,1
1978,Africa,0,33,0
1978,Eastern Mediterranean,0,7,0
1978,Europe,0,14,3
1978,Latin America and the Caribbean,0,25,0
1978,North America,0,3,3
1978,South-East Asia,0,4,0
1978,Western Pacific,0,5,1
1979,Africa,0,42,0
1979,Eastern Mediterranean,0,10,0
1979,Europe,0,11,0
1979,Latin America and the Caribbean,0,36,1
1979,North America,0,4,1
1979,South-East Asia,0,8,0
1979,Western Pacific,0,8,0
1980,Africa,0,46,1
1980,Eastern Mediterranean,0,11,0
1980,Europe,0,11,0
1980,Latin America and the Caribbean,0,27,2
1980,North America,0,1,0
1980,South-East Asia,0,10,0
1980,Western Pacific,0,4,0
1981,Africa,0,32,0
1981,Eastern Mediterranean,0,8,0
1981,Europe,0,14,0
