docname,from,to,pre,keyword,post,pattern
CUB_1973,4245,4245,chile able get argentina abandoned andes without adequate food clothing,temperature,degrees zero argentine patrol found took barracks giving help food,climate
AUS_1977,871,871,world given scope conservation expanding conventional energy sources limited alternative,renewable_energy,sources unlikely brought commercial use short medium term expansion use,climate
NLD_1977,1468,1468,far exhausted much higher recovery rate feasible promising alternative resources,renewable_energy,least technological developments respect get support hitherto hope preparatory work,climate
DEU_1978,2033,2033,community confronted challenge smoothly leading world era oil era new,renewable_energy,sources challenge can met basis world-wide co-operation hence community welcomes,climate
DEU_1978,2055,2055,adopted sixty fifth session economic social council recommending conference new,renewable_energy,sources convened simultaneously objective establishing equitable international economic order nations,climate
JPN_1978,1469,1469,order promote efficient use existing energy sources development new sources-including,renewable_energy,country intends co-operate actively international efforts fields determined join efforts,climate
MLT_1978,1373,1373,representatives mediterranean countries meeting malta establish regional centre practical utilization,renewable_energy,sources-wind solar biomass energy future-oriented planning regional basis neglecting global,climate
USA_1978,1499,1499,basis international nuclear energy regime priority attention must given development,renewable_energy,resources many technologies already exist harnessing solar wind geothermal power,climate
USA_1978,1555,1555,united nations energy effort clearer priorities also provide up-to-date information,renewable_energy,technology examine role private sector energy development undp might also,climate
USA_1978,1571,1571,energy development undp might also expand efforts help nations assess,renewable_energy,possibilities finance testing new technologies provide training technical assistance effective,climate
MEX_1979,1463,1463,failed take production hydrocarbons account conference whose purpose study new,renewable_energy,sources make sense us excluded consideration older conventional sources consistent,climate
USA_1979,1361,1361,programmes development finance adequate support rapid application solar small hydroelectric,renewable_energy,technologies developing nations inter-american development bank proposed creation facility provide,climate
BFA_1980,1894,1894,terms dialogue producers consumers parallel research pursued intensified field new,renewable_energy,sources wind energy solar energy nuclear energy possibilities taken account,climate
JAM_1980,991,991,obligation deploy adequate financial technological resources tap potential sources new,renewable_energy,must ensure united nations conference new renewable sources energy scheduled,climate
URY_1980,2355,2355,ensure transition present-day economy based hydrocarbons economy based essentially new,renewable_energy,sources uruguay attaches particular importance problems science technology attainment development,climate
GTM_1981,879,879,utilizing natural resources applying technology suited environment make use new,renewable_energy,sources endowed nature country places experience service mankind sports guatemala,climate
GMB_1982,1834,1834,including small-scale rural projects development indigenous energy sources research new,renewable_energy,technologies world bank already estimated annual basis oil-importing developing countries,climate
KEN_1982,1881,1881,conference energy first decide question mobilization financial resources harnessing new,renewable_energy,resources regard role united nations must recognized bilateral arrange ments,climate
KEN_1982,1924,1924,necessary establish secretariat also service intergovernmental body assembly designate new,renewable_energy,sources delegation kenya stands ready participate actively discussions item now,climate
VCT_1983,2351,2351,tension-reducing term office may history record watershed change may economic,climate_change,expand political climate_change right hope dream work quest peace social,climate
VCT_1983,2354,2354,may history record watershed change may economic climate_change expand political,climate_change,right hope dream work quest peace social justice relentlessly whose,climate
CSK_1986,1597,1597,establishment universal security unfortunately year failed note decrease persistent feverish,temperature,hotbeds tension throughout world opinion just lasting peace middle east,climate
WSM_1987,794,794,can longer ignore proliferating worsening threats environment thinning ozone layer,greenhouse,effect desertification deforestation ever increasing pollution poisoning earth sea sky,climate
ATG_1988,738,738,healthy growth international trade public anxiety increased throughout world knowledge,greenhouse,effect begun impact upon planet cause even greater atmospheric changes,climate
AUT_1988,2316,2316,process ongoing work field dramatic changes environment depletion ozone layer,greenhouse,effect mention two serious environmental problems global dimension may seriously,climate
BRB_1988,747,747,environment threaten existence human race need mention done others so-called,greenhouse,effect atmospheric pollutants depletion ox e layer demand urgent attention,climate
BTN_1988,737,737,vast dumping ground furthermore experienced past summer new york know,greenhouse,effect first hand however reports world commission environment development entitled,climate
CAN_1988,1284,1284,nation one continent international problem demands believe viable international solution,greenhouse,effect deterioration ozone layer disposal toxic wastes causes legitimate concern,climate
CAN_1988,1350,1350,yet done sign ratify protocol without delay increasingly urgent question,global_warming,climate_change received serious attention international conference changing atmosphere toronto last,climate
CAN_1988,1351,1351,done sign ratify protocol without delay increasingly urgent question global_warming,climate_change,received serious attention international conference changing atmosphere toronto last june,climate
CYP_1988,1375,1375,pollution seas rivers soil deforestation desertification widening gap ozone layer,greenhouse,effect climatic changes depletion irreplaceable natural resources dumping toxic wastes,climate
GBR_1988,193,193,limit production certain industrial chemicals possibility climatic change caused increase,greenhouse,gases leading global heat trap become real concern increases predicted,climate
IDN_1988,2232,2232,assembly intensified concern issues toxic waste acid rain climatic change,greenhouse,effect depletion ozone layer desertification escalating pollution danger irreversible destruction,climate
ISL_1988,930,930,vast expanding dimension responsibility sphere ecology problems transnational character pollution,greenhouse,effect deterioration ozone layer must tackled global strategy seriously impair,climate
MDV_1988,1679,1679,seas livelihood degradation marine ecosystem rise mean sea-level due so-called,greenhouse,effect matter grave concern us last year may recalled maldives,climate
NPL_1988,1179,1179,coming broad global environmental concerns relating depletion ozone layer increase,greenhouse,effect among others spurred calls comprehensive study climate man's environment,climate
RUS_1988,2425,2425,agents mountains conventional armaments holes burnt ozone layer eroding biosphere,greenhouse,effect depletion non-renewable sources energy acid rains deserts devouring green,climate
SWE_1988,715,715,alarming research reports tell us climate begun change probable result,greenhouse,effect life-giving resources destroyed erosion desertification devastation forests people's health,climate
VCT_1988,1026,1026,deforestation desertification acid rain widening gap ozone layer climatic changes,greenhouse,effect environmental hazards must addressed international community irreversible damage done,climate
WSM_1988,1526,1526,damage already done scientists tell us thinning ozone layer resultant,greenhouse,effect cumulative results pollutants truly terrifying scientists think damage see,climate
ZWE_1988,1468,1468,tropics effects felt equally new york london tokyo much talk,greenhouse,effect year commission environment told us plausible way reversing trend,climate
ATG_1989,546,546,traffic drugs threat terrorism potential undermine sovereignty harm environment resulting,global_warming,threatens coastline every country flooding low-lying island nations complete submersion,climate
ATG_1989,660,660,indicate accumulation carbon dioxide atmosphere consequence development increase earth's average,temperature,degrees fahrenheit year resulting weather patterns make infertile large tracts,climate
ATG_1989,783,783,complex antigua barbuda accepts view enunciated commonwealth secretary-general current work,greenhouse,gases global_warming requires combined skills physicists meteorologists biologists geographers economists,climate
ATG_1989,785,785,barbuda accepts view enunciated commonwealth secretary-general current work greenhouse gases,global_warming,requires combined skills physicists meteorologists biologists geographers economists lawyers engineers,climate
BGD_1989,1284,1284,jargon everyday mass media usage concerns growing depletion ozone layer,global_warming,greenhouse effect sea-level rise acid rain toxic waste desertification deforestation,climate
BGD_1989,1285,1285,everyday mass media usage concerns growing depletion ozone layer global_warming,greenhouse,effect sea-level rise acid rain toxic waste desertification deforestation affixing,climate
BLR_1989,1333,1333,problem universal security aggravated new environmental threats pollution atmosphere water,greenhouse,effect depletion ozone layer deforestation desertification today calls urgent review,climate
BLZ_1989,1284,1284,environment acid rain ocean pollution nuclear toxic waste ozone depletion,climate_change,industrial countries account per cent carbon dioxide emissions main cause,climate
BLZ_1989,1295,1295,industrial countries account per cent carbon dioxide emissions main cause,global_warming,clearly therefore major responsibility reduce emissions rests belize concerns rain,climate
BRA_1989,1161,1161,nations inhabitants small planet condemned solidarity environmental question planetary aspects,climate_change,depletion ozone layer must discussed narrow perspective problem north south,climate
BRB_1989,312,312,current international problems debt protectionism net reverse flew financial resources,global_warming,threats earth's ozone layer creeping deserts pollution forms environmental degradation,climate
CAN_1989,1010,1010,popular reaches across colour international attention use threat sanctions contributed,climate_change,must relaxed substantial reform place even today children starve adults,climate
CAN_1989,1342,1342,proposed conference environment development let us move forward towards convention,climate_change,regard canada played leading role development united nations draft let,climate
CRI_1989,1724,1724,children perhaps even greater challenge justifiably concerned possible consequences gradual,global_warming,earth know one answer massive reforestation tropical countries destruction ozone,climate
CYP_1989,1716,1716,commend ongoing united nations environment programme world meteorological organization study,climate_change,environmental economic repercussions special united nations study key environmental issues,climate
DEU_1989,2036,2036,resisting destruction natural sources life nation affected nation bear responsibility,global_warming,destruction ozone layer desertification contamination soil air water pollutants waste,climate
DNK_1989,970,970,scientists clearly convincingly demonstrated threats environment posed depletion ozone layer,greenhouse,effect forms environmental degradation including deforestation desertification world economic summit,climate
ESP_1989,2040,2040,factor programmes development aid conference course deal questions world dimensions,greenhouse,effect protection o2one layer trans-border movements wastes things affect countries,climate
