docname,from,to,pre,keyword,post,pattern
BLR_1970,2167,2167,economic social development poverty hunger,disease,racial discrimination segregation intensification exploitation,health
BLR_1970,2395,2395,development spheres education social welfare,health,besides important determine total sum,health
BOL_1970,1427,1427,rendering invaluable services designed combat,disease,hunger promote culture education bring,health
CMR_1970,518,518,agencies particularly deal technical assistance,health,agriculture food education science culture,health
COG_1970,264,264,chance place us carry overall,health,checkup organization intoxicated technical progress,health
CRI_1970,2065,2065,without land without property without,health,know solution tragedy consists increasing,health
FRA_1970,257,257,struggle least favored peoples hunger,disease,stagnation lastly weakness resignation certain,health
GHA_1970,93,93,ensure mankind's survival war poverty,disease,ignorance underdevelopment opportunity peoples united,health
GHA_1970,1135,1135,steps provide better housing education,health,services especially low-income groups ensure,health
GHA_1970,1205,1205,decent lives free exploitation poverty,disease,ignorance pity source great disappointment,health
HTI_1970,866,866,explosion seen days always anxious,health,populations always ready undertake action,health
HTI_1970,875,875,undertake action combat least threat,epidemic,neglect combating endemic diseases formidable,health
IDN_1970,1122,1122,world still suffer agonies hunger,disease,malnutrition illiteracy unemployment addition compounded,health
IDN_1970,1123,1123,still suffer agonies hunger disease,malnutrition,illiteracy unemployment addition compounded problems,health
ISR_1970,3219,3219,middle east recent weeks cholera,disease,broke many parts appeal israeli,health
ISR_1970,3226,3226,many parts appeal israeli minister,health,cooperation colleagues neighboring countries went,health
KEN_1970,174,174,vital fields agriculture technical cooperation,public_health,development planning education international finance,health
KEN_1970,223,223,peace progress problems poverty illiteracy,disease,still haunt conscience mankind gap,health
NLD_1970,1607,1607,international level prevent spread water,air_pollution,government one hopeful forthcoming united,health
NZL_1970,263,263,world age instant communication allow,epidemic,hijacking condoned suggest time combat,health
PHL_1970,651,651,individuals remain entrapped grip hunger,malnutrition,high illiteracy inadequate education shrinking,health
PRY_1970,368,368,october index attendance schools well,nutrition,among highest latin america progress,health
RWA_1970,1251,1251,free million men chains hunger,disease,ignorance extraordinary progress science technology,health
SGP_1970,375,375,possess earth show sign immediate,mortality,fifth reality mirrored united nations,health
TUR_1970,283,283,done specialized agencies fields varied,health,education agriculture science training specialists,health
URY_1970,106,106,creation united nations longer relevant,health,great organization today considered satisfactory,health
URY_1970,1154,1154,social evolution human communities like,illness,calls adequate therapy responsibility generation,health
USA_1970,2422,2422,problem threatens growing number societies,epidemic,spread addiction dangerous drugs especially,health
VEN_1970,164,164,nations economic social cultural legal,health,fields however feel necessary disregard,health
ZAF_1970,140,140,misdirected attempting cure symptom instead,disease,despite imperfections charter basically fault,health
ZAF_1970,1072,1072,example freedom poverty want need,health,education social services freedom poverty,health
ZAF_1970,1424,1424,develop prosper real enemies africa,disease,ignorance poverty misery conquered cardinal,health
AUS_1971,1322,1322,establish sound international currency system,health,dynamic international trade developed developing,health
CIV_1971,558,558,painful question appear veritable mental,epidemic,blocks judgments critical faculties makes,health
CSK_1971,301,301,energy resources broadening co-operation fields,public_health,question taking advantage practical possibilities,health
DZA_1971,1963,1963,degradation aspects struggle-agriculture industry transport,public_health,education-which require much effort sacrifice,health
ESP_1971,1006,1006,people improvements concern education housing,health,assistance social security vocational training,health
ESP_1971,1361,1361,gravity affects physical mental moral,health,peoples speaking widespread consumption narcotics,health
FIN_1971,1314,1314,ways intertwined economic social issues,health,urbanization industrialization international trade just,health
FJI_1971,954,954,small must regarded potentially hazardous,health,fiji also associated joint protest,health
GAB_1971,1282,1282,right every man able food,health,education,health
GHA_1971,348,348,gross national product elimination poverty,disease,squalor world delegation pleased note,health
GHA_1971,1380,1380,task eradicating hunger poverty ignorance,disease,third world well remind problems,health
GHA_1971,2178,2178,us free poverty hunger ignorance,disease,vision courage session accepts challenge,health
GTM_1971,285,285,well encourage feeding peoples ensuring,health,social justice equity international relations,health
IDN_1971,1866,1866,position secretary-general wish family best,health,happiness hope however united nations,health
IRL_1971,458,458,para one mankind's victories war,malaria,million people now live areas,health
JAM_1971,503,503,un-diversified meager diets insufficient facilities,health,education can tackling problems efforts,health
JAM_1971,769,769,countries polluted atmosphere oceans problems,health,poor living conditions developing countries,health
KWT_1971,1585,1585,road indicated months ago world,health,organization whose assembly warned resolution,health
KWT_1971,1612,1612,suspension israel's voting privileges world,health,organization well services israel entitled,health
MEX_1971,888,888,peaceful paths just aspirations freedom,health,food housing education full employment,health
MLI_1971,169,169,thanks concerted efforts sickness ignorance,malnutrition,give way better economic future,health
MYS_1971,1958,1958,wish prayer family enjoy continued,health,happiness years come,health
NER_1971,865,865,millions millions people suffering hunger,disease,international development strategy second united,health
NIC_1971,582,582,miles width adjacent zone reasons,health,defense determined closest adherence practices,health
NIC_1971,1609,1609,national orders must wipe poverty,disease,inequality educational economic opportunities guarantee,health
QAT_1971,493,493,economic social planning housing transport,health,realize course many fields still,health
RWA_1971,1165,1165,social justice believe gentlemen hunger,illness,ignorance throughout world dangerous happiness,health
SAU_1971,170,170,many international conflict discharging duties,health,bound suffer inasmuch solicitous personal,health
SDN_1971,475,475,military expenditure exactly amount spent,health,education whole world per cent,health
SDN_1971,484,484,per cent education per cent,health,world course changed overnight efforts,health
SLE_1971,107,107,special political affairs whose retirement,health,grounds just announced fondly remember,health
SLE_1971,130,130,delegation prays speedy return perfect,health,happy retirement part gives particular,health
SLV_1971,1552,1552,exercise expression wills can maintain,health,political bodies today way domestic,health
SWE_1971,948,948,collapse social order region famine,epidemic,diseases spreading among population million,health
TCD_1971,1485,1485,subject discussion august assembly never,illness,thoroughly diagnosed doctor result tins,health
TGO_1971,82,82,facing wish much courage excellent,health,may time still charge organization,health
TGO_1971,1500,1500,agriculture organization united nations world,health,organization united nations educational scientific,health
TTO_1971,963,963,protection natural environment control marine,air_pollution,certain united nations new field,health
TTO_1971,1083,1083,man today world faces hunger,disease,billions dollars wasted creation weapons,health
TUN_1971,193,193,able mr secretary-general undoubtedly sacrificing,health,keep organization right path tunisia,health
USA_1971,830,830,wish emphasize undiminished concern economic,health,nations latin america nations developing,health
USA_1971,1472,1472,differences reducing world's armaments curbing,epidemic,spread narcotics addiction protecting environment,health
VEN_1971,476,476,states alone isolated concert nations,health,economy agriculture science arts short,health
ZAF_1971,513,513,states contend various problems economic,health,educational technical agricultural fields south,health
