Text,Types,Tokens,Sentences,Country,Session,Year
ALB_1970,1728,9078,256,ALB,25,1970
ARG_1970,1425,5192,218,ARG,25,1970
AUS_1970,1612,5690,270,AUS,25,1970
AUT_1970,1340,4717,164,AUT,25,1970
BEL_1970,1288,4786,207,BEL,25,1970
BLR_1970,1427,6138,204,BLR,25,1970
BOL_1970,1560,5613,225,BOL,25,1970
BRA_1970,1333,4427,154,BRA,25,1970
CAN_1970,728,1887,97,CAN,25,1970
CMR_1970,928,3144,106,CMR,25,1970
COG_1970,1071,3122,110,COG,25,1970
COL_1970,1787,6761,262,COL,25,1970
CRI_1970,1478,5453,206,CRI,25,1970
CUB_1970,1297,4501,182,CUB,25,1970
DOM_1970,1108,3919,128,DOM,25,1970
DZA_1970,1209,4452,171,DZA,25,1970
ECU_1970,1475,5146,190,ECU,25,1970
FRA_1970,1114,3496,144,FRA,25,1970
GBR_1970,939,3265,150,GBR,25,1970
GHA_1970,1236,4392,153,GHA,25,1970
GIN_1970,1083,3643,145,GIN,25,1970
GMB_1970,1363,4596,166,GMB,25,1970
GTM_1970,835,2591,98,GTM,25,1970
HND_1970,998,2908,100,HND,25,1970
HTI_1970,1332,4075,96,HTI,25,1970
IDN_1970,1072,3187,144,IDN,25,1970
IND_1970,1182,3917,183,IND,25,1970
IRN_1970,1059,3244,162,IRN,25,1970
IRQ_1970,1152,4243,157,IRQ,25,1970
ISL_1970,1040,3893,159,ISL,25,1970
ISR_1970,2108,8569,368,ISR,25,1970
ITA_1970,881,2705,98,ITA,25,1970
JPN_1970,981,3669,139,JPN,25,1970
KEN_1970,1224,3772,194,KEN,25,1970
KHM_1970,1307,4984,152,KHM,25,1970
KWT_1970,987,3019,122,KWT,25,1970
LBN_1970,678,1877,76,LBN,25,1970
LBR_1970,1378,4631,202,LBR,25,1970
LBY_1970,932,2956,104,LBY,25,1970
LKA_1970,1408,4570,163,LKA,25,1970
MAR_1970,1310,4637,163,MAR,25,1970
MDG_1970,953,2925,90,MDG,25,1970
MEX_1970,1286,4433,158,MEX,25,1970
MMR_1970,1010,3309,110,MMR,25,1970
NLD_1970,1282,4246,174,NLD,25,1970
NOR_1970,856,2444,115,NOR,25,1970
NZL_1970,1327,4320,196,NZL,25,1970
PAK_1970,2104,8547,333,PAK,25,1970
PER_1970,1359,4959,157,PER,25,1970
PHL_1970,769,1986,98,PHL,25,1970
PRY_1970,1115,3696,118,PRY,25,1970
RWA_1970,1027,3157,114,RWA,25,1970
SDN_1970,1519,5023,206,SDN,25,1970
SGP_1970,898,2663,115,SGP,25,1970
SLE_1970,1319,4090,150,SLE,25,1970
SLV_1970,1766,7512,256,SLV,25,1970
SOM_1970,1383,5161,191,SOM,25,1970
SYR_1970,1397,4917,227,SYR,25,1970
TGO_1970,1265,4134,152,TGO,25,1970
THA_1970,1515,5118,193,THA,25,1970
TTO_1970,1106,3607,132,TTO,25,1970
TUN_1970,1355,4896,199,TUN,25,1970
TUR_1970,1326,4501,213,TUR,25,1970
UKR_1970,1365,5042,217,UKR,25,1970
URY_1970,1388,4565,143,URY,25,1970
USA_1970,1610,6326,276,USA,25,1970
VEN_1970,1200,4184,223,VEN,25,1970
YUG_1970,966,3112,121,YUG,25,1970
ZAF_1970,1150,4166,164,ZAF,25,1970
ZMB_1970,1303,4386,212,ZMB,25,1970
AFG_1971,1180,4475,181,AFG,26,1971
ALB_1971,1804,8687,263,ALB,26,1971
ARG_1971,1495,5344,227,ARG,26,1971
AUS_1971,1086,3857,180,AUS,26,1971
AUT_1971,1104,3616,154,AUT,26,1971
BDI_1971,1825,6420,266,BDI,26,1971
BEL_1971,1312,4543,190,BEL,26,1971
BEN_1971,781,2184,81,BEN,26,1971
BFA_1971,1319,5035,195,BFA,26,1971
BGR_1971,1158,4505,182,BGR,26,1971
BLR_1971,1481,6597,199,BLR,26,1971
BOL_1971,1822,6576,257,BOL,26,1971
BRA_1971,1221,3907,128,BRA,26,1971
CAF_1971,1134,3806,158,CAF,26,1971
CAN_1971,1008,3205,116,CAN,26,1971
CHL_1971,1376,5051,174,CHL,26,1971
CHN_1971,1083,3176,152,CHN,26,1971
CIV_1971,1506,5273,208,CIV,26,1971
CMR_1971,1007,3025,133,CMR,26,1971
COD_1971,1246,4313,168,COD,26,1971
COG_1971,1274,4053,134,COG,26,1971
COL_1971,1587,5818,204,COL,26,1971
CSK_1971,858,2840,114,CSK,26,1971
CUB_1971,1090,3831,137,CUB,26,1971
CYP_1971,1269,5023,173,CYP,26,1971
DOM_1971,1384,5376,202,DOM,26,1971
DZA_1971,1451,5474,183,DZA,26,1971
ECU_1971,1432,5157,169,ECU,26,1971
EGY_1971,1461,6721,285,EGY,26,1971
ESP_1971,1257,4069,173,ESP,26,1971
