docname,from,to,pre,keyword,post,pattern
BLR_1970,2167,2167,part activity organs far rights chinese people's republic united nations restored majority states faced vast difficult problems remain solved field economic social development poverty hunger,disease,racial discrimination segregation intensification exploitation unemployment lot millions people capitalist world backwardness many countries asia africa latin america stemming colonialist neo-colonialist systems imperialist powers remains,health
BLR_1970,2395,2395,cultural wealth siphoned metropolitan countries losses resulting inequitable trade deliberate development predominantly one-crop economies also adverse effects slow pace social development spheres education social welfare,health,besides important determine total sum present outflow capital channels independent developing countries developed capitalist states finally determine approximately rate amortization indebtedness thus incurred developed capitalist,health
BOL_1970,1427,1427,awaiting solution can never interpreted denial important progress victories achieved organization common good united nations contributed significantly development international law rendering invaluable services designed combat,disease,hunger promote culture education bring better understanding social problems ensure specialized administrative cooperation render technical assistance confront complicated problems international trade development united nations avoided,health
CMR_1970,518,518,universal strategy development fact highlights another positive aspect united nations activities kept alive feeling human solidarity implemented international cooperation specialized agencies particularly deal technical assistance,health,agriculture food education science culture communications effectiveness agencies gainsaid importance lies practical usefulness activities also fact thanks united nations living reality daily life member states,health
COG_1970,264,264,tribute courage lucidity devotion cause peace secretary general u thant open us several ways celebrating twenty-fifth anniversary united nations case chance place us carry overall,health,checkup organization intoxicated technical progress swept away hypocrisy used now set event indulging pseudo philosophical discourse far identifying objectively difficulties persist unfortunately international community contribute,health
CRI_1970,2065,2065,necessary thanks great extent studies united nations know today two thirds mankind lives without proper food without decent housing conditions without land without property without,health,know solution tragedy consists increasing national income poor countries order increase national income necessary raise level production can achieved perfecting methods producing wealth words education,health
FRA_1970,257,257,three sentences weakness first void caused absence among us large part mankind weakness secondly inadequate effort made fortunate peoples aiding struggle least favored peoples hunger,disease,stagnation lastly weakness resignation certain division power unless take care perpetuate split world cover opposing blocs condemn majority nations paid dearly win pride independence choose,health
GHA_1970,93,93,second united nations development decade coincided twenty-fifth anniversary united nations opportunity offered organization devise operate strategy waging greatest noblest wars ensure mankind's survival war poverty,disease,ignorance underdevelopment opportunity peoples united nations dare second half twentieth century witnessed one fascinating processes history mankind ideas freedom justice reserved privileged section world's people,health
GHA_1970,1135,1135,aimed providing basis self sustained growth emphasis increasing production food industrial raw materials reduce excessive dependence imported goods taking decisive steps provide better housing education,health,services especially low-income groups ensure within existing population situation inequalities distribution income social amenities especially urban rural areas reduced like address special appeal socialist states,health
GHA_1970,1205,1205,notably soviet union played decolonization process adoption strategy second development decade world called upon complete process enabling emancipated peoples live decent lives free exploitation poverty,disease,ignorance pity source great disappointment us peoples socialist countries done much political independence now enter reservations helping us complete emancipation ghana delegation feels reservations raised,health
