docname,from,to,pre,keyword,post,pattern
SWE_1988.L725,16,16,threat survival inferior arms race alarming research reports tell us climate begun change probable result,greenhouse,effect life-giving resources destroyed erosion desertification devastation forests people's health increasingly affected poisoning water food chains depletion ozone layer causes threats environment lie excessive exploitation,greenhouse
FIN_1989.L627,13,13,countries directly affected depletion ozone layer increasing emissions carbon dioxides produce so-called,greenhouse,effect climate earth increasing presence substances atmosphere cause acid rain direct dangers health therefore hardly surprise witnessed increasing international activity field several initiatives taken launch,greenhouse
JPN_1989.L2200,30,30,past years blink eye vast continuum history mankind ventured far reaches space sought explore oceans depths ominous acceleration pace environmental destruction health planet gravely threatened,global_warming,destruction ozone layer depletion tropical rain forests acid rain desertification global environmental problems confront us today must dealt entire international community,global_warming
LBY_1989.L2152,32,32,unprecedented environmental crisis nature sending us urgent warnings can ignored peril numerous growing indicators crisis around us addition serious air_pollution desertification soil erosion depletion forests,greenhouse,effect unusual climatic changes deterioration ozone layer also problem nuclear industrial toxic wastes given rise justifiable concern especially third,greenhouse
DEU_1990.L2670,11,11,companies squandering energy resources another key problem changing world climate,greenhouse,effect depletion ozone layer bach earth's many environmental problems exacerbated two central problems solved air_pollution extinction species erosion increase dramatically reduce chances survival future generations,greenhouse
BTN_1991.L1116,16,16,far goal indeed every day brings alarming evidence diminishing capacity planet sustain life ominous signs,greenhouse,effect depletion ozone layer include climatic changes increase certain health problems air water pollution soil degradation desertification deforestation threaten world's food supplies living conditions overpopulation,greenhouse
CAN_1991.L1821,7,7,solitudes rich poor true canada worried,climate_change,worried loss species pollutants arctic food chain ocean resources forests developed country recognise developing countries eliminating poverty ensuring nutrition eradicating disease top priorities inextricably linked,climate_change
CAN_1991.L1823,5,5,poor true canada worried,climate_change,worried loss species pollutants arctic food chain ocean resources forests developed country recognise developing countries eliminating poverty ensuring nutrition eradicating disease top priorities inextricably linked,climate_change
ATG_1993.L550,34,34,emitted atmosphere altering global environment fatal consequences forecast earth's climate biodiverse flora fauna agriculture living animals human health well-being borne mind contribution small island states,climate_change,global_warming sea-level rise zero effects climate_change global_warming sea-level rise reduce small island states like mine zero existence,climate_change
ATG_1993.L550,35,35,atmosphere altering global environment fatal consequences forecast earth's climate biodiverse flora fauna agriculture living animals human health well-being borne mind contribution small island states climate_change,global_warming,sea-level rise zero effects climate_change global_warming sea-level rise reduce small island states like mine zero existence,global_warming
