docname,from,to,pre,keyword,post,pattern
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,2934,2934,minimisation remi nding employees switch electronic equipment appliances photocopiers shredding machines computers monitors printers use maintaining air conditioning systems energy efficient general r ecommended indoor,temperature,c remi nding employees switch lights leave workplace use lights necessary also encourage use energy saving lighting systems top environmental practices chiswick park headquarters london,climate
Australia-SEP-2016-SEP-HealthCareEquipment&Ser...-SEP-COP_-_International_SOS_-_September_2016.pdf?1474586455,3293,3293,minimisation th rough reminding employees switch electronic equipment appliances photocopiers shredding machines computers monitors printers use maintaining air conditioning systems energy efficient general recommended indoor,temperature,c remi nding employees switch lights leave workplace use lights necessary also encourage use energy saving lighting systems top environmental practices chiswick park headquarters london,climate
Australia-SEP-2017-SEP-HealthCareEquipment&Ser...-SEP-UNGC_COP_-_International_SOS_-17.pdf?1507163431,4380,4380,use electronic communications websites e newsletters social media rather paper based media aim reduce electricity consumption maintaining air conditioning systems energy efficient general recommended indoor,temperature,reminding employees switch lights leave workplace meeting room use lights necessary also enc ourage use energy saving lighting systems medical waste management measures reduce medical,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,152,152,protecting saving lives patient care client satisfaction quality assistance security safety epidemics public health26 mobility evolving traveller behaviour non-communicable diseases mental health digitalisation healthcare assistance,extreme_weather,conditions fuelling clients growth people partners34 access skilled workforce employee health safety wellbeing modern leadership engaging work engagement regulators stakeholders community impact engagement relationship assistance,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,541,541,companies business saving lives protecting clients global workforces health security threats wherever clients deliver customised health security risk management wellbeing solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate response brings peace mind innovative technology medical security expertise focus prevention offering real-time actionable insights on-the-ground quality delivery help clients,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,1181,1181,excess us billion furthermore natural disasters account changed travel plans erratic weather results high demand international sos services disaster planning evacuation emergency medical services effects,climate_change,likely continue trend well future businesses consider consequences natural disasters reviewing climate policies investments technology investors also rethinking approach climate-related risk means businesses must strengthen,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,3231,3231,business saving lives protecting clients global workforces health security threats wherever clients might deliver customised health security risk management wellbeing solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate response peace mind innovative technology medical security expertise focus prevention offering real-time actionable insights on-the-ground quality delivery 20internationalsos.com patient care,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,6797,6797,systems save resources time manual collation internationalsos.com international sos sustainability report worldwide reach human touch 31worldwide reach human touch 31extreme weather conditions see increased impact,extreme_weather,international travel particularly hurricanes tropical storms signi cant level damage hurricane season caribbean fortunately repeated however signi cant season hurricanes appeared affect locations usually associated,climate
Australia-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-Sustainability_Progress_Update20.pdf?1576751067,330,330,overwhelming success pilot course clients formally launch roll training international sos care planet impact business environment made noticeable progress recycling efforts responsible energy consumptions lower,carbon_emission,step embarked effort reduce single-use plastic ces report progress next year proud won two awards year ethical business practices valued business best business travel management,climate
Australia-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-Sustainability_Progress_Update20.pdf?1576751067,429,429,companies business saving lives protecting clients global workforces health security threats wherever clients deliver customised health security risk management wellbeing solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate response brings peace mind innovative technology medical security expertise focus prevention offering real-time actionable insights on-the-ground quality delivery help clients,climate
Australia-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-Sustainability_Progress_Update20.pdf?1576751067,923,923,ˆ ˆ ˇšˆ ˆ ˇ ˇ ˇ ˇ ˇ š ˇšˆ ˇˆ ˆ ˇ'ˇ ˇšˇ ˇšˇˆ ˆ ˆ ˇˇ ˇ ˇ ˇˆ ˆ ˇnatural disasters,extreme_weather,events international sos supported impacted organisations 2017-2019 natural disasters increasing frequency severity globally affecting lives businesses account changed travel plans receive high demand services disaster,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,1133,1133,"take important function einstein follows tendency exam quality fqj 3- peventive responsible incomes sociedade k #,7- 0- kf sustainability report number examination made millions units",greenhouse,gases direct emission derivative stationary combustion tones co 2e new habits medicine approval sustainability master plan whose priority linked environmental management indicates sociedade introductory step,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,1184,1184,schedule calculates many investments part among solid waste building renovation buildings continued linked sustainable criterions #1 1# 3# 1# 2- 1# performance see page emission,greenhouse,gases declined last two years sociedade beneficente israelita brasileira albert einstein main reason installation electric energy station morumbi unit able support kv initiation started february,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,12901,12901,b 1# #-7 -l# #b 7# awareness campaigns highlight importance green agents employees sociedade work voluntarily multipliers agents sust ainable practices focus impact everyday activities,climate_change,taken reduce waste raw materials resources food bes ides reduction proper collection recycling among others #j #h- #p#27- #e b 7c gri en29 adherence ghc,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,12942,12942,#j #h- #p#27- #e b 7c gri en29 adherence ghc protocol brazilian program provide transparency attest commitment sustainability sociedade #x health institution publish inventory emissions,greenhouse,gases took reference yea r base q1 #j0j#h7 #27- #h7'67- #e #iju 5# 7@ l# escola de administração de empresas de são paulo da fundação,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,12994,12994,vargas eaesp fgv #;24 são paulo #j r #u-76- #d @l# -7 #b #b #8 institute wri aims establish culture dev elopment publication corporate inventories,greenhouse,gases emissions co untry aware environmental impacts health se ctor besides monitoring emissions sociedade drawing policies implementing actions reduce #67 1'4 #6- l# #'7 7#,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,13052,13052,emissions stationary combustion sociedade decreased main reason replacement d iesel used power generation emergency situations page gri ec2 hospital also took initiative raise impact two,greenhouse,"gases anesthetic gas considered intergovernmental panel 1-,6 7# #e #s 75n q1 l47- l47- #-7 #1- #'76- #6- #4 maintenance anesthetic state general anesthesia although",climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,13143,13143,"9- approximately tons respectively gri en17 st4 1-,6 #j0j#h7 #27- #h7'67- l#- 7# #7 #7 l# index changed calculation made used ghg tool released evolution",greenhouse,gases emission sq1 -#7 #67 1'4 #6- l#b- v 5# #5 -7#jkppn# period approximately years accumulated emission approximately tco 2e waste data refers estimation emissions,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,13348,13348,taken consideration planned improvements infrastru cture reduce energy consumption natural gas diesel expansion units consequent increase number attendances well consumption raw m aterials led reduction,greenhouse,"gases sociedade believes best way reduce impact 1-,6 #v7 r 5# n### gri en18 according commitments approved sustai nability master plan set initiatives implemented sociedade",climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,13987,13987,eletropaulo covers entire demand unit ini tiative provided electric power supply stable hospital subst antial reduction consumption diesel order generate electricity emergenc y situations thus,carbon_emissions,#1 v 5n#q1 #b 7'9 477'4 6# community beyond lower generation co 2#b- v #b 1# o sociedade power distribution system shared w ith entire,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,14384,14384,5# c l# sociedade supports develops participates initiatives serve instruments -b-7 n#d#6 o- #b- 6-6 #e-7 1#0'47#6 campaign led wwf symbolic act ale rt risks,global_warming,#w-7 1#jfl#jkppl# #kf kk# n #kz gk# n n# sociedade participated turning a# #3 n#d morumbi #3 l#b a# building houses administrative areas o f,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,14654,14654,event brought 7# #fkk#b n sociedade also participated c40 summit held são paulo june c40 5# l#w-5'7# l# #b c cities set ways cooperate reducing,greenhouse,gases emission promote action among group cities companies power public sociedade global climate_change among contributions sociedade collaborated preparation document pointed solutions prevent health problems population,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,14667,14667,june c40 5# l#w-5'7# l# #b c cities set ways cooperate reducing greenhouse gases emission promote action among group cities companies power public sociedade global,climate_change,among contributions sociedade collaborated preparation document pointed solutions prevent health problems population related example waste generation air_pollution materiality chapter sustainable management accountability public #4 knowledge,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,18558,18558,species iucn red list national conservation list species habitats areas f 9- integral ib1 involve impacts biodiversity endangered species n wmg total direct indirect emissions,greenhouse,gases weight integral ij l n wmk relevant indirect emissions greenhouse gases weight integral ij l ad wmi initiatives reduce emissions greenhouse gases reductions achieved,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,18569,18569,9- integral ib1 involve impacts biodiversity endangered species n wmg total direct indirect emissions greenhouse gases weight integral ij l n wmk relevant indirect emissions,greenhouse,gases weight integral ij l ad wmi initiatives reduce emissions greenhouse gases reductions achieved integral kj ij l n wml -1 -1 weight integral n,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,18580,18580,direct indirect emissions greenhouse gases weight integral ij l n wmk relevant indirect emissions greenhouse gases weight integral ij l ad wmi initiatives reduce emissions,greenhouse,gases reductions achieved integral kj ij l n wml -1 -1 weight integral n wdf x x -1 #1 type weight wh reportado isociedade perform,climate
Brazil-SEP-2013-SEP-HealthCareEquipment&Ser...-SEP-Amilpar%202012%20Sustainability%20report.pdf?1377547547,2799,2799,risks opportunities planejamento interno voltado ao mapeamento e redução das emissões de gases efeito estufa decorrentes da atuação da empresa internal planning intended map reduce,greenhouse,gas emissions resulting company s activities investir em um modelo de contratação de mão de obra local nas equipes internas da em -presa assim como,climate
Brazil-SEP-2013-SEP-HealthCareEquipment&Ser...-SEP-Amilpar%202012%20Sustainability%20report.pdf?1377547547,9342,9342,-ta das estufas terminada essa fase empresa assumiu o papel de mantenedora e pretende continuar o patrocínio nos próximos anos since amil helped maintain bromeliads,greenhouse,rio de janeiro botanical garden sanctuary shelters conduct research studies relating several endangered species one largest collections brazil types bromeliads endangered- institute became reference study,climate
Brazil-SEP-2013-SEP-HealthCareEquipment&Ser...-SEP-Amilpar%202012%20Sustainability%20report.pdf?1377547547,26184,26184,species habitats areas ected operations level extinction risk não se aplicadoes apply 8en17outras emissões indiretas relevantes de gases causadores efeito estufa por peso relevant indirect,greenhouse,"gas emissions weight 126,127não se aplicadoes apply 8en18iniciativas para reduzir emissões de gases causadores efeito es tufa e reduções obtidas initiatives reduce greenhouse gas emissions",climate
Brazil-SEP-2013-SEP-HealthCareEquipment&Ser...-SEP-Amilpar%202012%20Sustainability%20report.pdf?1377547547,26207,26207,"relevant indirect greenhouse gas emissions weight 126,127não se aplicadoes apply 8en18iniciativas para reduzir emissões de gases causadores efeito es tufa e reduções obtidas initiatives reduce",greenhouse,"gas emissions reductions achieved 9en19emissões de substâncias destruidoras da camada de ozônio por peso emissions ozone-depleting substances weight 126,1278en20nox sox e outras emissões atmosféricas signi",climate
Brazil-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-Relat%C3%B3rio_de_Sustentabilidade13.pdf?1408972019,15089,15089,de emissões por meio da compra de créditos de carbono todas emissões contabilizadas inventário apresentado abaixo serão neutralizadas em emissions managementevery year amil prepares inventory,greenhouse,gas ghg emissions line principles procedures proposed ghg protocol considering scopes direct emissions indirect emissions indirect emissions sources belonging mentioned previous report covering emissions operator,climate
Brazil-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-Relat%C3%B3rio_de_Sustentabilidade13.pdf?1408972019,18137,18137,retirada de água por fonte total water withdrawal source 1258en16total de emissões diretas e indiretas de gases causadores efeito estufa por peso total direct indirect,greenhouse,"gas emissions weight 1278,9en18iniciativas para reduzir emissões de gases causadores efeito estufa e reduções obtidas initiatives reduce greenhouse gas emissions reductions achieved 9en22peso total de",climate
Brazil-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-Relat%C3%B3rio_de_Sustentabilidade13.pdf?1408972019,18155,18155,"efeito estufa por peso total direct indirect greenhouse gas emissions weight 1278,9en18iniciativas para reduzir emissões de gases causadores efeito estufa e reduções obtidas initiatives reduce",greenhouse,gas emissions reductions achieved 9en22peso total de resíduos por tipo e método de disposição total weight waste type disposal method 1238en26iniciativas para mitigar os impactos,climate
