Sector,total_texts,health_texts,climate_texts,intersection_texts,percent_int,percent_CC,percent_PH
Aerospace&Defense,21,14,13,3,14.285714285714285,61.904761904761905,66.66666666666666
AlternativeEnergy,6,3,4,1,16.666666666666664,66.66666666666666,50
Automobiles&Parts,55,32,19,7,12.727272727272727,34.54545454545455,58.18181818181818
Banks,40,21,19,4,10,47.5,52.5
Beverages,49,29,24,8,16.3265306122449,48.97959183673469,59.183673469387756
Chemicals,59,39,36,17,28.8135593220339,61.016949152542374,66.10169491525424
Construction&Materials,135,79,65,17,12.592592592592592,48.148148148148145,58.51851851851851
Diversified,3,3,3,1,33.33333333333333,100,100
Electricity,30,19,20,8,26.666666666666668,66.66666666666666,63.33333333333333
Electronic&ElectricalEqu...,84,38,27,8,9.523809523809524,32.142857142857146,45.23809523809524
EquityInvestmentInstruments,13,4,3,0,0,23.076923076923077,30.76923076923077
FinancialServices,162,90,95,14,8.641975308641975,58.64197530864198,55.55555555555556
FixedLineTelecommunications,21,15,13,4,19.047619047619047,61.904761904761905,71.42857142857143
Food&DrugRetailers,4,1,1,0,0,25,25
FoodProducers,82,61,52,16,19.51219512195122,63.41463414634146,74.39024390243902
Forestry&Paper,32,20,21,12,37.5,65.625,62.5
"Gas,Water&Multiutilities",18,3,6,1,5.555555555555555,33.33333333333333,16.666666666666664
GeneralIndustrials,171,79,66,15,8.771929824561402,38.59649122807017,46.198830409356724
GeneralRetailers,63,27,24,9,14.285714285714285,38.095238095238095,42.857142857142854
HealthCareEquipment&Ser...,39,23,9,1,2.564102564102564,23.076923076923077,58.97435897435898
HouseholdGoods&HomeCons...,32,19,12,2,6.25,37.5,59.375
IndustrialEngineering,54,30,24,6,11.11111111111111,44.44444444444444,55.55555555555556
IndustrialMetals&Mining,51,32,24,6,11.76470588235294,47.05882352941176,62.745098039215684
IndustrialTransportation,65,34,27,4,6.153846153846154,41.53846153846154,52.307692307692314
LeisureGoods,6,2,1,0,0,16.666666666666664,33.33333333333333
LifeInsurance,7,2,2,0,0,28.57142857142857,28.57142857142857
Media,57,29,22,2,3.508771929824561,38.59649122807017,50.877192982456144
Mining,15,8,8,5,33.33333333333333,53.333333333333336,53.333333333333336
MobileTelecommunications,34,25,19,4,11.76470588235294,55.88235294117647,73.52941176470588
NonequityInvestmentInstru...,2,0,0,0,0,0,0
NonlifeInsurance,9,4,4,0,0,44.44444444444444,44.44444444444444
NotApplicable,52,0,0,0,0,0,0
Oil&GasProducers,62,48,44,21,33.87096774193548,70.96774193548387,77.41935483870968
"OilEquipment,Services&D...",16,12,8,2,12.5,50,75
PersonalGoods,59,31,18,1,1.694915254237288,30.508474576271187,52.54237288135594
Pharmaceuticals&Biotechno...,41,31,16,6,14.634146341463413,39.02439024390244,75.60975609756098
RealEstateInvestment&Se...,32,17,17,3,9.375,53.125,53.125
RealEstateInvestmentTrusts,5,2,2,2,40,40,40
Software&ComputerServices,80,37,28,5,6.25,35,46.25
SupportServices,228,125,96,17,7.456140350877193,42.10526315789473,54.824561403508774
TechnologyHardware&Equip...,66,42,39,11,16.666666666666664,59.09090909090909,63.63636363636363
Tobacco,1,0,0,0,0,0,0
Travel&Leisure,68,40,32,6,8.823529411764707,47.05882352941176,58.82352941176471
