	sector	country	year	language	sdgs3	sdgs13
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2017/389461/original/CSR_report_2018.pdf?1558949669	Personal Goods	Denmark	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2018/458461/original/2018_COP_LUCOBIT_AG.pdf?1546932844	Chemicals	Germany	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2018/470611/original/SCS-DD05004-R05_RSE_2017-2018.pdf?1545906948	Health Care Equipment & Ser...	Argentina	2019	Spanish	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470698/original/Trojan_Recruitment_Group_-_COP_2018.pdf?1546383713	Support Services	Australia	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470699/original/SSX_Group_Communication_on_Progress_2018.pdf?1546399052	Support Services	Australia	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470700/original/Informe_de_Progreso_Gesvalt_RSC_2017.pdf?1546419931	Real Estate Investment & Se...	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470701/original/COP_Unimed_de_Avar%C3%A9_2019.pdf?1546424670	Health Care Equipment & Ser...	Brazil	2019	Portuguese	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470702/original/Asia_Shipping__l__Pacto_Global_2019.pdf?1546428273	Support Services	Brazil	2019	Portuguese	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470704/original/Ak-Kim_2016-2017_Sustainability_Report_1.pdf?1546432938	Chemicals	Turkey	2019	English	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470705/original/COP_f%C3%BCr_UN_Global_Compact_f%C3%BCr_2018.pdf?1546434868	Support Services	Germany	2019	German	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470706/original/AKSA_SUSRPRT-2017.pdf?1546435389	Chemicals	Turkey	2019	English	no	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470710/original/COP_Pacto_Global_2018.pdf?1546451538	Financial Services	Ecuador	2019	Spanish	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470714/original/Informe_COP_NOBIS_FINAL.pdf?1546472764	Diversified	Ecuador	2019	Spanish	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470715/original/COP_UN_Global_Compact_DEC_2017-2018.pdf?1546487315	Construction & Materials	United State...	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470720/original/Intex_Construction_Ltd_-_2018_COP.pdf?1546511812	Construction & Materials	Kenya	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470721/original/USJE_2017_CSR_ENG_%281%29.pdf?1546516421	Construction & Materials	North Macedonia	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470724/original/2019_01_02_-_COP_for_2018_English_-_BioPorto.pdf?1546523582	Pharmaceuticals & Biotechno...	Denmark	2019	English	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470725/original/COP_2019.pdf?1546523853	General Industrials	France	2019	French	yes	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470726/original/Deloitte_Informe_de_Sostenibilidad_2017.pdf?1546529115	Support Services	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470727/original/Carta_Renovaci%C3%B3n_Compromiso_Deloitte.pdf?1546529115	Support Services	Spain	2019	Spanish	no	no
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470729/original/COP_WEEMATCH_2019.pdf?1546534375	General Retailers	France	2019	French	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470730/original/PREVOST_Offset_Communication_sur_le_Progr%C3%A8s_2018-2019.pdf?1546538973	Forestry & Paper	France	2019	English	yes	yes
//s3-us-west-2.amazonaws.com/ungc-production/attachments/cop_2019/470733/original/SpanishFINAL_DRAFT_6August2018_PRINT.pdf?1546545968	Industrial Metals & Mining	Ecuador	2019	Spanish	yes	no
