docname,from,to,pre,keyword,post,pattern
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,2934,2934,efficient general r ecommended indoor,temperature,c remi nding employees switch,climate
Australia-SEP-2016-SEP-HealthCareEquipment&Ser...-SEP-COP_-_International_SOS_-_September_2016.pdf?1474586455,3293,3293,energy efficient general recommended indoor,temperature,c remi nding employees switch,climate
Australia-SEP-2017-SEP-HealthCareEquipment&Ser...-SEP-UNGC_COP_-_International_SOS_-17.pdf?1507163431,4380,4380,energy efficient general recommended indoor,temperature,reminding employees switch lights leave,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,152,152,mental health digitalisation healthcare assistance,extreme_weather,conditions fuelling clients growth people,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,541,541,solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,1181,1181,evacuation emergency medical services effects,climate_change,likely continue trend well future,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,3231,3231,solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138,6797,6797,weather conditions see increased impact,extreme_weather,international travel particularly hurricanes tropical,climate
Australia-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-Sustainability_Progress_Update20.pdf?1576751067,330,330,efforts responsible energy consumptions lower,carbon_emission,step embarked effort reduce single-use,climate
Australia-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-Sustainability_Progress_Update20.pdf?1576751067,429,429,solutions fuel growth productivity event,extreme_weather,epidemic security incident provide immediate,climate
Australia-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-Sustainability_Progress_Update20.pdf?1576751067,923,923,ˇ ˇˆ ˆ ˇnatural disasters,extreme_weather,events international sos supported impacted,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121,1133,1133,number examination made millions units,greenhouse,gases direct emission derivative stationary,climate
