docname,from,to,pre,keyword,post,pattern
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,281,281,deliver unrivalled emergency assistance critical,illness,accident civil unrest passionate helping,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,362,362,individual rights company s occupational,health,safety policy annual submission equal,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,400,400,london air ambulance o reducing,malaria,o fighting ebola principle highlights,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,729,729,people countries provide employment training,healthcare,pursue protection human rights believe,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,847,847,new guinea close years providing,health,care expatriates local communities time,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,856,856,communities time contributed development public,health,offering training employment health professionals,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,860,860,public health offering training employment,health,professionals care thousands people kokoda,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,885,885,importance access basic human rights,health,education developed various programs order,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,893,893,various programs order support education,health,communities kokoda track foundation provides,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,905,905,people papua new guinea education,health,community service programs together employees,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,929,929,raised pay employment two community,health,workers also utilised medical expertise,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,939,939,expertise professionals png train local,health,care workers proud partnership ktf,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,983,983,dream dedicated provid ing children,healthcare,education south -east asia employees,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1006,1006,raised -2012 enabled us support,healthcare,programs children s medical fund,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1077,1077,nossal scholarship nossal institute global,health,partnered international sos subsidiary international,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1083,1083,partnered international sos subsidiary international,health,medical services ihms promote public,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1089,1089,medical services ihms promote public,health,papua new guinea international sos,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1108,1108,education graduate research degrees global,health,related fields scholarship awarded dr,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1122,1122,attending melbourne school population global,health,launched scholarship aims support next,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1131,1131,support next generation leaders global,health,area country life expectancy years,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1148,1148,die age five country impacted,malaria,tuberculosis hiv providing education fight,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1154,1154,tuberculosis hiv providing education fight,diseases,successful yaws study study conducted,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1171,1171,new guinea collaboration centre international,health,research barcelona cresib provided promising,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1196,1196,treatment residents rural villages png,illness,affects mostly children age populations,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1215,1215,well personal hygiene lack sanitation,disease,currently documented presen t countries,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1232,1232,pacific region yaws added list,diseases,endorsed global eradication international sos,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1248,1248,th type funding strive improve,health,well -being employees also communities,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1259,1259,operate education mosquito nets reduce,malaria,africa company operates many locations,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1265,1265,africa company operates many locations,malaria,endemic believe prevention can make,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1280,1280,africa 7th april world s,health,da y malaria use day,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1283,1283,world s health da y,malaria,use day opportunity educate reduce,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1290,1290,day opportunity educate reduce cases,malaria,international sos purchased distributed ﬁworld,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1296,1296,international sos purchased distributed ﬁworld,malaria,beads braceletsﬂ portion cost bracelet,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1317,1317,bracelets provided funds support unite,malaria,organisation program able provide mosquito,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1326,1326,provide mosquito nets helped protection,malaria,estimate d children day offices,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1345,1345,joined efforts educate surrounding communities,malaria,addition se initiatives employees donated,health
Australia-SEP-2015-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_UNGC_submission15.pdf?1442985430,1366,1366,lot useful informa tion prevent,malaria,goals international sos committed continuous,health
