docname,from,to,pre,keyword,post,pattern
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L146,15,15,health26 mobility evolving traveller behaviour non-communicablediseasesmental health digitalisation healthcare assistance,extreme_weather,conditions fuelling clients growth,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L148,13,13,health26 mobility evolving traveller behaviour non-communicable diseases mentalhealthdigitalisation healthcare assistance,extreme_weather,conditions fuelling clients growth people partners34,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L150,11,11,health26 mobility evolving traveller behaviour non-communicable diseases mental health digitalisationhealthcareassistance,extreme_weather,conditions fuelling clients growth people partners34 access skilled,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L531,19,19,deliver customisedhealthsecurity risk management wellbeing solutions fuel growth productivity event,extreme_weather,,climate
Australia-SEP-2018-SEP-HealthCareEquipment&Ser...-SEP-International_SOS_Sustainability_Report19_WEB.pdf?1545386138.L3221,19,19,deliver customisedhealthsecurity risk management wellbeing solutions fuel growth productivity event,extreme_weather,,climate
Australia-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-Sustainability_Progress_Update20.pdf?1576751067.L419,19,19,deliver customisedhealthsecurity risk management wellbeing solutions fuel growth productivity event,extreme_weather,,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121.L12937,14,14,provide transparency attest commitment sustainability sociedade #xhealthinstitution publish inventory emissions,greenhouse,gases took reference yea r,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121.L13002,3,3,corporate inventories,greenhouse,gases emissions co untry aware environmental impactshealthse ctor besides monitoring,climate
Brazil-SEP-2012-SEP-HealthCareEquipment&Ser...-SEP-2012_19_relatorio_sustentabilidade_2012_ingles_com_carta_adesao_pacto_global.pdf?1343048121.L14677,1,1,,climate_change,among contributions sociedade collaborated preparation document pointed solutions preventhealthproblems population,climate
Denmark-SEP-2014-SEP-HealthCareEquipment&Ser...-SEP-CR_Report13_14.pdf?1415878767.L1232,15,15,phthalate-free build partnerships improve conditions intimatehealthcarestakeholders emerging markets scope according,greenhouse,gas protocol quantitative target,climate
Denmark-SEP-2019-SEP-HealthCareEquipment&Ser...-SEP-COP_report18.pdf?1557299661.L2270,3,3,ed risk,climate_change,affecting business challenges data management systems environmenthealthsafety ehs organization can,climate
France-SEP-2017-SEP-HealthCareEquipment&Ser...-SEP-Essilor_SDG_Contribution_Report.pdf?1498604740.L1060,1,1,,climate_action,n responsible consumption production caring people working employees developmenthealthsafety engagement,climate
