docname,from,to,pre,keyword,post,pattern
JPN_1989.L2207,8,8,pace environmental destructionhealthplanet gravely threatened,global_warming,destruction,climate
BHS_1995.L173,9,9,poverty ignorancediseasethreat nuclear annihilation consequences,global_warming,,climate
TTO_1998.L1176,6,6,grants projects broad categories children'shealthenvironment,climate_change,women population food,climate
MHL_1999.L298,4,4,years indications expected,climate_change,climate_changediseaseobserving symptoms pacific experienced number,climate
KGZ_2000.L815,2,2,convention,climate_change,convention long-range transboundaryair_pollutionrotterdam convention prior,climate
PLW_2000.L77,8,8,hunger poverty tuberculosismalariaspread hiv aids,global_warming,environmental,climate
KHM_2002.L750,8,8,menace hiv aidspandemiccurbed poverty alleviated,global_warming,kept,climate
PNG_2002.L888,1,1,,global_warming,brought increase number casesdiseaseslike malaria,climate
PNG_2003.L720,3,3,environmental degradation,climate_change,hiv aidsmalariapreventable diseases also committed,climate
PNG_2003.L722,1,1,,climate_change,hiv aids malaria preventablediseasesalso committed,climate
SVK_2003.L927,6,6,poverty drug smuggling spread deadlydiseasesglobal,climate_change,finding appropriate solutions,climate
HRV_2004.L337,6,6,poverty drug smuggling spread deadlydiseasesglobal,climate_change,globalization needs mastered,climate
LAO_2004.L713,1,1,,global_warming,environmental degradation hiv aidsdiseasesmarginalization developing,climate
VAT_2005.L262,4,4,risk among things,climate_change,newdiseasesirresponsible destruction forests water pollution,climate
MUS_2006.L849,3,3,concern impact,global_warming,certain vectorsdiseaseleading proliferation estimated africa,climate
MUS_2006.L860,8,8,many millions casesmalariamosquito-borne diseases result,climate_change,mauritius,climate
MUS_2006.L862,6,6,many millions cases malaria mosquito-bornediseasesresult,climate_change,mauritius fully committed,climate
AND_2007.L352,6,6,persons countries ones suffer warillnessunderdevelopment,climate_change,affect us us,climate
ATG_2007.L590,8,8,social services areashealtheducation among others,climate_change,global,climate
BWA_2007.L121,6,6,technology end severe global povertydiseasereverse,climate_change,prevent wars alleviate,climate
ISL_2007.L325,6,6,millennium whether relation peace securityhealthpoverty,climate_change,empowerment women key,climate
KHM_2007.L89,4,4,regional conflicts poverty,global_warming,pandemicdiseasesforth old new emerging crises,climate
MDG_2007.L617,9,9,harmful insertsillnessesafrica already seeing consequences,climate_change,,climate
PRT_2007.L186,7,7,development promoting education decenthealthstandards combating,climate_change,context must,climate
SGP_2007.L140,1,1,,climate_change,one another danger globalpandemicsmust also,climate
SGP_2007.L243,4,4,also invited whether,climate_change,globalpandemicsfight terrorism multilateral trading system,climate
SRB_2007.L774,8,8,poverty organized crimepandemicdiseases harmful consequences,climate_change,global_warming,climate
SRB_2007.L774,9,9,organized crimepandemicdiseases harmful consequences climate_change,global_warming,,climate
SRB_2007.L775,7,7,poverty organized crime pandemicdiseasesharmful consequences,climate_change,global_warming surely,climate
SRB_2007.L775,8,8,organized crime pandemicdiseasesharmful consequences climate_change,global_warming,surely,climate
UGA_2007.L167,3,3,therefore vulnerable,climate_variability,change vulnerabilityhealthsector also evident frequent,climate
UGA_2007.L182,6,6,cholera typhoid dysentery increased incidencemalariaindeed,climate_change,today constitutes danger,climate
VNM_2007.L130,7,7,pressing global issues emergedepidemicsenvironmental pollution,climate_change,proved serious,climate
ZMB_2007.L632,8,8,compromised hiv aidspandemicnow adverse effects,climate_change,regard,climate
ZMB_2007.L640,2,2,effects,climate_change,regard hiv aidspandemicgovernment declared national,climate
BWA_2008.L430,8,8,century conflicts povertydiseasenatural man-made disasters,climate_change,energy,climate
CYP_2008.L100,1,1,,climate_change,rising energy food pricesdiseasesnatural disasters,climate
ECU_2008.L277,6,6,programmes fight poverty hiv aidsmalariaeffects,climate_change,citizens beginning call,climate
GNQ_2008.L242,1,1,,climate_change,inequality poor access educationhealthcare new,climate
HTI_2008.L801,3,3,impassable borders,climate_change,borders virusesdiseaseselusive undocumented visitors hunger,climate
JAM_2008.L210,4,4,manifested many areas,climate_change,globalepidemicsorganized crime human trafficking solving,climate
LCA_2008.L593,2,2,use,climate_change,implications region's foodnutritionsecurity among issues,climate
LVA_2008.L425,7,7,interim main clusters mdgshealtheducation growth,climate_change,united nations,climate
MDG_2008.L381,9,9,resistance cropsdiseaseclimate_change given impact global,climate_change,,climate
NZL_2008.L212,9,9,livelihoods improvinghealtheducation reducing vulnerabilities including,climate_change,,climate
SMR_2008.L521,3,3,population growth,climate_change,spread newdiseaseswell economic financial instability,climate
SWZ_2008.L56,4,4,include catastrophic effects,climate_change,complicateddiseasestuberculosis malaria hiv aids epidemic,climate
SWZ_2008.L58,2,2,effects,climate_change,complicated diseases tuberculosismalariahiv aids epidemic,climate
TUR_2008.L98,8,8,fight poverty illiteracyepidemicdiseases child mortality,climate_change,still,climate
TUR_2008.L99,7,7,fight poverty illiteracy epidemicdiseaseschild mortality,climate_change,still far,climate
BRB_2009.L120,4,4,crisis decades challenge,climate_change,influenzapandemicsassumed international multidimensional character together,climate
CHE_2009.L40,2,2,issues,climate_change,food crisis migrationpandemicsterrorism proliferation weapons,climate
COG_2009.L158,7,7,children die unnecessarily hungerdiseaseus know,climate_change,abetting scourges,climate
EGY_2009.L1327,9,9,special needsdiseasespandemics role civil society,climate_change,,climate
EGY_2009.L1328,8,8,special needs diseasespandemicsrole civil society,climate_change,energy,climate
FJI_2009.L87,7,7,economic crisis 2009 h1n1pandemicdramatic phenomenon,climate_change,small economies,climate
FSM_2009.L853,7,7,time war economic hardshipepidemictoday crisis,climate_change,simply time,climate
JOR_2009.L194,3,3,challenges desertification,climate_change,terrorism povertypandemicsproliferation weapons mass destruction,climate
MDA_2009.L71,6,6,food energy crises first flupandemiccentury,climate_change,core deliberations united,climate
MNE_2009.L69,4,4,food energy crises,climate_change,flupandemiceconomic social growth development politics,climate
PNG_2009.L960,1,1,,climate_change,inundation coastal areas increasemalariadue warming,climate
ROU_2009.L548,2,2,issues,climate_change,poverty food securityhealthenergy migration lack,climate
SVN_2009.L240,1,1,,climate_change,energy crisis spreading infectiousdiseasesproblems may,climate
TUV_2009.L580,3,3,vulnerable impacts,climate_change,least vulnerablediseaseoutbreaks however despite wide,climate
VCT_2009.L851,8,8,compelled participation worldhealthassembly global reach,climate_change,merit,climate
VNM_2009.L409,9,9,food crisispandemicsclimate_change including issues discussed,climate_change,,climate
ATG_2010.L222,1,1,,global_warming,economic financial crisis migrationpandemicsterrorism international,climate
CAN_2010.L719,4,4,matters interests interconnected,climate_change,healthpandemicthreats course economy example nations,climate
CHL_2010.L670,3,3,effectively tackle,global_warming,natural disastershealthemergencies hunger extreme poverty,climate
CYP_2010.L927,4,4,international community increasing,climate_change,povertymalnutritionlack access basic health care,climate
GHA_2010.L273,4,4,also grappling problems,climate_change,highdiseaseburden poor infrastructure brain drain,climate
JAM_2010.L95,2,2,impact,climate_change,shows live canopydiseasescan devastate whole,climate
