Year,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
1959,79,37,2,0,0,2.5316455696202533,46.835443037974684
1960,71,31,0,0,0,0,43.66197183098591
1961,81,37,0,0,0,0,45.67901234567901
1962,90,43,0,0,0,0,47.77777777777778
1963,98,44,0,0,0,0,44.89795918367347
1964,95,41,1,0,0,1.0526315789473684,43.15789473684211
1965,101,35,0,0,0,0,34.65346534653465
1966,108,36,1,0,0,0.9259259259259258,33.33333333333333
1967,110,32,0,0,0,0,29.09090909090909
1968,112,44,1,0,0,0.8928571428571428,39.285714285714285
1969,116,46,0,0,0,0,39.6551724137931
1970,70,22,0,0,0,0,31.428571428571427
1971,116,38,0,0,0,0,32.758620689655174
1972,125,47,0,0,0,0,37.6
1973,120,42,1,0,0,0.8333333333333334,35
1974,129,45,0,0,0,0,34.883720930232556
1975,126,30,0,0,0,0,23.809523809523807
1976,134,39,0,0,0,0,29.1044776119403
1977,140,59,2,0,0,1.4285714285714286,42.142857142857146
1978,141,50,4,0,0,2.8368794326241136,35.46099290780142
1979,144,63,2,0,0,1.3888888888888888,43.75
1980,149,65,3,0,0,2.013422818791946,43.624161073825505
1981,145,54,2,0,0,1.3793103448275863,37.24137931034483
1982,147,51,2,0,0,1.3605442176870748,34.69387755102041
1983,149,52,1,0,0,0.6711409395973155,34.899328859060404
1984,150,63,0,0,0,0,42
1985,137,82,1,0,0,0.7299270072992701,59.854014598540154
1986,149,65,2,0,0,1.342281879194631,43.624161073825505
1987,152,71,1,0,0,0.6578947368421052,46.71052631578947
1988,154,67,16,2,1.2987012987012987,10.38961038961039,43.506493506493506
1989,153,70,35,3,1.9607843137254901,22.875816993464053,45.751633986928105
1990,156,75,23,1,0.641025641025641,14.743589743589745,48.07692307692308
1991,162,62,30,3,1.8518518518518516,18.51851851851852,38.2716049382716
1992,167,70,29,0,0,17.365269461077844,41.91616766467065
1993,175,77,18,1,0.5714285714285714,10.285714285714285,44
1994,178,90,15,0,0,8.426966292134832,50.56179775280899
1995,172,91,22,4,2.3255813953488373,12.790697674418606,52.90697674418605
1996,181,89,25,2,1.1049723756906076,13.812154696132598,49.171270718232044
1997,176,73,31,0,0,17.613636363636363,41.47727272727273
1998,181,73,30,2,1.1049723756906076,16.574585635359114,40.331491712707184
1999,181,91,18,3,1.6574585635359116,9.94475138121547,50.27624309392266
2000,178,119,33,2,1.1235955056179776,18.53932584269663,66.85393258426966
2001,189,112,32,3,1.5873015873015872,16.93121693121693,59.25925925925925
2002,188,116,30,8,4.25531914893617,15.957446808510639,61.702127659574465
2003,189,120,24,7,3.7037037037037033,12.698412698412698,63.49206349206349
2004,192,126,28,4,2.083333333333333,14.583333333333334,65.625
2005,185,124,32,6,3.2432432432432434,17.2972972972973,67.02702702702703
2006,193,123,36,8,4.145077720207254,18.65284974093264,63.730569948186535
2007,191,103,161,30,15.706806282722512,84.29319371727748,53.92670157068062
2008,192,116,157,34,17.708333333333336,81.77083333333334,60.416666666666664
2009,193,114,172,44,22.797927461139896,89.11917098445595,59.067357512953365
2010,189,107,155,39,20.634920634920633,82.01058201058201,56.613756613756614
2011,194,113,137,35,18.04123711340206,70.61855670103093,58.24742268041238
2012,195,98,110,18,9.230769230769232,56.41025641025641,50.256410256410255
2013,193,127,100,20,10.362694300518134,51.813471502590666,65.80310880829016
2014,194,148,134,46,23.711340206185564,69.0721649484536,76.28865979381443
2015,193,110,147,29,15.025906735751295,76.16580310880829,56.994818652849744
2016,194,109,156,30,15.463917525773196,80.41237113402062,56.18556701030928
2017,196,104,158,24,12.244897959183673,80.61224489795919,53.06122448979592
2018,196,107,147,38,19.387755102040817,75,54.59183673469388
2019,195,117,175,43,22.05128205128205,89.74358974358975,60
