docname,from,to,pre,keyword,post,pattern
AUS_1959,323,323,high-level visits maybe world need succession visits considerable period time,temperature,world's political atmosphere sufficiently reduced moreover suspicion just state mind,climate
FRA_1959,467,467,negative results geneva conference least virtue opening discussion also reducing,temperature,crisis seriousness threats made implied certain attitudes adopted discussions geneva,climate
CMR_1964,165,165,thus assuming incredible measure freedom desires can discourse sex angels,temperature,venus without able call us order many burning pressing problems,climate
SWE_1966,860,860,spite increased international tension caused largely war viet-nam raising political,temperature,europe registered present situation europe characterized increased mobility rapidly increasing,climate
CHL_1968,368,368,pernicious contagious internationally nationally know agreements disagreements great powers fluctuations,temperature,war facts small countries forced recognize inevitable since involve us,climate
CUB_1973,4256,4256,chile able get argentina abandoned andes without adequate food clothing,temperature,degrees zero argentine patrol found took barracks giving help food,climate
AUS_1977,872,872,world given scope conservation expanding conventional energy sources limited alternative,renewable_energy,sources unlikely brought commercial use short medium term expansion use,climate
NLD_1977,1469,1469,far exhausted much higher recovery rate feasible promising alternative resources,renewable_energy,least technological developments respect get support hitherto hope preparatory work,climate
DEU_1978,2044,2044,community confronted challenge smoothly leading world era oil era new,renewable_energy,sources challenge can met basis world-wide co-operation hence community welcomes,climate
DEU_1978,2066,2066,adopted sixty fifth session economic social council recommending conference new,renewable_energy,sources convened simultaneously objective establishing equitable international economic order nations,climate
JPN_1978,1475,1475,order promote efficient use existing energy sources development new sources-including,renewable_energy,country intends co-operate actively international efforts fields determined join efforts,climate
MLT_1978,1376,1376,representatives mediterranean countries meeting malta establish regional centre practical utilization,renewable_energy,sources-wind solar biomass energy future-oriented planning regional basis neglecting global,climate
USA_1978,1501,1501,basis international nuclear energy regime priority attention must given development,renewable_energy,resources many technologies already exist harnessing solar wind geothermal power,climate
USA_1978,1557,1557,united nations energy effort clearer priorities also provide up-to-date information,renewable_energy,technology examine role private sector energy development undp might also,climate
USA_1978,1573,1573,energy development undp might also expand efforts help nations assess,renewable_energy,possibilities finance testing new technologies provide training technical assistance effective,climate
MEX_1979,1466,1466,failed take production hydrocarbons account conference whose purpose study new,renewable_energy,sources make sense us excluded consideration older conventional sources consistent,climate
USA_1979,1366,1366,programmes development finance adequate support rapid application solar small hydroelectric,renewable_energy,technologies developing nations inter-american development bank proposed creation facility provide,climate
BFA_1980,1904,1904,terms dialogue producers consumers parallel research pursued intensified field new,renewable_energy,sources wind energy solar energy nuclear energy possibilities taken account,climate
JAM_1980,994,994,obligation deploy adequate financial technological resources tap potential sources new,renewable_energy,must ensure united nations conference new renewable sources energy scheduled,climate
URY_1980,2360,2360,ensure transition present-day economy based hydrocarbons economy based essentially new,renewable_energy,sources uruguay attaches particular importance problems science technology attainment development,climate
GIN_1981,1846,1846,people's republic guinea reaffirms readiness work effectively harmony states improve,climate_crisis,tension now prevails international relations promote building world peace justice,climate
GTM_1981,889,889,utilizing natural resources applying technology suited environment make use new,renewable_energy,sources endowed nature country places experience service mankind sports guatemala,climate
GMB_1982,1849,1849,including small-scale rural projects development indigenous energy sources research new,renewable_energy,technologies world bank already estimated annual basis oil-importing developing countries,climate
KEN_1982,1888,1888,conference energy first decide question mobilization financial resources harnessing new,renewable_energy,resources regard role united nations must recognized bilateral arrange ments,climate
