Year,total_speeches,total_sentences,total_words
1959,79,14421,370808
1960,71,19339,479608
1961,81,17971,450555
1962,90,17974,468822
1963,98,19698,510212
1964,95,16554,429614
1965,101,17776,458614
1966,108,18413,489121
1967,110,18004,459219
1968,112,19480,494655
1969,116,19941,511306
1970,70,11841,304174
1971,116,19892,508523
1972,125,21208,541018
1973,120,21452,536411
1974,129,22051,568613
1975,126,21379,534339
1976,134,23827,599970
1977,140,24822,605742
1978,141,25267,625320
1979,144,26501,651959
1980,149,27223,657546
1981,145,26097,633635
1982,147,23438,638098
1983,149,26780,640595
1984,150,27982,660387
1985,137,19265,592655
1986,149,19041,577509
1987,152,18346,563016
1988,154,18604,569472
1989,153,19444,574342
1990,156,17893,522192
1991,162,18553,538349
1992,167,18594,543126
1993,175,20165,587437
1994,178,19946,580525
1995,172,17872,536740
1996,181,18058,522695
1997,176,17709,514492
1998,181,18888,514854
1999,181,18541,531291
2000,178,16262,464312
2001,189,14753,414681
2002,188,13985,380481
2003,189,14737,399396
2004,192,14904,405290
2005,185,13016,353065
2006,193,14647,390476
2007,191,14585,387883
2008,192,14298,384880
2009,193,16038,423395
2010,189,14438,391946
2011,194,16295,429974
2012,195,16842,444517
2013,193,16398,440893
2014,194,15865,421945
2015,193,16134,436361
2016,194,16001,420148
2017,196,16814,439621
2018,196,16987,455195
2019,195,17537,466108
