Year,WHO,total_speeches,health_speeches,climate_speeches,intersection_speeches,percent_int,percent_CC,percent_PH
1959,Africa,5,2,0,0,0,0,40
1959,Eastern Mediterranean,13,6,0,0,0,0,46.15384615384615
1959,Europe,26,11,1,0,0,3.8461538461538463,42.30769230769231
1959,Latin America and the Caribbean,18,9,0,0,0,0,50
1959,North America,2,2,0,0,0,0,100
1959,South-East Asia,6,4,0,0,0,0,66.66666666666666
1959,Western Pacific,8,3,1,0,0,12.5,37.5
1960,Africa,8,2,0,0,0,0,25
1960,Eastern Mediterranean,13,5,0,0,0,0,38.46153846153847
1960,Europe,23,8,0,0,0,0,34.78260869565217
1960,Latin America and the Caribbean,13,9,0,0,0,0,69.23076923076923
1960,North America,2,2,0,0,0,0,100
1960,South-East Asia,5,2,0,0,0,0,40
1960,Western Pacific,6,3,0,0,0,0,50
1961,Africa,17,8,0,0,0,0,47.05882352941176
1961,Eastern Mediterranean,13,6,0,0,0,0,46.15384615384615
1961,Europe,19,7,0,0,0,0,36.84210526315789
1961,Latin America and the Caribbean,16,8,0,0,0,0,50
1961,North America,2,2,0,0,0,0,100
1961,South-East Asia,5,2,0,0,0,0,40
1961,Western Pacific,7,4,0,0,0,0,57.14285714285714
1962,Africa,18,10,0,0,0,0,55.55555555555556
1962,Eastern Mediterranean,14,9,0,0,0,0,64.28571428571429
1962,Europe,21,5,0,0,0,0,23.809523809523807
1962,Latin America and the Caribbean,20,9,0,0,0,0,45
1962,North America,2,1,0,0,0,0,50
1962,South-East Asia,5,2,0,0,0,0,40
1962,Western Pacific,8,6,0,0,0,0,75
1963,Africa,23,10,0,0,0,0,43.47826086956522
1963,Eastern Mediterranean,15,8,0,0,0,0,53.333333333333336
1963,Europe,24,8,0,0,0,0,33.33333333333333
1963,Latin America and the Caribbean,18,11,0,0,0,0,61.111111111111114
1963,North America,2,1,0,0,0,0,50
1963,South-East Asia,5,1,0,0,0,0,20
1963,Western Pacific,9,4,0,0,0,0,44.44444444444444
1964,Africa,24,11,1,0,0,4.166666666666666,45.83333333333333
1964,Eastern Mediterranean,13,6,0,0,0,0,46.15384615384615
1964,Europe,22,8,0,0,0,0,36.36363636363637
1964,Latin America and the Caribbean,19,8,0,0,0,0,42.10526315789473
1964,North America,2,2,0,0,0,0,100
1964,South-East Asia,5,2,0,0,0,0,40
1964,Western Pacific,9,4,0,0,0,0,44.44444444444444
1965,Africa,26,12,0,0,0,0,46.15384615384615
1965,Eastern Mediterranean,15,5,0,0,0,0,33.33333333333333
1965,Europe,24,3,0,0,0,0,12.5
1965,Latin America and the Caribbean,18,6,0,0,0,0,33.33333333333333
1965,North America,2,1,0,0,0,0,50
1965,South-East Asia,5,4,0,0,0,0,80
1965,Western Pacific,10,4,0,0,0,0,40
1966,Africa,27,9,0,0,0,0,33.33333333333333
1966,Eastern Mediterranean,15,5,0,0,0,0,33.33333333333333
1966,Europe,25,4,1,0,0,4,16
1966,Latin America and the Caribbean,22,12,0,0,0,0,54.54545454545454
1966,North America,2,1,0,0,0,0,50
1966,South-East Asia,7,1,0,0,0,0,14.285714285714285
1966,Western Pacific,9,4,0,0,0,0,44.44444444444444
1967,Africa,29,10,0,0,0,0,34.48275862068966
1967,Eastern Mediterranean,15,8,0,0,0,0,53.333333333333336
1967,Europe,27,4,0,0,0,0,14.814814814814813
1967,Latin America and the Caribbean,20,5,0,0,0,0,25
1967,North America,2,1,0,0,0,0,50
1967,South-East Asia,6,1,0,0,0,0,16.666666666666664
1967,Western Pacific,10,3,0,0,0,0,30
1968,Africa,30,9,0,0,0,0,30
1968,Eastern Mediterranean,16,8,0,0,0,0,50
1968,Europe,26,6,0,0,0,0,23.076923076923077
1968,Latin America and the Caribbean,19,10,1,0,0,5.263157894736842,52.63157894736842
1968,North America,2,1,0,0,0,0,50
1968,South-East Asia,7,4,0,0,0,0,57.14285714285714
1968,Western Pacific,10,5,0,0,0,0,50
1969,Africa,30,12,0,0,0,0,40
1969,Eastern Mediterranean,16,6,0,0,0,0,37.5
1969,Europe,26,6,0,0,0,0,23.076923076923077
1969,Latin America and the Caribbean,22,12,0,0,0,0,54.54545454545454
1969,North America,2,2,0,0,0,0,100
1969,South-East Asia,7,3,0,0,0,0,42.857142857142854
1969,Western Pacific,10,4,0,0,0,0,40
1970,Africa,14,6,0,0,0,0,42.857142857142854
1970,Eastern Mediterranean,11,0,0,0,0,0,0
1970,Europe,14,5,0,0,0,0,35.714285714285715
1970,Latin America and the Caribbean,18,6,0,0,0,0,33.33333333333333
1970,North America,2,1,0,0,0,0,50
1970,South-East Asia,5,1,0,0,0,0,20
1970,Western Pacific,6,3,0,0,0,0,50
1971,Africa,30,14,0,0,0,0,46.666666666666664
1971,Eastern Mediterranean,17,5,0,0,0,0,29.411764705882355
1971,Europe,27,4,0,0,0,0,14.814814814814813
1971,Latin America and the Caribbean,21,7,0,0,0,0,33.33333333333333
1971,North America,2,1,0,0,0,0,50
1971,South-East Asia,6,2,0,0,0,0,33.33333333333333
1971,Western Pacific,11,4,0,0,0,0,36.36363636363637
1972,Africa,33,16,0,0,0,0,48.484848484848484
1972,Eastern Mediterranean,20,6,0,0,0,0,30
1972,Europe,28,6,0,0,0,0,21.428571428571427
1972,Latin America and the Caribbean,22,11,0,0,0,0,50
1972,North America,2,1,0,0,0,0,50
1972,South-East Asia,7,3,0,0,0,0,42.857142857142854
1972,Western Pacific,11,3,0,0,0,0,27.27272727272727
1973,Africa,26,15,0,0,0,0,57.692307692307686
1973,Eastern Mediterranean,20,4,0,0,0,0,20
1973,Europe,29,5,0,0,0,0,17.24137931034483
1973,Latin America and the Caribbean,22,11,1,0,0,4.545454545454546,50
1973,North America,2,2,0,0,0,0,100
1973,South-East Asia,7,0,0,0,0,0,0
1973,Western Pacific,11,5,0,0,0,0,45.45454545454545
1974,Africa,33,11,0,0,0,0,33.33333333333333
1974,Eastern Mediterranean,20,5,0,0,0,0,25
1974,Europe,30,7,0,0,0,0,23.333333333333332
1974,Latin America and the Caribbean,23,10,0,0,0,0,43.47826086956522
1974,North America,2,2,0,0,0,0,100
1974,South-East Asia,8,2,0,0,0,0,25
1974,Western Pacific,10,6,0,0,0,0,60
1975,Africa,33,7,0,0,0,0,21.21212121212121
1975,Eastern Mediterranean,18,3,0,0,0,0,16.666666666666664
1975,Europe,28,4,0,0,0,0,14.285714285714285
1975,Latin America and the Caribbean,23,10,0,0,0,0,43.47826086956522
1975,North America,2,1,0,0,0,0,50
1975,South-East Asia,8,1,0,0,0,0,12.5
1975,Western Pacific,11,3,0,0,0,0,27.27272727272727
1976,Africa,36,17,0,0,0,0,47.22222222222222
1976,Eastern Mediterranean,20,5,0,0,0,0,25
1976,Europe,29,5,0,0,0,0,17.24137931034483
1976,Latin America and the Caribbean,24,7,0,0,0,0,29.166666666666668
1976,North America,2,1,0,0,0,0,50
1976,South-East Asia,8,2,0,0,0,0,25
1976,Western Pacific,12,2,0,0,0,0,16.666666666666664
1977,Africa,40,18,0,0,0,0,45
1977,Eastern Mediterranean,20,10,0,0,0,0,50
1977,Europe,29,6,1,0,0,3.4482758620689653,20.689655172413794
1977,Latin America and the Caribbean,24,14,0,0,0,0,58.333333333333336
1977,North America,2,1,0,0,0,0,50
1977,South-East Asia,9,6,0,0,0,0,66.66666666666666
1977,Western Pacific,13,3,1,0,0,7.6923076923076925,23.076923076923077
1978,Africa,39,17,0,0,0,0,43.58974358974359
1978,Eastern Mediterranean,19,4,0,0,0,0,21.052631578947366
1978,Europe,30,9,2,0,0,6.666666666666667,30
1978,Latin America and the Caribbean,25,13,0,0,0,0,52
1978,North America,2,2,1,0,0,50,100
1978,South-East Asia,9,1,0,0,0,0,11.11111111111111
1978,Western Pacific,14,4,1,0,0,7.142857142857142,28.57142857142857
1979,Africa,39,22,0,0,0,0,56.41025641025641
1979,Eastern Mediterranean,21,6,0,0,0,0,28.57142857142857
1979,Europe,29,8,0,0,0,0,27.586206896551722
1979,Latin America and the Caribbean,27,13,1,0,0,3.7037037037037033,48.148148148148145
1979,North America,2,2,1,0,0,50,100
1979,South-East Asia,9,4,0,0,0,0,44.44444444444444
1979,Western Pacific,14,5,0,0,0,0,35.714285714285715
1980,Africa,43,27,1,0,0,2.3255813953488373,62.7906976744186
1980,Eastern Mediterranean,20,9,0,0,0,0,45
1980,Europe,30,9,0,0,0,0,30
1980,Latin America and the Caribbean,29,12,2,0,0,6.896551724137931,41.37931034482759
1980,North America,2,1,0,0,0,0,50
1980,South-East Asia,9,4,0,0,0,0,44.44444444444444
1980,Western Pacific,13,3,0,0,0,0,23.076923076923077
1981,Africa,39,19,1,0,0,2.564102564102564,48.717948717948715
1981,Eastern Mediterranean,21,6,0,0,0,0,28.57142857142857
1981,Europe,29,11,0,0,0,0,37.93103448275862
1981,Latin America and the Caribbean,29,10,1,0,0,3.4482758620689653,34.48275862068966
1981,North America,2,2,0,0,0,0,100
1981,South-East Asia,8,2,0,0,0,0,25
1981,Western Pacific,14,4,0,0,0,0,28.57142857142857
1982,Africa,39,14,2,0,0,5.128205128205128,35.8974358974359
1982,Eastern Mediterranean,20,5,0,0,0,0,25
1982,Europe,30,11,0,0,0,0,36.666666666666664
1982,Latin America and the Caribbean,31,14,0,0,0,0,45.16129032258064
1982,North America,2,1,0,0,0,0,50
1982,South-East Asia,9,2,0,0,0,0,22.22222222222222
1982,Western Pacific,13,2,0,0,0,0,15.384615384615385
1983,Africa,39,18,0,0,0,0,46.15384615384615
1983,Eastern Mediterranean,21,5,0,0,0,0,23.809523809523807
1983,Europe,30,7,0,0,0,0,23.333333333333332
1983,Latin America and the Caribbean,29,14,1,0,0,3.4482758620689653,48.275862068965516
1983,North America,2,0,0,0,0,0,0
1983,South-East Asia,9,1,0,0,0,0,11.11111111111111
1983,Western Pacific,16,5,0,0,0,0,31.25
1984,Africa,40,21,0,0,0,0,52.5
1984,Eastern Mediterranean,21,6,0,0,0,0,28.57142857142857
1984,Europe,30,7,0,0,0,0,23.333333333333332
1984,Latin America and the Caribbean,30,14,0,0,0,0,46.666666666666664
1984,North America,2,2,0,0,0,0,100
1984,South-East Asia,9,6,0,0,0,0,66.66666666666666
1984,Western Pacific,15,5,0,0,0,0,33.33333333333333
1985,Africa,32,23,1,0,0,3.125,71.875
1985,Eastern Mediterranean,20,9,0,0,0,0,45
1985,Europe,30,16,0,0,0,0,53.333333333333336
1985,Latin America and the Caribbean,27,19,0,0,0,0,70.37037037037037
1985,North America,2,2,0,0,0,0,100
