year,sum_CC,sum_PH,sum_int,mean_CC,mean_PH,mean_int
1959,2,99,0,0.05263157894736842,2.6052631578947367,0
1960,0,80,0,0,2.5806451612903225,0
1961,0,67,0,0,1.8108108108108107,0
1962,0,80,0,0,1.8604651162790697,0
1963,0,96,0,0,2.1818181818181817,0
1964,1,69,0,0.024390243902439025,1.6829268292682926,0
1965,0,55,0,0,1.5714285714285714,0
1966,1,62,0,0.02702702702702703,1.6756756756756757,0
1967,0,51,0,0,1.59375,0
1968,1,65,0,0.022222222222222223,1.4444444444444444,0
1969,0,77,0,0,1.673913043478261,0
1970,0,34,0,0,1.1333333333333333,0
1971,0,54,0,0,1.173913043478261,0
1972,0,76,0,0,1.4901960784313726,0
1973,1,73,0,0.021739130434782608,1.5869565217391304,0
1974,0,69,0,0,1.4375,0
1975,0,52,0,0,1.625,0
1976,0,57,0,0,1.3902439024390243,0
1977,2,101,0,0.031746031746031744,1.6031746031746033,0
1978,7,92,0,0.1346153846153846,1.7692307692307692,0
1979,2,137,0,0.03125,2.140625,0
1980,3,113,0,0.045454545454545456,1.7121212121212122,0
1981,2,99,0,0.03636363636363636,1.8,0
1982,3,77,0,0.057692307692307696,1.4807692307692308,0
1983,2,87,0,0.038461538461538464,1.6730769230769231,0
1984,0,122,0,0,1.9365079365079365,0
1985,1,171,0,0.012048192771084338,2.0602409638554215,0
1986,1,128,0,0.015151515151515152,1.9393939393939394,0
1987,1,137,0,0.014084507042253521,1.9295774647887325,0
1988,19,134,2,0.2676056338028169,1.8873239436619718,0.028169014084507043
1989,78,132,3,0.9069767441860465,1.5348837209302326,0.03488372093023256
1990,43,152,1,0.48314606741573035,1.7078651685393258,0.011235955056179775
1991,69,121,4,0.8518518518518519,1.4938271604938271,0.04938271604938271
1992,51,143,0,0.5730337078651685,1.6067415730337078,0
1993,31,145,4,0.36046511627906974,1.686046511627907,0.046511627906976744
1994,29,163,0,0.3020833333333333,1.6979166666666667,0
1995,53,176,4,0.5520833333333334,1.8333333333333333,0.041666666666666664
1996,53,173,5,0.5463917525773195,1.7835051546391754,0.05154639175257732
1997,66,127,0,0.7415730337078652,1.4269662921348314,0
1998,81,137,2,0.8901098901098901,1.5054945054945055,0.02197802197802198
1999,57,226,7,0.57,2.26,0.07
2000,54,372,3,0.421875,2.90625,0.0234375
2001,80,317,11,0.6557377049180327,2.598360655737705,0.09016393442622951
2002,60,318,9,0.48,2.544,0.072
2003,62,364,9,0.49206349206349204,2.888888888888889,0.07142857142857142
2004,68,335,6,0.5151515151515151,2.537878787878788,0.045454545454545456
2005,84,352,8,0.6268656716417911,2.626865671641791,0.05970149253731343
2006,120,308,20,0.9230769230769231,2.3692307692307693,0.15384615384615385
2007,901,311,64,5.17816091954023,1.7873563218390804,0.367816091954023
2008,640,312,55,3.67816091954023,1.793103448275862,0.3160919540229885
2009,1002,311,82,5.475409836065574,1.6994535519125684,0.44808743169398907
2010,678,337,76,3.874285714285714,1.9257142857142857,0.4342857142857143
2011,543,381,68,3.372670807453416,2.3664596273291925,0.422360248447205
2012,382,267,33,2.6901408450704225,1.880281690140845,0.2323943661971831
2013,370,452,40,2.4025974025974026,2.935064935064935,0.2597402597402597
2014,599,595,87,3.46242774566474,3.439306358381503,0.5028901734104047
2015,677,321,42,4.005917159763314,1.8994082840236686,0.2485207100591716
2016,633,326,55,3.723529411764706,1.9176470588235295,0.3235294117647059
2017,690,265,40,3.9884393063583814,1.5317919075144508,0.23121387283236994
2018,646,322,64,3.8452380952380953,1.9166666666666667,0.38095238095238093
2019,1078,428,89,5.955801104972376,2.3646408839779007,0.49171270718232046
