docname,from,to,pre,keyword,post,pattern
ALB_1959,751,751,young children die year lack food medical care every country,diseases,like cancer take lives hundreds thousands human beings year even,health
ALB_1959,2328,2328,welcome proposal byelorussian soviet socialist republic 4233 relating control cancerous,diseases,hope humanitarian proposal find widespread support among delegations like conclude,health
AUS_1959,3048,3048,per capita income decrease main reasons behind menacing problems improved,health,services higher levels nutrition better standards infant care many countries,health
AUS_1959,3052,3052,main reasons behind menacing problems improved health services higher levels,nutrition,better standards infant care many countries birth rate remained fairly,health
AUS_1959,3070,3070,rate remained fairly static death rate decreased due modern public,health,measures reflects effectiveness national united nations actions fields endeavours must,health
BLR_1959,829,829,countries regard cessation nuclear tests means eliminating serious threat lives,health,millions people also first step towards cessation armaments race think,health
BLR_1959,1946,1946,many obstacles difficulties stand way mankind's happiness well-being among various,diseases,scourge constant threat man since ancient times man fight disease,health
BLR_1959,1956,1956,diseases scourge constant threat man since ancient times man fight,disease,united nations authoritative international organization present day unceasingly increase support,health
BLR_1959,1992,1992,general assembly initiate studies make recommendations purpose promoting international co-operation,health,field diseases threatening man's life particularly fearsome one present cancer,health
BLR_1959,1994,1994,initiate studies make recommendations purpose promoting international co-operation health field,diseases,threatening man's life particularly fearsome one present cancer connexion delegation,health
BLR_1959,2020,2020,session general assembly question international encouragement scientific research control cancerous,diseases,mankind becoming increasingly concerned wide spread cancerous diseases medical science,health
BLR_1959,2028,2028,control cancerous diseases mankind becoming increasingly concerned wide spread cancerous,diseases,medical science uses term cancerous diseases designate forms malignant tumours,health
BLR_1959,2034,2034,concerned wide spread cancerous diseases medical science uses term cancerous,diseases,designate forms malignant tumours including cancer irrespective histological structure know,health
BLR_1959,2047,2047,malignant tumours including cancer irrespective histological structure know study cancerous,diseases,many questions obscure opinion divided people countries regard cancer terrible,health
BLR_1959,2059,2059,questions obscure opinion divided people countries regard cancer terrible fatal,disease,since causes ascertained effective remedies found statistical data incidence mortality,health
BLR_1959,2069,2069,disease since causes ascertained effective remedies found statistical data incidence,mortality,cancerous diseases indicate number persons dying cancer year throughout world,health
BLR_1959,2071,2071,causes ascertained effective remedies found statistical data incidence mortality cancerous,diseases,indicate number persons dying cancer year throughout world million means,health
BLR_1959,2109,2109,can said approximately million people throughout world now suffering cancerous,diseases,countries cancerous diseases take second third place among causes human,health
BLR_1959,2112,2112,million people throughout world now suffering cancerous diseases countries cancerous,diseases,take second third place among causes human death available statistical,health
BLR_1959,2125,2125,third place among causes human death available statistical data cancerous,diseases,throughout world demonstrate control diseases international problem solving united nations,health
BLR_1959,2130,2130,death available statistical data cancerous diseases throughout world demonstrate control,diseases,international problem solving united nations play positive role extensive scientific,health
BLR_1959,2152,2152,carried various countries many years already led progress control cancerous,diseases,fine valuable work cancerous diseases accomplished world health organization international,health
BLR_1959,2157,2157,already led progress control cancerous diseases fine valuable work cancerous,diseases,accomplished world health organization international union cancer noted time must,health
BLR_1959,2160,2160,control cancerous diseases fine valuable work cancerous diseases accomplished world,health,organization international union cancer noted time must said efforts far,health
BLR_1959,2189,2189,deal work yet done order find effective means treating cancerous,diseases,tremendous importance ascertaining causes different forms cancerous diseases man study,health
