docname,from,to,pre,keyword,post,pattern
SWE_1988.L722,19,19,probable resultgreenhouseeffect life-giving resources destroyed erosion desertification devastation forests people's,health,,health
JPN_1989.L2211,7,7,depths ominous acceleration pace environmental destruction,health,planet gravely threatenedglobal_warmingdestruction ozone layer depletion tropical rain forests acid,health
LBY_1989.L2164,5,5,around us addition serious,air_pollution,desertification soil erosion depletion forestsgreenhouseeffect unusual climatic changes deterioration ozone,health
BTN_1991.L1109,19,19,ominous signsgreenhouseeffect depletion ozone layer include climatic changes increase certain,health,,health
ATG_1993.L562,3,3,animals human,health,well-being borne mind contribution small island statesclimate_changeglobal_warming sea-level rise zero,health
ATG_1993.L563,2,2,human,health,well-being borne mind contribution small island states climate_changeglobal_warmingsea-level rise zero,health
BHS_1995.L178,6,6,inevitable lot chronic poverty ignorance,disease,threat nuclear annihilation consequencesglobal_warminggood enough save generations life security existence,health
LUX_1995.L979,3,3,inter alia,health,problems aids environmental problems depletion ozone layerglobal_warmingalso social phenomena population,health
GBR_1996.L818,15,15,us deal growing problems planet survivalclimate_changeenvironment future world's oceans forests,pandemic,diseases development ignores sustainable,health
GBR_1996.L818,16,16,deal growing problems planet survivalclimate_changeenvironment future world's oceans forests pandemic,diseases,development ignores sustainable,health
SLB_1996.L657,15,15,agenda encouraging self-reliance village development solarrenewable_energyresources water wind economic education,health,development plans several weeks,health
TTO_1998.L1178,9,9,nations agencies approval grants projects broad categories children's,health,environmentclimate_changewomen population food security drug control poverty alleviation landmines contribute,health
MHL_1999.L296,11,11,weather climate_change however extreme events observed recent years indications expectedclimate_changeclimate_change,disease,observing symptoms pacific experienced number severe weather events,health
KGZ_2000.L811,13,13,treaties concerning environmental issues united nations framework conventionclimate_changeconvention long-range transboundary,air_pollution,rotterdam convention prior informed consent procedure,health
PLW_2000.L81,7,7,peoples problems ranging hunger poverty tuberculosis,malaria,spread hiv aidsglobal_warmingenvironmental degradation vulnerability just responsibilities countries regions affected,health
PNG_2001.L962,15,15,generous support neighbours dealing effects disastersglobal_warmingalso brought increased numbers cases,diseases,malaria higher-altitude populous region,health
PNG_2001.L962,16,16,support neighbours dealing effects disastersglobal_warmingalso brought increased numbers cases diseases,malaria,higher-altitude populous region,health
PNG_2001.L987,1,1,,malaria,region real negatively affect demographics country definitely link amongclimate_changenatural disaster,health
PNG_2001.L987,15,15,affect demographics country definitely link amongclimate_changenatural disaster spread increased incidence,disease,papua new guinea exempt,health
KHM_2002.L754,7,7,terrorism totally eliminated menace hiv aids,pandemic,curbed poverty alleviatedglobal_warmingkept check possible building better cooperation closer partnership,health
PNG_2002.L883,14,14,result directly indirectly transport radioactive material regionglobal_warmingbrought increase number cases,diseases,like malaria higher- altitude regions,health
PNG_2002.L883,16,16,indirectly transport radioactive material regionglobal_warmingbrought increase number cases diseases like,malaria,higher- altitude regions,health
LAO_2003.L139,16,16,social economic fronts striking issuesglobal_warmingpollution natural disasters hiv aids incurable,diseases,poverty underdevelopment crises,health
PNG_2003.L717,12,12,resolved meet challenges poverty eradication hunger illiteracy environmental degradationclimate_changehiv aids,malaria,preventable diseases also committed addressing issues good,health
PNG_2003.L717,14,14,challenges poverty eradication hunger illiteracy environmental degradationclimate_changehiv aids malaria preventable,diseases,also committed addressing issues good,health
SVK_2003.L929,9,9,today including extreme poverty drug smuggling spread deadly,diseases,globalclimate_changefinding appropriate solutions issues requires multilateral cooperation viable united nations,health
HRV_2004.L339,9,9,today including extreme poverty drug smuggling spread deadly,diseases,globalclimate_changeglobalization needs mastered opportunities offers need assessed excesses rectified finding,health
KIR_2004.L95,16,16,arsenals accelerated environmental degradation threatglobal_warmingsea-level rise hunger poverty hiv aids,pandemic,non- communicable diseases,health
KIR_2004.L95,19,19,degradation threatglobal_warmingsea-level rise hunger poverty hiv aids pandemic non- communicable,diseases,,health
LAO_2004.L708,14,14,armed conflicts terrorism global crime human traffickingglobal_warmingenvironmental degradation hiv aids,diseases,marginalization developing countries particular three,health
BRA_2005.L740,4,4,crises global scope,pandemic,explosion hiv aids serious threats posedclimate_changebrazil continue promote implementation existing,health
VAT_2005.L260,11,11,environment small gains made last area remain risk among thingsclimate_changenew,diseases,irresponsible destruction forests water pollution depletion fish stocks,health
AUS_2006.L497,2,2,poverty,disease,can sign high- minded manifestos protect environment riskclimate_changealongside global security,health
MUS_2006.L846,12,12,climate_change may one biggest threats humankind particular concern impactglobal_warmingcertain vectors,disease,leading proliferation estimated africa example may witness,health
MUS_2006.L864,7,7,example may witness many millions cases,malaria,mosquito-borne diseases resultclimate_changemauritius fully committed successful conclusion doha development round,health
MUS_2006.L864,9,9,example may witness many millions cases malaria mosquito-borne,diseases,resultclimate_changemauritius fully committed successful conclusion doha development round look forward,health
NZL_2006.L305,16,16,development security issues markets distantclimate_changereality political instability help threats communicable,diseases,hiv aids pandemic,health
NZL_2006.L305,19,19,markets distantclimate_changereality political instability help threats communicable diseases hiv aids,pandemic,,health
VCT_2006.L292,19,19,environmental degradationclimate_changeempowerment women protection children promotion peace security hiv aids,pandemic,,health
AND_2007.L354,9,9,really threatened vulnerable persons countries ones suffer war,illness,underdevelopmentclimate_changeaffect us us equally time trafficking abuse children women continue,health
ATG_2007.L594,7,7,provision free low-cost social services areas,health,education among othersclimate_changeglobal problem requiring collective response respond quickly result,health
BFA_2007.L106,1,1,,epidemics,implications beyond statistics heavy price country burkina faso paysglobal_warmingphenomenon linked,health
BWA_2007.L123,9,9,human cultural resources technology end severe global poverty,disease,reverseclimate_changeprevent wars alleviate human suffering unfortunately substantial resources continue wasted,health
CHE_2007.L459,3,3,risks security,health,development discussed fourth assessment report intergovernmental panelclimate_changetoday environmental problems threat,health
ISL_2007.L327,9,9,fundamental issue new millennium whether relation peace security,health,povertyclimate_changeempowerment women key success women men need equally represented listened,health
JAM_2007.L830,3,3,curtail spread,disease,owing assigned middle-income status implementing global responseclimate_changemust remain priority seek,health
JOR_2007.L723,16,16,international challenges human rights armamentsclimate_changeterrorism international crime poverty hunger infectious,diseases,increasing factional sectarian,health
KHM_2007.L87,11,11,myriad problems ranging peace security development terrorism regional conflicts povertyglobal_warmingpandemic,diseases,forth old new emerging crises indeed global proportion,health
MDG_2007.L622,6,6,biodiversity also lead harmful inserts,illnesses,africa already seeing consequencesclimate_changedroughts floods causes increased migration serious conflicts,health
PRT_2007.L189,8,8,building true partnership development promoting education decent,health,standards combatingclimate_changecontext must mention one stated objectives european union adoption,health
SGP_2007.L135,14,14,face can overcome nations world acting togetherclimate_changeone another danger global,pandemics,must also kept high agenda,health
SGP_2007.L241,11,11,premier china chief executive hong kong director-general also invited whetherclimate_changeglobal,pandemics,fight terrorism multilateral trading system international finance need,health
SLE_2007.L86,3,3,natural disasters,diseases,hunger poverty oppression abuse violation rights menaceclimate_changeachievement development goals remain,health
SRB_2007.L778,7,7,bellicose extremism mass poverty organized crime,pandemic,diseases harmful consequencesclimate_changeglobal_warming surely major problem age rightly figures one,health
SRB_2007.L778,8,8,bellicose extremism mass poverty organized crime pandemic,diseases,harmful consequencesclimate_changeglobal_warming surely major problem age rightly figures one central,health
SRB_2007.L779,6,6,extremism mass poverty organized crime,pandemic,diseases harmful consequences climate_changeglobal_warmingsurely major problem age rightly figures one,health
SRB_2007.L779,7,7,extremism mass poverty organized crime pandemic,diseases,harmful consequences climate_changeglobal_warmingsurely major problem age rightly figures one central,health
TZA_2007.L95,19,19,high-level eventclimate_changefour days ago meeting gave us opportunity discuss state,health,,health
UGA_2007.L164,12,12,poor countries well agriculture overwhelmingly subsistence rain-fed therefore vulnerableclimate_variabilitychange vulnerability,health,sector also evident frequent floods result outbreaks,health
UGA_2007.L184,3,3,outbreaks waterborne,diseases,cholera typhoid dysentery increased incidence malaria indeedclimate_changetoday constitutes danger human,health
UGA_2007.L184,9,9,outbreaks waterborne diseases cholera typhoid dysentery increased incidence,malaria,indeedclimate_changetoday constitutes danger human security considering effects climate_change existence small,health
UGA_2007.L192,1,1,,malaria,indeed climate_change today constitutes danger human security considering effectsclimate_changeexistence small,health
VNM_2007.L133,8,8,poverty time many pressing global issues emerged,epidemics,environmental pollutionclimate_changeproved serious threats human life note satisfaction rapid proliferation,health
WSM_2007.L406,1,1,,epidemic,diseases mapped discussed debated negotiated cases agreed life organizationclimate_changeglobal long-term,health
WSM_2007.L406,2,2,epidemic,diseases,mapped discussed debated negotiated cases agreed life organizationclimate_changeglobal long-term challenges,health
ZMB_2007.L159,16,16,inhabitants underdevelopment conflict human traffickingclimate_changeterrorism violations human rights hiv aids,pandemic,gender inequality challenges,health
ZMB_2007.L636,7,7,zambia's development efforts compromised hiv aids,pandemic,now adverse effectsclimate_changeregard hiv aids pandemic government declared national crisis,health
ZMB_2007.L636,13,13,efforts compromised hiv aids pandemic now adverse effectsclimate_changeregard hiv aids,pandemic,government declared national crisis requiring sustained,health
BWA_2008.L434,7,7,complex challenges twenty-first century conflicts poverty,disease,natural man-made disastersclimate_changeenergy terrorism among myriad pressing problems confront humanity,health
CHN_2008.L630,16,16,issues threatening survival development mankindglobal_warmingenvironmental degradation resource constraints frequent outbreaks,diseases,natural disasters spread,health
CYP_2008.L95,14,14,nations best forum addressing global problems povertyclimate_changerising energy food prices,diseases,natural disasters human rights abuses,health
DEU_2008.L160,17,17,new challenges twenty-first centuryclimate_changescarcity raw materials access food water fight,epidemics,pandemics terrorism,health
DEU_2008.L160,18,18,challenges twenty-first centuryclimate_changescarcity raw materials access food water fight epidemics,pandemics,terrorism,health
ECU_2008.L279,9,9,especially fundamentally important programmes fight poverty hiv aids,malaria,effectsclimate_changecitizens beginning call us account regard resources contribute annually organization,health
GNQ_2008.L237,14,14,focus debate injustice poverty energy food crisesclimate_changeinequality poor access education,health,care new technologies needed poor,health
GUY_2008.L427,4,4,food maintenance basic,nutrition,recent times assembly deeply concerned consequencesclimate_changerightly future generations demand concern,health
HTI_2008.L798,12,12,can longer confined within closed spaces separated impassable bordersclimate_changeborders viruses,diseases,elusive undocumented visitors hunger poor threat continue,health
JAM_2008.L208,11,11,people expand markets goods services interdependency share manifested many areasclimate_changeglobal,epidemics,organized crime human trafficking solving problem developing countries,health
LCA_2008.L589,13,13,impact rising global prices issues surrounding energy useclimate_changeimplications region's food,nutrition,security among issues arising deliberations emphasized,health
LVA_2008.L428,8,8,picture must achieve interim main clusters mdgs,health,education growthclimate_changeunited nations needs immediately also need clearer picture required,health
MDG_2008.L386,6,6,management sustainable development resistance crops,disease,climate_change given impact globalclimate_changemaintaining healthy biodiversity critical sustaining future production,health
NGA_2008.L516,16,16,sources energy avert looming disasterclimate_changecontinent already vulnerable tenth need breakthrough,malaria,vaccine together greater,health
NZL_2008.L217,6,6,broader-based growth sustainable livelihoods improving,health,education reducing vulnerabilities includingclimate_changechallenging times look united nations deliver effectively,health
SMR_2008.L518,12,12,lent impetus states activities underscored need cooperation population growthclimate_changespread new,diseases,well economic financial instability armed conflicts seriously,health
SUR_2008.L93,19,19,threats global_warmingclimate_changerecently global food energy crises infringement people's rights food,health,,health
SWZ_2008.L54,11,11,united nations world continues face many challenges include catastrophic effectsclimate_changecomplicated,diseases,tuberculosis malaria hiv aids epidemic food shortages situation,health
SWZ_2008.L54,13,13,world continues face many challenges include catastrophic effectsclimate_changecomplicated diseases tuberculosis,malaria,hiv aids epidemic food shortages situation,health
SWZ_2008.L54,16,16,many challenges include catastrophic effectsclimate_changecomplicated diseases tuberculosis malaria hiv aids,epidemic,food shortages situation,health
TUR_2008.L102,7,7,goals however common fight poverty illiteracy,epidemic,diseases child mortalityclimate_changestill far contrary volatile fuel prices food crisis,health
TUR_2008.L102,8,8,goals however common fight poverty illiteracy epidemic,diseases,child mortalityclimate_changestill far contrary volatile fuel prices food crisis global,health
VNM_2008.L377,15,15,establish legal framework international cooperation addressingclimate_changebeyond 2012 despite natural disasters,epidemics,viet nam honouring commitments,health
ZMB_2008.L804,19,19,erratic rainfallextreme_weatherconditions threatening water agricultural systems thereby condemning millions face,malnutrition,,health
ATG_2009.L106,1,1,,diseases,worsening poverty hunger trap millions around globe adverse consequencesclimate_changetensions peace,health
BHR_2009.L985,3,3,environmental degradation,pandemics,desertification poverty water scarcity depletion ozone layerclimate_changeworld financial crisis challenges,health
BRB_2009.L118,11,11,threat food fuel scarcity worst economic financial crisis decades challengeclimate_changeinfluenza,pandemics,assumed international multidimensional character together undermined foundations multilateral,health
CHE_2009.L36,13,13,economic downturn illustrates interconnectedness world reminds us issuesclimate_changefood crisis migration,pandemics,terrorism proliferation weapons mass destruction confined,health
CHN_2009.L69,16,16,development imbalances acute global issuesclimate_changefood security energy resource security public,health,security thrown sharp,health
CHN_2009.L477,16,16,work mutual benefit common progressclimate_changefood security energy resource security public,health,security global challenges,health
CMR_2009.L531,18,18,greenhouse gas emissionsglobal_warmingsalient feature affects many socio-economic sectors including energy,health,agriculture,health
COG_2009.L161,8,8,less dollar day children die unnecessarily hunger,disease,us knowclimate_changeabetting scourges countries least responsible suffer effects producing per,health
DEU_2009.L170,3,3,protection fight,epidemics,strengthening rights women challenges country responsibility meetclimate_changepre-eminent challenge twenty-first century,health
EGY_2009.L1332,6,6,food security africa's special needs,diseases,pandemics role civil societyclimate_changeenergy human trafficking international terrorism dialogue among,health
EGY_2009.L1332,7,7,food security africa's special needs diseases,pandemics,role civil societyclimate_changeenergy human trafficking international terrorism dialogue among civilizations,health
FJI_2009.L90,8,8,global crises financial economic crisis 2009 h1n1,pandemic,dramatic phenomenonclimate_changesmall economies like global events real effect daily livelihoods,health
FSM_2009.L856,8,8,together survival crisis time war economic hardship,epidemic,today crisisclimate_changesimply time waste therefore stop talk cheap action speaks,health
JOR_2009.L191,12,12,global village everybody feels negative effects problems challenges desertificationclimate_changeterrorism poverty,pandemics,proliferation weapons mass destruction among major achievements,health
MDA_2009.L73,9,9,financial economic crisis food energy crises first flu,pandemic,centuryclimate_changecore deliberations united nations revealing central role organization dealing problems,health
MNE_2009.L67,11,11,given impact world economic financial crisis related food energy crisesclimate_changeflu,pandemic,economic social growth development politics global relations including,health
NPL_2009.L1027,1,1,,health,livelihoods infrastructure affected nepal recently hosted high-level regional conferenceclimate_changefocusing himalayan,health
PNG_2009.L231,19,19,threats climate_changeglobal_warmingglobal food crisis now compounded global financial crisis threats,diseases,,health
PNG_2009.L955,14,14,response papua new guinea today see evidenceclimate_changeinundation coastal areas increase,malaria,due warming highlands region country,health
POL_2009.L140,15,15,earlier problems conflicts many recent problemclimate_changeproblem poverty new add problem,health,aids epidemics however problem,health
POL_2009.L140,17,17,conflicts many recent problemclimate_changeproblem poverty new add problem health aids,epidemics,however problem,health
ROU_2009.L544,13,13,development growth second staying focused demanding interconnected issuesclimate_changepoverty food security,health,energy migration lack democracy parts world,health
SLB_2009.L285,19,19,per centgreenhousegas emissions solomon islands agrees one mitigating solutions protecting,health,,health
SLE_2009.L122,15,15,made problems longer specific particular regionsclimate_changehiv aids tuberculosis swine flu,pandemics,food fuel crises including,health
STP_2009.L421,1,1,,health,education almost although yet completely satisfied biggest debates relatedglobal_warmingconcentrate substitutions,health
STP_2009.L612,1,1,,health,organization hope united nations agencies united nations framework conventionclimate_changeinternational civil,health
SVN_2009.L235,14,14,main challenges time consistent manner food crisisclimate_changeenergy crisis spreading infectious,diseases,problems may different roots produce,health
THA_2009.L58,1,1,,disease,hunger still affect many supply traditional sources energy dwindlingclimate_changetransforming environment,health
TTO_2009.L793,18,18,emitters countries threatenedclimate_changedetermined power ensure agreement copenhagen firmly view non-communicable,diseases,demand,health
TUV_2009.L577,12,12,vulnerable country vulnerable global economic shocks highly vulnerable impactsclimate_changeleast vulnerable,disease,outbreaks however despite wide recognition given reiterated,health
USA_2009.L1779,17,17,differentiated responses effort curbcarbon_emissionsmust include fast-growing carbon emitters can reduce,air_pollution,without inhibiting,health
VCT_2009.L855,1,1,,health,challenges logically compelled participation world health assembly global reachclimate_changemerit 09-53165,health
VCT_2009.L855,7,7,health challenges logically compelled participation world,health,assembly global reachclimate_changemerit 09-53165 meaningful participation united nations framework convention,health
VNM_2009.L414,6,6,mechanisms address energy food crisis,pandemics,climate_change including issues discussedclimate_changeconference copenhagen december united nations reform process,health
AND_2010.L161,19,19,devastating effectsclimate_changecan phenomenon jeopardizes poorest populations affects access water compounds,malnutrition,,health
ATG_2010.L217,14,14,greater urgency meet objectives scale poverty conflictsglobal_warmingeconomic financial crisis migration,pandemics,terrorism international crime demands collective,health
CAN_2010.L717,11,11,together single boat solo voyagers travel together matters interests interconnectedclimate_changehealth,pandemic,threats course economy example nations consider effects economic,health
