docname,from,to,pre,keyword,post,pattern
SWE_1988.L732,1,1,,greenhouse,effect life-giving resources destroyed erosion desertification devastation forests people'shealthincreasingly affected,climate
JPN_1989.L2207,13,13,explore oceans- depths ominous acceleration pace environmental destructionhealthplanet gravely threatened,global_warming,destruction ozone layer depletion tropical rain,climate
LBY_1989.L2158,15,15,indicators crisis around us addition seriousair_pollutiondesertification soil erosion depletion forests,greenhouse,effect unusual climatic changes,climate
BTN_1991.L1119,1,1,,greenhouse,effect depletion ozone layer include climatic changes increase certainhealthproblems air,climate
ATG_1993.L554,17,17,agriculture living animals humanhealthwell-being borne mind contribution small island states,climate_change,global_warming sea-level,climate
ATG_1993.L554,18,18,living animals humanhealthwell-being borne mind contribution small island states climate_change,global_warming,sea-level,climate
BHS_1995.L173,14,14,save seemingly inevitable lot chronic poverty ignorancediseasethreat nuclear annihilation consequences,global_warming,good enough save generations life,climate
JPN_1995.L141,19,19,even basichealth_careneedless say remain increasingly grave problems environmental degradation including,global_warming,,climate
LUX_1995.L970,17,17,borders thinking inter aliahealthproblems aids environmental problems depletion ozone layer,global_warming,also social,climate
GBR_1996.L824,5,5,growing problems planet survival,climate_change,environment future world's oceans forestspandemicdiseases development ignores sustainable united nations,climate
SLB_1996.L662,5,5,self-reliance village development solar,renewable_energy,resources water wind economic educationhealthdevelopment plans several weeks ago internet,climate
TTO_1998.L1176,11,11,served united nations agencies approval grants projects broad categories children'shealthenvironment,climate_change,women population food security drug control poverty alleviation,climate
MHL_1999.L298,9,9,however extreme events observed recent years indications expected,climate_change,climate_changediseaseobserving symptoms pacific experienced number severe weather events changes normal,climate
KGZ_2000.L815,7,7,environmental issues united nations framework convention,climate_change,convention long-range transboundaryair_pollutionrotterdam convention prior informed consent procedure certain hazardous,climate
PLW_2000.L77,13,13,impose world peoples problems ranging hunger poverty tuberculosismalariaspread hiv aids,global_warming,environmental degradation vulnerability just responsibilities countries,climate
PNG_2001.L969,4,4,dealing effects disasters,global_warming,also brought increased numbers cases diseasesmalariahigher-altitude populous region country threat,climate
PNG_2001.L977,19,19,increased incidencemalariaregion real negatively affect demographics country definitely link among,climate_change,,climate
PNG_2001.L993,5,5,country definitely link among,climate_change,natural disaster spread increased incidencediseasepapua new guinea exempt hiv aids,climate
KHM_2002.L750,13,13,reduced threat terrorism totally eliminated menace hiv aidspandemiccurbed poverty alleviated,global_warming,kept check possible building better cooperation,climate
PNG_2002.L890,4,4,radioactive material region,global_warming,brought increase number cases diseases likemalariahigher- altitude regions country still,climate
PNG_2003.L720,8,8,challenges poverty eradication hunger illiteracy environmental degradation,climate_change,hiv aidsmalariapreventable diseases also committed addressing issues good governance desire,climate
KIR_2004.L102,4,4,environmental degradation threat,global_warming,sea-level rise hunger poverty hiv aidspandemicnon- communicable diseases marginalization least,climate
BRA_2005.L733,16,16,faced two crises global scopepandemicexplosion hiv aids serious threats posed,climate_change,brazil continue promote,climate
AUS_2006.L488,18,18,confronting ravages povertydiseasecan sign high- minded manifestos protect environment risk,climate_change,alongside,climate
MUS_2006.L849,8,8,one biggest threats humankind particular concern impact,global_warming,certain vectorsdiseaseleading proliferation estimated africa example may witness many millions,climate
MUS_2006.L860,13,13,estimated africa example may witness many millions casesmalariamosquito-borne diseases result,climate_change,mauritius fully committed successful conclusion doha,climate
NZL_2006.L315,1,1,,climate_change,reality political instability help threats communicable diseases hiv aidspandemicinfluenza must,climate
VCT_2006.L302,1,1,,climate_change,empowerment women protection children promotion peace security hiv aidspandemicprovision clean,climate
AND_2007.L352,11,11,accurate assertion really threatened vulnerable persons countries ones suffer warillnessunderdevelopment,climate_change,affect us us equally time trafficking abuse children,climate
ATG_2007.L590,13,13,employment generation provision free low-cost social services areashealtheducation among others,climate_change,global problem requiring collective response respond,climate
BWA_2007.L121,11,11,peoples earth human cultural resources technology end severe global povertydiseasereverse,climate_change,prevent wars alleviate human suffering unfortunately substantial resources,climate
CHE_2007.L451,17,17,living conditions risks securityhealthdevelopment discussed fourth assessment report intergovernmental panel,climate_change,today environmental,climate
ISL_2007.L325,11,11,participation levels fundamental issue new millennium whether relation peace securityhealthpoverty,climate_change,empowerment women key success women men need equally,climate
JAM_2007.L822,17,17,necessary funding curtail spreaddiseaseowing assigned middle-income status implementing global response,climate_change,must remain,climate
JOR_2007.L729,5,5,challenges human rights armaments,climate_change,terrorism international crime poverty hungerinfectiousdiseases increasing factional sectarian ethnic conflicts,climate
PRT_2007.L186,12,12,eradicating poverty building true partnership development promoting education decenthealthstandards combating,climate_change,context must mention one stated objectives european,climate
SRB_2007.L774,13,13,security terrorism bellicose extremism mass poverty organized crimepandemicdiseases harmful consequences,climate_change,global_warming surely major problem age rightly,climate
SRB_2007.L774,14,14,terrorism bellicose extremism mass poverty organized crimepandemicdiseases harmful consequences climate_change,global_warming,surely major problem age rightly,climate
TZA_2007.L105,1,1,,climate_change,four days ago meeting gave us opportunity discuss statehealthcommon planet,climate
UGA_2007.L167,8,8,well agriculture overwhelmingly subsistence rain-fed therefore vulnerable,climate_variability,change vulnerabilityhealthsector also evident frequent floods result outbreaks waterborne diseases,climate
UGA_2007.L182,11,11,floods result outbreaks waterborne diseases cholera typhoid dysentery increased incidencemalariaindeed,climate_change,today constitutes danger human security considering effects climate_change,climate
UGA_2007.L182,19,19,increased incidencemalariaindeed climate_change today constitutes danger human security considering effects,climate_change,,climate
WSM_2007.L396,19,19,wild spreadepidemicdiseases mapped discussed debated negotiated cases agreed life organization,climate_change,,climate
ZMB_2007.L166,4,4,conflict human trafficking,climate_change,terrorism violations human rights hiv aidspandemicgender inequality challenges recently emerged,climate
ZMB_2007.L632,13,13,per cent zambia's development efforts compromised hiv aidspandemicnow adverse effects,climate_change,regard hiv aids pandemic government declared,climate
ZMB_2007.L640,7,7,hiv aids pandemic now adverse effects,climate_change,regard hiv aidspandemicgovernment declared national crisis requiring sustained mitigation preventive,climate
BWA_2008.L430,13,13,effectively swiftly complex challenges twenty-first century conflicts povertydiseasenatural man-made disasters,climate_change,energy terrorism among myriad pressing problems,climate
ECU_2008.L277,11,11,development programmes especially fundamentally important programmes fight poverty hiv aidsmalariaeffects,climate_change,citizens beginning call us account regard resources contribute,climate
GNQ_2008.L242,6,6,injustice poverty energy food crises,climate_change,inequality poor access educationhealth_carenew technologies needed poor countries develop thus,climate
GUY_2008.L420,16,16,improved access food maintenance basicnutritionrecent times assembly deeply concerned consequences,climate_change,rightly future generations,climate
LCA_2008.L591,7,7,global prices issues surrounding energy use,climate_change,implications region's foodnutritionsecurity among issues arising deliberations emphasized need governments,climate
LVA_2008.L425,12,12,2015 clearer picture must achieve interim main clusters mdgshealtheducation growth,climate_change,united nations needs immediately also need clearer,climate
MDG_2008.L381,14,14,need environmental management sustainable development resistance cropsdiseaseclimate_change given impact global,climate_change,maintaining healthy biodiversity critical sustaining,climate
NGA_2008.L523,4,4,avert looming disaster,climate_change,continent already vulnerable tenth need breakthroughmalariavaccine together greater sustained support,climate
NZL_2008.L212,14,14,governance achieving broader-based growth sustainable livelihoods improvinghealtheducation reducing vulnerabilities including,climate_change,challenging times look united nations,climate
SUR_2008.L103,1,1,,climate_change,recently global food energy crises infringement people's rights foodhealtheducation security,climate
SWZ_2008.L58,7,7,face many challenges include catastrophic effects,climate_change,complicated diseases tuberculosismalariahiv aids epidemic food shortages situation compounded high,climate
SWZ_2008.L61,4,4,include catastrophic effects,climate_change,complicated diseases tuberculosis malaria hiv aidsepidemicfood shortages situation compounded high,climate
TUR_2008.L98,13,13,millennium development goals however common fight poverty illiteracyepidemicdiseases child mortality,climate_change,still far contrary volatile fuel prices,climate
ZMB_2008.L814,1,1,,extreme_weather,conditions threatening water agricultural systems thereby condemning millions facemalnutritionwater shortages,climate
CHN_2009.L75,5,5,imbalances acute global issues,climate_change,food security energy resource securitypublic_healthsecurity thrown sharp relief non-traditional security,climate
CHN_2009.L481,5,5,mutual benefit common progress,climate_change,food security energy resource securitypublic_healthsecurity global challenges country immune way,climate
CMR_2009.L540,2,2,emissions,global_warming,salient feature affects many socio-economic sectors including energyhealthagriculture livestock production,climate
COG_2009.L158,12,12,still live less dollar day children die unnecessarily hungerdiseaseus know,climate_change,abetting scourges countries least responsible suffer effects,climate
FJI_2009.L87,12,12,victims contemporary global crises financial economic crisis 2009 h1n1pandemicdramatic phenomenon,climate_change,small economies like global events real effect,climate
FSM_2009.L854,12,12,disagreed coming together survival crisis time war economic hardshipepidemictoday crisis,climate_change,simply time waste therefore stop talk cheap,climate
MDA_2009.L71,11,11,year current financial economic crisis food energy crises first flupandemiccentury,climate_change,core deliberations united nations revealing central role organization,climate
MNE_2009.L69,9,9,world economic financial crisis related food energy crises,climate_change,flupandemiceconomic social growth development politics global relations including achievement millennium,climate
NPL_2009.L1017,19,19,effects agriculturehealthlivelihoods infrastructure affected nepal recently hosted high-level regional conference,climate_change,,climate
PNG_2009.L960,6,6,new guinea today see evidence,climate_change,inundation coastal areas increasemalariadue warming highlands region country especially plight,climate
POL_2009.L146,5,5,conflicts many recent problem,climate_change,problem poverty new add problemhealthaids epidemics however problem current crisis,climate
ROU_2009.L548,7,7,second staying focused demanding interconnected issues,climate_change,poverty food securityhealthenergy migration lack democracy parts world maintaining international,climate
SLB_2009.L295,1,1,,greenhouse,gas emissions solomon islands agrees one mitigating solutions protectinghealthenvironment urge,climate
STP_2009.L412,19,19,goals areashealtheducation almost although yet completely satisfied biggest debates related,global_warming,,climate
