Year,HDI Level,Total documents,Climate,Health,Intersection
2011,Very high human development,795,0.77,0.84,0.28
2012,Very high human development,1065,0.75,0.82,0.24
2013,Very high human development,1207,0.71,0.81,0.22
2014,Very high human development,1304,0.7,0.8,0.23
2015,Very high human development,1369,0.7,0.81,0.25
2016,Very high human development,1472,0.68,0.8,0.24
2017,Very high human development,1521,0.72,0.8,0.26
2018,Very high human development,1540,0.73,0.82,0.3
2019,Very high human development,1741,0.74,0.84,0.3
2020,Very high human development,1654,0.79,0.86,0.41
2011,Medium human development,101,0.52,0.78,0.21
2012,Medium human development,136,0.54,0.85,0.2
2013,Medium human development,142,0.51,0.81,0.13
2014,Medium human development,148,0.51,0.8,0.11
2015,Medium human development,172,0.48,0.79,0.15
2016,Medium human development,172,0.54,0.81,0.16
2017,Medium human development,173,0.53,0.81,0.15
2018,Medium human development,166,0.52,0.84,0.15
2019,Medium human development,175,0.55,0.83,0.2
2020,Medium human development,123,0.54,0.84,0.2
2011,Low human development,9,0.56,0.78,0.22
2012,Low human development,13,0.38,0.77,0.08
2013,Low human development,24,0.17,0.71,0
2014,Low human development,25,0.2,0.64,0
2015,Low human development,24,0.46,0.79,0.12
2016,Low human development,28,0.36,0.68,0.11
2017,Low human development,29,0.31,0.76,0.1
2018,Low human development,29,0.45,0.79,0.24
2019,Low human development,39,0.46,0.79,0.15
2020,Low human development,19,0.47,0.63,0.21
2011,High human development,153,0.65,0.73,0.24
2012,High human development,211,0.58,0.7,0.21
2013,High human development,229,0.57,0.79,0.23
2014,High human development,248,0.54,0.76,0.17
2015,High human development,250,0.55,0.78,0.15
2016,High human development,304,0.52,0.7,0.18
2017,High human development,285,0.55,0.74,0.21
2018,High human development,301,0.55,0.7,0.21
2019,High human development,295,0.54,0.74,0.24
2020,High human development,267,0.59,0.76,0.3
