,WHO,Year,intersection,climate,health,sum
0,European,2011,566.0,9091.0,19060.0,28717.0
1,European,2012,600.0,10437.0,23939.0,34976.0
2,European,2013,672.0,10756.0,24146.0,35574.0
3,European,2014,664.0,11543.0,25660.0,37867.0
4,European,2015,654.0,10941.0,26032.0,37627.0
5,European,2016,801.0,12357.0,27574.0,40732.0
6,European,2017,946.0,12912.0,28542.0,42400.0
7,European,2018,943.0,13879.0,32358.0,47180.0
8,European,2019,1268.0,18100.0,36904.0,56272.0
9,European,2020,1684.0,22740.0,41198.0,65622.0
10,European,2021,4811.0,42060.0,97259.0,144130.0
