,WHO,Year,intersection,climate,health,sum,Sector
0,European,2011,0.0,18.0,203.0,221.0,Health Care Equipment & Ser...
1,European,2012,3.0,37.0,347.0,387.0,Health Care Equipment & Ser...
2,European,2013,0.0,59.0,750.0,809.0,Health Care Equipment & Ser...
3,European,2014,9.0,79.0,1067.0,1155.0,Health Care Equipment & Ser...
4,European,2015,8.0,110.0,1257.0,1375.0,Health Care Equipment & Ser...
5,European,2016,3.0,113.0,1011.0,1127.0,Health Care Equipment & Ser...
6,European,2017,8.0,161.0,1618.0,1787.0,Health Care Equipment & Ser...
7,European,2018,28.0,180.0,1913.0,2121.0,Health Care Equipment & Ser...
8,European,2019,26.0,216.0,1350.0,1592.0,Health Care Equipment & Ser...
9,European,2020,58.0,262.0,2033.0,2353.0,Health Care Equipment & Ser...
10,European,2021,141.0,657.0,4764.0,5562.0,Health Care Equipment & Ser...
