,HDI,Year,intersection,climate,health,sum,Sector
0,HIGH HUMAN DEVELOPMENT,2013,0.0,2.0,64.0,66.0,Health Care Equipment & Ser...
1,HIGH HUMAN DEVELOPMENT,2014,0.0,0.0,43.0,43.0,Health Care Equipment & Ser...
2,HIGH HUMAN DEVELOPMENT,2015,0.0,1.0,43.0,44.0,Health Care Equipment & Ser...
3,HIGH HUMAN DEVELOPMENT,2016,0.0,0.0,11.0,11.0,Health Care Equipment & Ser...
4,VERY HIGH HUMAN DEVELOPMENT,2011,0.0,18.0,203.0,221.0,Health Care Equipment & Ser...
5,VERY HIGH HUMAN DEVELOPMENT,2012,3.0,37.0,347.0,387.0,Health Care Equipment & Ser...
6,VERY HIGH HUMAN DEVELOPMENT,2013,0.0,57.0,686.0,743.0,Health Care Equipment & Ser...
7,VERY HIGH HUMAN DEVELOPMENT,2014,9.0,79.0,1024.0,1112.0,Health Care Equipment & Ser...
8,VERY HIGH HUMAN DEVELOPMENT,2015,8.0,109.0,1214.0,1331.0,Health Care Equipment & Ser...
9,VERY HIGH HUMAN DEVELOPMENT,2016,3.0,113.0,1000.0,1116.0,Health Care Equipment & Ser...
10,VERY HIGH HUMAN DEVELOPMENT,2017,8.0,161.0,1618.0,1787.0,Health Care Equipment & Ser...
11,VERY HIGH HUMAN DEVELOPMENT,2018,28.0,180.0,1913.0,2121.0,Health Care Equipment & Ser...
12,VERY HIGH HUMAN DEVELOPMENT,2019,26.0,216.0,1350.0,1592.0,Health Care Equipment & Ser...
13,VERY HIGH HUMAN DEVELOPMENT,2020,58.0,262.0,2033.0,2353.0,Health Care Equipment & Ser...
14,VERY HIGH HUMAN DEVELOPMENT,2021,141.0,657.0,4764.0,5562.0,Health Care Equipment & Ser...
