,WHO,Year,intersection,climate,health,sum
10,African,2011,59.0,411.0,815.0,1285.0
11,African,2012,17.0,225.0,962.0,1204.0
12,African,2013,36.0,403.0,1465.0,1904.0
13,African,2014,73.0,523.0,1537.0,2133.0
14,African,2015,49.0,640.0,1904.0,2593.0
15,African,2016,40.0,658.0,1992.0,2690.0
16,African,2017,54.0,468.0,1423.0,1945.0
17,African,2018,25.0,377.0,1234.0,1636.0
18,African,2019,57.0,519.0,1570.0,2146.0
19,African,2020,40.0,450.0,929.0,1419.0
20,African,2021,172.0,1223.0,3209.0,4604.0
21,Americas,2011,183.0,2201.0,4764.0,7148.0
22,Americas,2012,168.0,2997.0,5688.0,8853.0
23,Americas,2013,191.0,2326.0,5887.0,8404.0
24,Americas,2014,185.0,2470.0,7618.0,10273.0
25,Americas,2015,262.0,2797.0,8970.0,12029.0
26,Americas,2016,316.0,3217.0,8656.0,12189.0
27,Americas,2017,349.0,3713.0,8902.0,12964.0
28,Americas,2018,349.0,3586.0,8848.0,12783.0
29,Americas,2019,373.0,4532.0,8903.0,13808.0
30,Americas,2020,540.0,5534.0,10505.0,16579.0
31,Americas,2021,1704.0,11251.0,27667.0,40622.0
32,Eastern Mediterranean,2011,17.0,114.0,477.0,608.0
33,Eastern Mediterranean,2012,18.0,216.0,949.0,1183.0
34,Eastern Mediterranean,2013,31.0,189.0,1137.0,1357.0
35,Eastern Mediterranean,2014,13.0,173.0,726.0,912.0
36,Eastern Mediterranean,2015,11.0,266.0,1090.0,1367.0
37,Eastern Mediterranean,2016,25.0,345.0,1083.0,1453.0
38,Eastern Mediterranean,2017,27.0,329.0,1064.0,1420.0
39,Eastern Mediterranean,2018,39.0,744.0,1680.0,2463.0
40,Eastern Mediterranean,2019,38.0,661.0,1691.0,2390.0
41,Eastern Mediterranean,2020,49.0,434.0,1467.0,1950.0
42,Eastern Mediterranean,2021,115.0,748.0,3129.0,3992.0
43,European,2011,474.0,7391.0,12873.0,20738.0
44,European,2012,495.0,7988.0,16734.0,25217.0
45,European,2013,545.0,8269.0,16518.0,25332.0
46,European,2014,570.0,9493.0,19304.0,29367.0
47,European,2015,507.0,8607.0,17254.0,26368.0
48,European,2016,697.0,9863.0,19212.0,29772.0
49,European,2017,788.0,10155.0,19730.0,30673.0
50,European,2018,745.0,10822.0,21297.0,32864.0
51,European,2019,1046.0,14191.0,25265.0,40502.0
52,European,2020,1404.0,18600.0,29115.0,49119.0
53,European,2021,3806.0,34451.0,68284.0,106541.0
54,South-East Asian,2011,101.0,2688.0,2743.0,5532.0
55,South-East Asian,2012,133.0,3230.0,3519.0,6882.0
56,South-East Asian,2013,201.0,2729.0,4016.0,6946.0
57,South-East Asian,2014,194.0,2609.0,4147.0,6950.0
58,South-East Asian,2015,175.0,2724.0,4934.0,7833.0
59,South-East Asian,2016,190.0,2562.0,4163.0,6915.0
60,South-East Asian,2017,195.0,2479.0,4768.0,7442.0
61,South-East Asian,2018,149.0,1988.0,4025.0,6162.0
62,South-East Asian,2019,268.0,2335.0,4283.0,6886.0
63,South-East Asian,2020,256.0,2348.0,3931.0,6535.0
64,South-East Asian,2021,660.0,5774.0,9568.0,16002.0
65,Western Pacific,2011,128.0,2489.0,4163.0,6780.0
66,Western Pacific,2012,80.0,2686.0,4032.0,6798.0
67,Western Pacific,2013,136.0,2700.0,4820.0,7656.0
68,Western Pacific,2014,114.0,2967.0,5604.0,8685.0
69,Western Pacific,2015,133.0,2768.0,5466.0,8367.0
70,Western Pacific,2016,178.0,2911.0,5682.0,8771.0
71,Western Pacific,2017,239.0,3784.0,6653.0,10676.0
72,Western Pacific,2018,321.0,4893.0,9220.0,14434.0
73,Western Pacific,2019,409.0,7088.0,10247.0,17744.0
74,Western Pacific,2020,789.0,8992.0,15057.0,24838.0
75,Western Pacific,2021,1400.0,16462.0,26151.0,44013.0
