,Year,WHO,Climate,Health,Intersection
1,2011,African,0.74,0.95,0.21
8,2012,African,0.5,0.88,0.15
15,2013,African,0.45,0.88,0.14
22,2014,African,0.51,0.84,0.13
29,2015,African,0.5,0.91,0.14
36,2016,African,0.56,0.91,0.18
43,2017,African,0.49,0.83,0.17
50,2018,African,0.53,0.87,0.15
56,2019,African,0.55,0.88,0.19
63,2020,African,0.61,0.85,0.25
70,2021,African,0.61,0.86,0.33
2,2011,Americas,0.68,0.76,0.26
9,2012,Americas,0.63,0.74,0.26
16,2013,Americas,0.6,0.72,0.23
23,2014,Americas,0.56,0.72,0.18
30,2015,Americas,0.59,0.76,0.21
37,2016,Americas,0.55,0.67,0.2
44,2017,Americas,0.65,0.69,0.28
51,2018,Americas,0.61,0.67,0.26
57,2019,Americas,0.64,0.7,0.29
64,2020,Americas,0.73,0.77,0.39
71,2021,Americas,0.77,0.8,0.54
3,2011,Eastern Mediterranean,0.51,0.83,0.2
10,2012,Eastern Mediterranean,0.54,0.76,0.22
17,2013,Eastern Mediterranean,0.39,0.78,0.11
24,2014,Eastern Mediterranean,0.43,0.7,0.06
31,2015,Eastern Mediterranean,0.49,0.8,0.09
38,2016,Eastern Mediterranean,0.49,0.81,0.12
45,2017,Eastern Mediterranean,0.49,0.83,0.09
52,2018,Eastern Mediterranean,0.51,0.82,0.16
58,2019,Eastern Mediterranean,0.54,0.84,0.18
65,2020,Eastern Mediterranean,0.57,0.83,0.22
72,2021,Eastern Mediterranean,0.59,0.92,0.28
4,2011,European,0.72,0.84,0.24
11,2012,European,0.69,0.83,0.2
18,2013,European,0.64,0.81,0.16
25,2014,European,0.64,0.8,0.19
32,2015,European,0.64,0.8,0.2
39,2016,European,0.63,0.8,0.2
46,2017,European,0.65,0.79,0.2
53,2018,European,0.67,0.82,0.24
59,2019,European,0.69,0.85,0.25
66,2020,European,0.74,0.85,0.34
73,2021,European,0.76,0.86,0.43
5,2011,South-East Asian,0.74,0.83,0.31
12,2012,South-East Asian,0.7,0.83,0.32
19,2013,South-East Asian,0.71,0.85,0.28
26,2014,South-East Asian,0.65,0.87,0.26
33,2015,South-East Asian,0.66,0.82,0.3
40,2016,South-East Asian,0.62,0.8,0.25
47,2017,South-East Asian,0.66,0.88,0.3
54,2018,South-East Asian,0.63,0.85,0.27
60,2019,South-East Asian,0.65,0.87,0.35
67,2020,South-East Asian,0.65,0.87,0.32
74,2021,South-East Asian,0.69,0.87,0.44
6,2011,Western Pacific,0.79,0.84,0.32
13,2012,Western Pacific,0.73,0.85,0.25
20,2013,Western Pacific,0.71,0.84,0.27
27,2014,Western Pacific,0.69,0.82,0.28
34,2015,Western Pacific,0.67,0.85,0.3
41,2016,Western Pacific,0.69,0.84,0.27
48,2017,Western Pacific,0.75,0.84,0.32
55,2018,Western Pacific,0.77,0.85,0.39
61,2019,Western Pacific,0.76,0.86,0.37
68,2020,Western Pacific,0.83,0.91,0.54
75,2021,Western Pacific,0.79,0.87,0.56
