,Year,SIDS,Climate,Health,Intersection
1,2011,SIDS,0.55,0.7,0.25
5,2012,SIDS,0.5,0.7,0.2
9,2013,SIDS,0.66,0.75,0.19
13,2014,SIDS,0.5,0.77,0.27
17,2015,SIDS,0.56,0.79,0.21
21,2016,SIDS,0.61,0.77,0.19
25,2017,SIDS,0.65,0.87,0.39
29,2018,SIDS,0.73,0.94,0.36
33,2019,SIDS,0.72,0.94,0.4
37,2020,SIDS,0.75,0.89,0.48
41,2021,SIDS,0.79,0.89,0.6
2,2011,Tier 1,0.72,0.82,0.25
6,2012,Tier 1,0.69,0.82,0.21
10,2013,Tier 1,0.64,0.81,0.18
14,2014,Tier 1,0.64,0.8,0.19
18,2015,Tier 1,0.64,0.8,0.21
22,2016,Tier 1,0.63,0.8,0.21
26,2017,Tier 1,0.66,0.8,0.22
30,2018,Tier 1,0.68,0.82,0.25
34,2019,Tier 1,0.7,0.84,0.26
38,2020,Tier 1,0.75,0.85,0.35
42,2021,Tier 1,0.77,0.86,0.45
3,2011,Tier 2,0.76,0.81,0.29
7,2012,Tier 2,0.69,0.8,0.23
11,2013,Tier 2,0.7,0.84,0.3
15,2014,Tier 2,0.63,0.85,0.21
19,2015,Tier 2,0.64,0.8,0.21
23,2016,Tier 2,0.64,0.81,0.26
27,2017,Tier 2,0.7,0.83,0.26
31,2018,Tier 2,0.69,0.82,0.29
35,2019,Tier 2,0.73,0.88,0.35
39,2020,Tier 2,0.72,0.85,0.4
43,2021,Tier 2,0.7,0.81,0.45
