,SIDS,Year,intersection,climate,health,sum
11,SIDS,2011,18.0,218.0,432.0,668.0
12,SIDS,2012,18.0,365.0,554.0,937.0
13,SIDS,2013,15.0,306.0,642.0,963.0
14,SIDS,2014,16.0,282.0,506.0,804.0
15,SIDS,2015,17.0,289.0,501.0,807.0
16,SIDS,2016,30.0,212.0,358.0,600.0
17,SIDS,2017,26.0,284.0,585.0,895.0
18,SIDS,2018,53.0,390.0,784.0,1227.0
19,SIDS,2019,66.0,669.0,1157.0,1892.0
20,SIDS,2020,107.0,758.0,1320.0,2185.0
21,SIDS,2021,284.0,1592.0,4434.0,6310.0
22,Tier 1,2011,602.0,8846.0,15950.0,25398.0
23,Tier 1,2012,608.0,9548.0,19680.0,29836.0
24,Tier 1,2013,668.0,9597.0,20017.0,30282.0
25,Tier 1,2014,696.0,11254.0,24617.0,36567.0
26,Tier 1,2015,762.0,10603.0,24069.0,35434.0
27,Tier 1,2016,975.0,11893.0,25031.0,37899.0
28,Tier 1,2017,1059.0,12219.0,25214.0,38492.0
29,Tier 1,2018,961.0,12868.0,26413.0,40242.0
30,Tier 1,2019,1288.0,16506.0,29357.0,47151.0
31,Tier 1,2020,1722.0,21545.0,34245.0,57512.0
32,Tier 1,2021,4620.0,38622.0,79302.0,122544.0
33,Tier 2,2011,146.0,1743.0,2910.0,4799.0
34,Tier 2,2012,85.0,1752.0,3137.0,4974.0
35,Tier 2,2013,155.0,1816.0,3739.0,5710.0
36,Tier 2,2014,104.0,1654.0,3350.0,5108.0
37,Tier 2,2015,123.0,1809.0,4345.0,6277.0
38,Tier 2,2016,146.0,2300.0,4581.0,7027.0
39,Tier 2,2017,136.0,2116.0,3873.0,6125.0
40,Tier 2,2018,231.0,2340.0,4037.0,6608.0
41,Tier 2,2019,228.0,3250.0,5602.0,9080.0
42,Tier 2,2020,305.0,3083.0,5156.0,8544.0
43,Tier 2,2021,633.0,5837.0,11275.0,17745.0
