,Year,HDI,Climate,Health,Intersection
0,2011,HIGH HUMAN DEVELOPMENT,1.0,1.0,0.0
3,2012,HIGH HUMAN DEVELOPMENT,0.33,0.67,0.33
6,2013,HIGH HUMAN DEVELOPMENT,0.43,0.43,0.0
9,2014,HIGH HUMAN DEVELOPMENT,0.0,0.5,0.0
12,2015,HIGH HUMAN DEVELOPMENT,0.29,0.57,0.0
15,2016,HIGH HUMAN DEVELOPMENT,0.6,0.4,0.2
19,2017,HIGH HUMAN DEVELOPMENT,0.5,0.5,0.0
23,2018,HIGH HUMAN DEVELOPMENT,0.71,0.57,0.29
27,2019,HIGH HUMAN DEVELOPMENT,0.83,0.83,0.17
31,2020,HIGH HUMAN DEVELOPMENT,0.83,0.83,0.33
35,2021,HIGH HUMAN DEVELOPMENT,0.5,0.62,0.38
16,2016,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
20,2017,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
24,2018,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
28,2019,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
32,2020,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
36,2021,LOW HUMAN DEVELOPMENT,0.0,1.0,0.0
1,2011,MEDIUM HUMAN DEVELOPMENT,0.25,1.0,0.0
4,2012,MEDIUM HUMAN DEVELOPMENT,0.5,1.0,0.5
7,2013,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
10,2014,MEDIUM HUMAN DEVELOPMENT,0.2,1.0,0.2
13,2015,MEDIUM HUMAN DEVELOPMENT,0.17,1.0,0.17
17,2016,MEDIUM HUMAN DEVELOPMENT,0.25,1.0,0.25
21,2017,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
25,2018,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
29,2019,MEDIUM HUMAN DEVELOPMENT,0.0,1.0,0.0
33,2020,MEDIUM HUMAN DEVELOPMENT,0.5,1.0,0.0
37,2021,MEDIUM HUMAN DEVELOPMENT,0.2,1.0,0.2
2,2011,VERY HIGH HUMAN DEVELOPMENT,0.8,1.0,0.0
5,2012,VERY HIGH HUMAN DEVELOPMENT,0.43,0.93,0.07
8,2013,VERY HIGH HUMAN DEVELOPMENT,0.26,0.87,0.04
11,2014,VERY HIGH HUMAN DEVELOPMENT,0.38,0.86,0.14
14,2015,VERY HIGH HUMAN DEVELOPMENT,0.53,1.0,0.18
18,2016,VERY HIGH HUMAN DEVELOPMENT,0.36,0.82,0.18
22,2017,VERY HIGH HUMAN DEVELOPMENT,0.5,0.88,0.08
26,2018,VERY HIGH HUMAN DEVELOPMENT,0.73,0.96,0.35
30,2019,VERY HIGH HUMAN DEVELOPMENT,0.72,0.97,0.34
34,2020,VERY HIGH HUMAN DEVELOPMENT,0.66,0.89,0.32
38,2021,VERY HIGH HUMAN DEVELOPMENT,0.8,0.96,0.49
