,WHO,Year,intersection,climate,health,sum
10,African,2011,60.0,435.0,852.0,1347.0
11,African,2012,17.0,227.0,979.0,1223.0
12,African,2013,38.0,408.0,1521.0,1967.0
13,African,2014,73.0,525.0,1582.0,2180.0
14,African,2015,49.0,643.0,2047.0,2739.0
15,African,2016,40.0,660.0,2105.0,2805.0
16,African,2017,54.0,470.0,1456.0,1980.0
17,African,2018,25.0,377.0,1255.0,1657.0
18,African,2019,57.0,524.0,1582.0,2163.0
19,African,2020,51.0,470.0,996.0,1517.0
20,African,2021,196.0,1264.0,3455.0,4915.0
21,Americas,2011,292.0,3880.0,13328.0,17500.0
22,Americas,2012,282.0,4796.0,16897.0,21975.0
23,Americas,2013,320.0,4646.0,20879.0,25845.0
24,Americas,2014,338.0,4993.0,21682.0,27013.0
25,Americas,2015,390.0,4731.0,20747.0,25868.0
26,Americas,2016,476.0,5047.0,19336.0,24859.0
27,Americas,2017,523.0,5879.0,21277.0,27679.0
28,Americas,2018,548.0,5663.0,21374.0,27585.0
29,Americas,2019,546.0,6932.0,21110.0,28588.0
30,Americas,2020,799.0,8356.0,21549.0,30704.0
31,Americas,2021,2498.0,16553.0,58455.0,77506.0
32,Eastern Mediterranean,2011,17.0,114.0,505.0,636.0
33,Eastern Mediterranean,2012,26.0,222.0,1211.0,1459.0
34,Eastern Mediterranean,2013,31.0,189.0,1160.0,1380.0
35,Eastern Mediterranean,2014,13.0,179.0,748.0,940.0
36,Eastern Mediterranean,2015,12.0,280.0,1158.0,1450.0
37,Eastern Mediterranean,2016,27.0,354.0,1169.0,1550.0
38,Eastern Mediterranean,2017,27.0,358.0,1166.0,1551.0
39,Eastern Mediterranean,2018,40.0,756.0,1750.0,2546.0
40,Eastern Mediterranean,2019,42.0,711.0,1826.0,2579.0
41,Eastern Mediterranean,2020,49.0,448.0,1597.0,2094.0
42,Eastern Mediterranean,2021,118.0,796.0,3309.0,4223.0
43,European,2011,584.0,9306.0,19685.0,29575.0
44,European,2012,612.0,10671.0,24817.0,36100.0
45,European,2013,695.0,11052.0,25356.0,37103.0
46,European,2014,671.0,11779.0,26867.0,39317.0
47,European,2015,664.0,11225.0,27132.0,39021.0
48,European,2016,815.0,12637.0,28914.0,42366.0
49,European,2017,966.0,13354.0,30037.0,44357.0
50,European,2018,957.0,14245.0,33493.0,48695.0
51,European,2019,1314.0,18662.0,38467.0,58443.0
52,European,2020,1740.0,23376.0,42691.0,67807.0
53,European,2021,4988.0,44218.0,101154.0,150360.0
54,South-East Asian,2011,121.0,3021.0,3168.0,6310.0
55,South-East Asian,2012,154.0,3689.0,4257.0,8100.0
56,South-East Asian,2013,232.0,3258.0,4683.0,8173.0
57,South-East Asian,2014,215.0,2890.0,4892.0,7997.0
58,South-East Asian,2015,188.0,2816.0,5151.0,8155.0
59,South-East Asian,2016,205.0,2662.0,4421.0,7288.0
60,South-East Asian,2017,227.0,2864.0,5369.0,8460.0
61,South-East Asian,2018,163.0,2122.0,4273.0,6558.0
62,South-East Asian,2019,272.0,2475.0,4498.0,7245.0
63,South-East Asian,2020,265.0,2464.0,4145.0,6874.0
64,South-East Asian,2021,701.0,6275.0,10356.0,17332.0
65,Western Pacific,2011,137.0,2903.0,5470.0,8510.0
66,Western Pacific,2012,91.0,3126.0,5657.0,8874.0
67,Western Pacific,2013,149.0,3111.0,7004.0,10264.0
68,Western Pacific,2014,122.0,3193.0,7068.0,10383.0
69,Western Pacific,2015,146.0,3020.0,6976.0,10142.0
70,Western Pacific,2016,222.0,3410.0,7177.0,10809.0
71,Western Pacific,2017,286.0,4421.0,8757.0,13464.0
72,Western Pacific,2018,341.0,5260.0,11060.0,16661.0
73,Western Pacific,2019,429.0,7514.0,13044.0,20987.0
74,Western Pacific,2020,879.0,10122.0,18172.0,29173.0
75,Western Pacific,2021,1709.0,18290.0,31694.0,51693.0
