,Year,HDI,Climate,Health,Intersection
1,2011,HIGH HUMAN DEVELOPMENT,0.61,0.85,0.2
6,2012,HIGH HUMAN DEVELOPMENT,0.59,0.85,0.14
11,2013,HIGH HUMAN DEVELOPMENT,0.57,0.87,0.15
16,2014,HIGH HUMAN DEVELOPMENT,0.55,0.86,0.15
21,2015,HIGH HUMAN DEVELOPMENT,0.53,0.86,0.13
26,2016,HIGH HUMAN DEVELOPMENT,0.5,0.84,0.15
31,2017,HIGH HUMAN DEVELOPMENT,0.52,0.85,0.15
36,2018,HIGH HUMAN DEVELOPMENT,0.52,0.83,0.15
41,2019,HIGH HUMAN DEVELOPMENT,0.55,0.85,0.17
46,2020,HIGH HUMAN DEVELOPMENT,0.61,0.88,0.23
51,2021,HIGH HUMAN DEVELOPMENT,0.63,0.88,0.31
2,2011,LOW HUMAN DEVELOPMENT,0.67,0.87,0.2
7,2012,LOW HUMAN DEVELOPMENT,0.33,0.73,0.07
12,2013,LOW HUMAN DEVELOPMENT,0.21,0.71,0.04
17,2014,LOW HUMAN DEVELOPMENT,0.21,0.68,0.0
22,2015,LOW HUMAN DEVELOPMENT,0.46,0.79,0.11
27,2016,LOW HUMAN DEVELOPMENT,0.32,0.71,0.1
32,2017,LOW HUMAN DEVELOPMENT,0.32,0.79,0.09
37,2018,LOW HUMAN DEVELOPMENT,0.41,0.78,0.12
42,2019,LOW HUMAN DEVELOPMENT,0.47,0.79,0.14
47,2020,LOW HUMAN DEVELOPMENT,0.5,0.75,0.21
52,2021,LOW HUMAN DEVELOPMENT,0.58,0.77,0.23
3,2011,MEDIUM HUMAN DEVELOPMENT,0.55,0.81,0.2
8,2012,MEDIUM HUMAN DEVELOPMENT,0.53,0.86,0.22
13,2013,MEDIUM HUMAN DEVELOPMENT,0.51,0.83,0.13
18,2014,MEDIUM HUMAN DEVELOPMENT,0.53,0.81,0.11
23,2015,MEDIUM HUMAN DEVELOPMENT,0.48,0.8,0.13
28,2016,MEDIUM HUMAN DEVELOPMENT,0.53,0.84,0.14
33,2017,MEDIUM HUMAN DEVELOPMENT,0.53,0.83,0.14
38,2018,MEDIUM HUMAN DEVELOPMENT,0.51,0.85,0.15
43,2019,MEDIUM HUMAN DEVELOPMENT,0.57,0.84,0.21
48,2020,MEDIUM HUMAN DEVELOPMENT,0.55,0.84,0.19
53,2021,MEDIUM HUMAN DEVELOPMENT,0.62,0.89,0.32
4,2011,VERY HIGH HUMAN DEVELOPMENT,0.66,0.83,0.19
9,2012,VERY HIGH HUMAN DEVELOPMENT,0.59,0.79,0.15
14,2013,VERY HIGH HUMAN DEVELOPMENT,0.58,0.79,0.15
19,2014,VERY HIGH HUMAN DEVELOPMENT,0.58,0.81,0.15
24,2015,VERY HIGH HUMAN DEVELOPMENT,0.6,0.81,0.17
29,2016,VERY HIGH HUMAN DEVELOPMENT,0.59,0.82,0.16
34,2017,VERY HIGH HUMAN DEVELOPMENT,0.61,0.82,0.18
39,2018,VERY HIGH HUMAN DEVELOPMENT,0.62,0.83,0.21
44,2019,VERY HIGH HUMAN DEVELOPMENT,0.65,0.85,0.22
49,2020,VERY HIGH HUMAN DEVELOPMENT,0.73,0.88,0.31
54,2021,VERY HIGH HUMAN DEVELOPMENT,0.75,0.89,0.4
