,Sector,intersection,climate,health
0,Aerospace & Defense,302.0,2229.0,5663.0
1,Alternative Energy,406.0,5106.0,5767.0
2,Automobiles & Parts,615.0,10133.0,17018.0
3,Banks,599.0,11899.0,19309.0
4,Basic Resources,0.0,3.0,12.0
5,Beverages,588.0,7181.0,16830.0
6,Chemicals,1949.0,13618.0,39019.0
7,Construction & Materials,1534.0,20551.0,52187.0
8,Diversified,1077.0,11572.0,26848.0
9,Electricity,998.0,18488.0,29181.0
10,Electronic & Electrical Equ...,482.0,6754.0,15831.0
11,Equity Investment Instruments,91.0,836.0,2037.0
12,Financial Services,1890.0,33341.0,41706.0
13,Fixed Line Telecommunications,301.0,3439.0,8692.0
14,Food & Beverage,0.0,16.0,86.0
15,Food & Drug Retailers,207.0,2241.0,6181.0
16,Food Producers,1974.0,13588.0,58982.0
17,Forestry & Paper,324.0,6482.0,7969.0
18,"Gas, Water & Multiutilities",621.0,10435.0,17877.0
19,General Industrials,1872.0,22249.0,51169.0
20,General Retailers,582.0,11009.0,22639.0
21,Health Care,0.0,7.0,50.0
22,Health Care Equipment & Ser...,728.0,3377.0,40035.0
23,Household Goods & Home Cons...,348.0,6133.0,11825.0
24,Industrial Engineering,584.0,6746.0,15290.0
25,Industrial Goods & Services,0.0,65.0,762.0
26,Industrial Metals & Mining,784.0,9547.0,25286.0
27,Industrial Transportation,673.0,8714.0,17516.0
28,Leisure Goods,64.0,1905.0,3299.0
29,Life Insurance,273.0,1937.0,10419.0
30,Media,194.0,4414.0,9876.0
31,Mining,415.0,4114.0,12968.0
32,Mobile Telecommunications,465.0,5805.0,11466.0
33,Nonequity Investment Instru...,25.0,185.0,517.0
34,Nonlife Insurance,238.0,1936.0,8324.0
35,Not Applicable,189.0,3333.0,14349.0
36,Oil & Gas,2.0,7.0,36.0
37,Oil & Gas Producers,1487.0,18314.0,32126.0
38,"Oil Equipment, Services & D...",232.0,2652.0,6897.0
39,Other,0.0,7.0,22.0
40,Personal Goods,378.0,4662.0,11914.0
41,Pharmaceuticals & Biotechno...,1696.0,7120.0,63263.0
42,Real Estate,17.0,57.0,118.0
43,Real Estate Investment & Se...,526.0,7436.0,12965.0
44,Real Estate Investment Trusts,313.0,2257.0,2799.0
45,Retail,3.0,47.0,397.0
46,Software & Computer Services,670.0,9242.0,19063.0
47,Support Services,1488.0,20429.0,53867.0
48,Technology,0.0,6.0,32.0
49,Technology Hardware & Equip...,692.0,11553.0,20338.0
50,Tobacco,2.0,48.0,137.0
51,Travel & Leisure,496.0,8421.0,15736.0
