,Sector,Climate,Health,Intersection,Year
0,Aerospace & Defense,0.63,0.8,0.21,2021
1,Alternative Energy,0.84,0.88,0.36,2021
2,Automobiles & Parts,0.55,0.87,0.23,2021
3,Banks,0.74,0.89,0.25,2021
4,Basic Resources,0.38,0.75,0.0,2021
5,Beverages,0.74,0.86,0.29,2021
6,Chemicals,0.7,0.91,0.36,2021
7,Construction & Materials,0.62,0.86,0.22,2021
8,Diversified,0.68,0.87,0.25,2021
9,Electricity,0.84,0.91,0.34,2021
10,Electronic & Electrical Equ...,0.55,0.79,0.16,2021
11,Equity Investment Instruments,0.59,0.78,0.23,2021
12,Financial Services,0.71,0.81,0.22,2021
13,Fixed Line Telecommunications,0.68,0.83,0.24,2021
14,Food & Beverage,1.0,1.0,0.0,2021
15,Food & Drug Retailers,0.69,0.88,0.32,2021
16,Food Producers,0.65,0.9,0.27,2021
17,Forestry & Paper,0.69,0.85,0.24,2021
18,"Gas, Water & Multiutilities",0.77,0.89,0.32,2021
19,General Industrials,0.59,0.83,0.2,2021
20,General Retailers,0.6,0.8,0.18,2021
21,Health Care,0.5,1.0,0.0,2021
22,Health Care Equipment & Ser...,0.53,0.92,0.19,2021
23,Household Goods & Home Cons...,0.65,0.9,0.28,2021
24,Industrial Engineering,0.53,0.83,0.16,2021
25,Industrial Goods & Services,0.48,0.8,0.0,2021
26,Industrial Metals & Mining,0.71,0.91,0.26,2021
27,Industrial Transportation,0.65,0.85,0.23,2021
28,Leisure Goods,0.63,0.79,0.19,2021
29,Life Insurance,0.71,0.86,0.28,2021
30,Media,0.47,0.74,0.06,2021
31,Mining,0.68,0.89,0.41,2021
32,Mobile Telecommunications,0.75,0.9,0.33,2021
33,Nonequity Investment Instru...,0.7,0.87,0.43,2021
34,Nonlife Insurance,0.72,0.84,0.22,2021
35,Not Applicable,0.56,0.77,0.15,2021
36,Oil & Gas,0.6,1.0,0.2,2021
37,Oil & Gas Producers,0.78,0.92,0.4,2021
38,"Oil Equipment, Services & D...",0.63,0.88,0.25,2021
39,Other,0.75,1.0,0.0,2021
40,Personal Goods,0.59,0.83,0.17,2021
41,Pharmaceuticals & Biotechno...,0.67,0.93,0.39,2021
42,Real Estate,1.0,1.0,0.71,2021
43,Real Estate Investment & Se...,0.7,0.82,0.28,2021
44,Real Estate Investment Trusts,0.83,0.92,0.57,2021
45,Retail,0.43,0.95,0.05,2021
46,Software & Computer Services,0.47,0.77,0.1,2021
47,Support Services,0.49,0.79,0.11,2021
48,Technology,1.0,1.0,0.0,2021
49,Technology Hardware & Equip...,0.62,0.84,0.22,2021
50,Tobacco,1.0,1.0,0.17,2021
51,Travel & Leisure,0.72,0.87,0.21,2021
