year,who_region,climate_references,health_references,intersection_references
1970,Africa,0,10,0
1971,Africa,0,21,0
1972,Africa,0,29,0
1973,Africa,0,23,0
1974,Africa,0,15,0
1975,Africa,0,17,0
1976,Africa,0,25,0
1977,Africa,0,30,0
1978,Africa,0,31,0
1979,Africa,0,46,0
1980,Africa,1,47,0
1981,Africa,1,31,0
1982,Africa,3,20,0
1983,Africa,0,27,0
1984,Africa,0,44,0
1985,Africa,1,46,0
1986,Africa,0,47,0
1987,Africa,0,37,0
1988,Africa,1,51,0
1989,Africa,6,45,0
1990,Africa,6,44,0
1991,Africa,3,34,0
1992,Africa,6,43,0
1993,Africa,2,35,0
1994,Africa,4,48,0
1995,Africa,2,62,0
1996,Africa,4,53,0
1997,Africa,8,42,0
1998,Africa,3,45,0
1999,Africa,1,90,0
2000,Africa,1,121,0
2001,Africa,3,135,0
2002,Africa,1,126,0
2003,Africa,5,134,0
2004,Africa,9,125,0
2005,Africa,4,107,3
2006,Africa,9,120,11
2007,Africa,215,108,32
2008,Africa,93,100,14
2009,Africa,181,92,17
2010,Africa,120,91,12
2011,Africa,103,83,9
2012,Africa,42,79,5
2013,Africa,41,120,13
2014,Africa,103,247,8
2015,Africa,111,118,16
2016,Africa,160,103,12
2017,Africa,151,74,8
2018,Africa,93,70,11
2019,Africa,271,146,30
2020,Africa,108,522,69
2021,Africa,191,491,50
1971,Eastern Mediterranean,0,7,0
1972,Eastern Mediterranean,0,6,0
1973,Eastern Mediterranean,0,6,0
1974,Eastern Mediterranean,0,11,0
1975,Eastern Mediterranean,0,3,0
1976,Eastern Mediterranean,0,5,0
1977,Eastern Mediterranean,0,13,0
1978,Eastern Mediterranean,0,6,0
1979,Eastern Mediterranean,0,11,0
1980,Eastern Mediterranean,0,12,0
1981,Eastern Mediterranean,0,8,0
1982,Eastern Mediterranean,0,9,0
1983,Eastern Mediterranean,0,6,0
1984,Eastern Mediterranean,0,12,0
1985,Eastern Mediterranean,0,9,0
1986,Eastern Mediterranean,1,12,0
1987,Eastern Mediterranean,0,13,0
1988,Eastern Mediterranean,0,11,0
1989,Eastern Mediterranean,1,11,1
1990,Eastern Mediterranean,1,17,0
1991,Eastern Mediterranean,0,14,0
1992,Eastern Mediterranean,1,18,0
1993,Eastern Mediterranean,1,23,0
1994,Eastern Mediterranean,2,14,0
1995,Eastern Mediterranean,1,9,0
1996,Eastern Mediterranean,0,18,0
1997,Eastern Mediterranean,0,13,0
1998,Eastern Mediterranean,1,14,0
1999,Eastern Mediterranean,1,24,0
2000,Eastern Mediterranean,0,43,0
2001,Eastern Mediterranean,2,18,0
2002,Eastern Mediterranean,1,28,1
2003,Eastern Mediterranean,0,20,0
2004,Eastern Mediterranean,0,24,0
2005,Eastern Mediterranean,0,15,0
2006,Eastern Mediterranean,0,19,0
2007,Eastern Mediterranean,27,21,2
2008,Eastern Mediterranean,36,14,0
