year,tier_region,climate_references,health_references,intersection_references
1970,SIDS,0,4,0
1971,SIDS,0,6,0
1972,SIDS,0,10,0
1973,SIDS,1,6,0
1974,SIDS,0,6,0
1975,SIDS,0,5,0
1976,SIDS,0,6,0
1977,SIDS,0,19,0
1978,SIDS,0,19,0
1979,SIDS,0,34,0
1980,SIDS,1,17,0
1981,SIDS,0,26,0
1982,SIDS,0,12,0
1983,SIDS,2,18,0
1984,SIDS,0,23,0
1985,SIDS,0,34,0
1986,SIDS,0,19,0
1987,SIDS,1,24,0
1988,SIDS,5,24,0
1989,SIDS,21,20,0
1990,SIDS,15,31,0
1991,SIDS,46,32,1
1992,SIDS,33,24,0
1993,SIDS,21,35,4
1994,SIDS,18,34,0
1995,SIDS,40,30,2
1996,SIDS,35,40,2
1997,SIDS,35,21,0
1998,SIDS,52,30,1
1999,SIDS,42,33,4
2000,SIDS,29,104,2
2001,SIDS,62,91,11
2002,SIDS,42,93,5
2003,SIDS,46,97,4
2004,SIDS,50,80,4
2005,SIDS,59,94,2
2006,SIDS,76,75,15
2007,SIDS,276,93,18
2008,SIDS,269,77,18
2009,SIDS,356,87,31
2010,SIDS,236,117,29
2011,SIDS,219,171,33
2012,SIDS,212,85,14
2013,SIDS,196,137,12
2014,SIDS,276,173,50
2015,SIDS,283,75,16
2016,SIDS,261,109,28
2017,SIDS,268,89,16
2018,SIDS,268,119,30
2019,SIDS,403,115,43
2020,SIDS,179,499,104
2021,SIDS,299,440,107
1970,Tier 1,0,1,0
1971,Tier 1,0,2,0
1972,Tier 1,0,4,0
1973,Tier 1,0,1,0
1974,Tier 1,0,2,0
1975,Tier 1,0,3,0
1976,Tier 1,0,2,0
1978,Tier 1,3,3,0
1979,Tier 1,1,2,0
1980,Tier 1,0,1,0
1981,Tier 1,0,5,0
1982,Tier 1,0,1,0
1984,Tier 1,0,1,0
1985,Tier 1,0,2,0
1986,Tier 1,0,1,0
1987,Tier 1,0,1,0
1988,Tier 1,0,4,0
1989,Tier 1,1,1,0
1991,Tier 1,0,1,0
1992,Tier 1,1,0,0
1993,Tier 1,0,10,0
1994,Tier 1,0,2,0
1995,Tier 1,0,4,0
1996,Tier 1,1,2,0
1997,Tier 1,2,3,0
1998,Tier 1,0,2,0
1999,Tier 1,1,12,2
2000,Tier 1,1,2,0
2001,Tier 1,0,2,0
2002,Tier 1,0,1,0
2003,Tier 1,0,15,0
2004,Tier 1,0,3,0
2005,Tier 1,0,7,0
2007,Tier 1,11,14,2
2008,Tier 1,1,8,1
2009,Tier 1,11,14,5
2010,Tier 1,1,1,0
2011,Tier 1,1,10,2
2013,Tier 1,4,2,0
2014,Tier 1,6,10,3
2015,Tier 1,2,3,0
2016,Tier 1,7,7,0
2017,Tier 1,2,4,0
2018,Tier 1,2,0,0
2019,Tier 1,2,6,0
2020,Tier 1,5,8,1
2021,Tier 1,17,19,3
1970,Tier 2,0,7,0
1971,Tier 2,0,5,0
1972,Tier 2,0,4,0
1973,Tier 2,0,1,0
1974,Tier 2,0,1,0
1976,Tier 2,0,2,0
1977,Tier 2,1,9,0
1978,Tier 2,2,4,0
1979,Tier 2,0,4,0
1980,Tier 2,0,1,0
1981,Tier 2,0,3,0
1982,Tier 2,0,2,0
1983,Tier 2,0,2,0
1984,Tier 2,0,7,0
1985,Tier 2,0,11,0
1986,Tier 2,0,8,0
1987,Tier 2,0,10,0
1988,Tier 2,2,8,0
1989,Tier 2,6,9,0
1990,Tier 2,3,8,1
1991,Tier 2,1,0,0
1992,Tier 2,1,3,0
1993,Tier 2,0,5,0
1994,Tier 2,1,6,0
1995,Tier 2,1,18,0
1996,Tier 2,4,7,3
1997,Tier 2,11,6,0
1998,Tier 2,2,6,0
1999,Tier 2,4,16,1
2000,Tier 2,3,11,0
2001,Tier 2,2,13,0
2002,Tier 2,3,6,1
2003,Tier 2,2,10,0
2004,Tier 2,4,7,0
2005,Tier 2,6,11,2
2006,Tier 2,21,16,1
2007,Tier 2,76,10,1
2008,Tier 2,40,6,2
2009,Tier 2,55,15,4
2010,Tier 2,47,10,9
2011,Tier 2,19,7,1
2012,Tier 2,9,19,0
2013,Tier 2,14,11,2
2014,Tier 2,16,21,2
2015,Tier 2,33,9,1
2016,Tier 2,31,5,4
2017,Tier 2,28,11,1
2018,Tier 2,28,15,2
2019,Tier 2,50,28,4
2020,Tier 2,15,111,6
2021,Tier 2,47,77,13
