year,Code,country,Count
2020,CHL,Chile,17
2020,SYC,Seychelles,15
2020,FJI,Fiji,11
2020,FSM,Micronesia,11
2020,AND,Andorra,10
2020,BLZ,Belize,9
2020,ESP,Spain,9
2020,GUY,Guyana,8
2020,NRU,Nauru,8
2020,SLB,Solomon Islands,8
2020,TUV,Tuvalu,8
2020,WSM,Samoa,8
2020,FRA,France,7
2020,ISL,Iceland,7
2020,ITA,Italy,7
2020,SGP,Singapore,7
2020,SLE,Sierra Leone,7
2020,TJK,Tajikistan,7
2020,TON,Tonga,7
2020,CRI,Costa Rica,6
2020,KNA,Saint Kitts and Nevis,6
2020,KOR,South Korea,6
2020,LCA,Saint Lucia,6
2020,MHL,Marshall Islands,6
2020,NGA,Nigeria,6
2020,NPL,Nepal,6
2020,PAK,Pakistan,6
2020,SEN,Senegal,6
2020,UGA,Uganda,6
2020,VUT,Vanuatu,6
2020,AFG,Afghanistan,5
2020,ALB,Albania,5
2020,BEL,Belgium,5
2020,BRB,Barbados,5
2020,BWA,Botswana,5
2020,COD,Democratic Republic of the Congo,5
2020,DJI,Djibouti,5
2020,HND,Honduras,5
2020,KEN,Kenya,5
2020,KIR,Kiribati,5
2020,LTU,Lithuania,5
2020,MDV,Maldives,5
2020,NOR,Norway,5
2020,PLW,Palau,5
2020,PRT,Portugal,5
2020,SUR,Suriname,5
2020,TCD,Chad,5
2020,ATG,Antigua and Barbuda,4
2020,BEN,Benin,4
2020,ETH,Ethiopia,4
2020,FIN,Finland,4
2020,GNB,Guinea-Bissau,4
2020,KAZ,Kazakhstan,4
2020,KHM,Cambodia,4
2020,LAO,Lao People's Democratic Republic,4
2020,LIE,Liechtenstein,4
2020,NZL,New Zealand,4
2020,PHL,Philippines,4
2020,PNG,Papua New Guinea,4
2020,SMR,San Marino,4
2020,SVK,Slovakia,4
2020,BDI,Burundi,3
2020,CHN,China,3
2020,CMR,Cameroon,3
2020,COL,Colombia,3
2020,EST,Estonia,3
2020,GAB,Gabon,3
2020,GRC,Greece,3
2020,IRL,Ireland,3
2020,KGZ,Kyrgyzstan,3
2020,LSO,Lesotho,3
2020,MCO,Monaco,3
2020,MLT,Malta,3
2020,MOZ,Mozambique,3
2020,MYS,Malaysia,3
2020,"NAM",Namibia,3
2020,PER,Peru,3
2020,SWE,Sweden,3
2020,TTO,Trinidad and Tobago,3
2020,VEN,Venezuela,3
2020,AUT,Austria,2
2020,AZE,Azerbaijan,2
2020,BFA,Burkina Faso,2
2020,BGR,Bulgaria,2
2020,BRA,Brazil,2
2020,BTN,Bhutan,2
2020,CAN,Canada,2
2020,CIV,Ivory Coast,2
2020,DEU,Germany,2
2020,DMA,Dominica,2
2020,DOM,Dominican Republic,2
2020,EU,NA,2
2020,GRD,Grenada,2
2020,GTM,Guatemala,2
2020,HRV,Croatia,2
2020,JAM,Jamaica,2
2020,LVA,Latvia,2
2020,MWI,Malawi,2
2020,NIC,Nicaragua,2
2020,QAT,Qatar,2
2020,RWA,Rwanda,2
2020,SRB,Serbia,2
2020,SVN,Slovenia,2
2020,URY,Uruguay,2
2020,USA,United States,2
2020,VAT,Holy See (Vatican City State),2
2020,VCT,Saint Vincent and the Grenadines,2
2020,ZAF,South Africa,2
2020,ARE,United Arab Emirates,1
2020,AUS,Australia,1
2020,BHS,Bahamas,1
2020,CAF,Central African Republic,1
2020,CHE,Switzerland,1
2020,CPV,Cape Verde,1
2020,CUB,Cuba,1
2020,CZE,Czech Republic,1
2020,DNK,Denmark,1
2020,ECU,Ecuador,1
2020,EGY,Egypt,1
2020,GBR,United Kingdom,1
2020,GEO,Georgia,1
2020,GIN,Guinea,1
2020,GMB,Gambia,1
2020,GNQ,Equatorial Guinea,1
2020,HTI,Haiti,1
2020,IRQ,Iraq,1
2020,KWT,Kuwait,1
2020,MAR,Morocco,1
2020,MDA,Moldova,1
2020,MKD,Macedonia,1
2020,MNG,Mongolia,1
2020,MUS,Mauritius,1
2020,NLD,Netherlands,1
2020,PRY,Paraguay,1
2020,ROU,Romania,1
2020,RUS,Russian Federation,1
2020,RUS,Russia,1
2020,SAU,Saudi Arabia,1
2020,SDN,Sudan,1
2020,SOM,Somalia,1
2020,STP,Sao Tome and Principe,1
2020,TGO,Togo,1
2020,THA,Thailand,1
2020,TLS,Timor-Leste,1
2020,TUR,Turkey,1
2020,UZB,Uzbekistan,1
2020,ZWE,Zimbabwe,1
2020,AGO,Angola,0
2020,ARG,Argentina,0
2020,ARM,Armenia,0
2020,BGD,Bangladesh,0
2020,BHR,Bahrain,0
2020,BIH,Bosnia and Herzegovina,0
2020,BLR,Belarus,0
2020,BOL,Bolivia,0
2020,COG,Republic of the Congo,0
2020,COM,Comoros,0
2020,CYP,Cyprus,0
2020,DZA,Algeria,0
2020,ERI,Eritrea,0
2020,GHA,Ghana,0
2020,HUN,Hungary,0
2020,IDN,Indonesia,0
2020,IND,India,0
2020,IRN,NA,0
2020,ISR,Israel,0
2020,JOR,Jordan,0
2020,JPN,Japan,0
2020,LBN,Lebanon,0
2020,LBR,Liberia,0
2020,LBY,Libyan Arab Jamahiriya,0
2020,LBY,Libya,0
2020,LKA,Sri Lanka,0
2020,LUX,Luxembourg,0
2020,MDG,Madagascar,0
2020,MEX,Mexico,0
2020,MMR,Myanmar,0
2020,MNE,Montenegro,0
2020,MRT,Mauritania,0
2020,NER,Niger,0
2020,OMN,Oman,0
2020,PAN,Panama,0
2020,POL,Poland,0
2020,PRK,Democratic People's Republic of Korea,0
2020,SLV,El Salvador,0
2020,SWZ,Swaziland,0
2020,SYR,Syrian Arab Republic,0
2020,TKM,Turkmenistan,0
2020,TUN,Tunisia,0
2020,TZA,Tanzania,0
2020,UKR,Ukraine,0
2020,VNM,Viet Nam,0
2020,ZMB,Zambia,0
