Language,Code,Counts
English,en,21025
Spanish,es,10161
French,fr,3408
Portuguese ,pt,1179
German,de,947
Japanese,ja,503
Korean,ko,275
Italian,it,266
Danish,da,252
Turkish,tr,224
Chinese (Simplified),zh-cn,161
Swedish,sv,132
Russian,ru,111
Polish,pl,77
Ukrainian,uk,69
Croatian,hr,67
Lithuanian,lt,66
Norwegian,no,57
-,en (mixed),51
Bulgarian,bg,43
Greek,el,33
Catalan,ca,20
Finnish,fi,10
Macedonian,mk,10
Latvian,lv,4
Czech,cs,3
Slovenian,sl,2
Estonian,et,1
Hungarian,hu,1
Vietnamese,vi,1
Total,-,39159
