year,HDI Level (2021),total_counts,climate_prop,health_prop,intersection_prop
1970,Very High,10,0,1,0
1971,Very High,12,0,1,0
1972,Very High,15,0,1,0
1973,Very High,12,0,1,0
1974,Very High,13,0,1,0
1975,Very High,10,0,1,0
1976,Very High,11,0,1,0
1977,Very High,17,0.12,0.88,0
1978,Very High,20,0.2,0.9,0
1979,Very High,12,0.08,1,0
1980,Very High,20,0.05,0.95,0
1981,Very High,17,0,1,0
1982,Very High,16,0,1,0
1983,Very High,10,0,1,0
1984,Very High,18,0,1,0
1985,Very High,27,0,1,0
1986,Very High,22,0,1,0
1987,Very High,20,0,1,0
1988,Very High,20,0.35,1,0.1
1989,Very High,30,0.6,0.73,0.07
1990,Very High,27,0.44,0.74,0.04
1991,Very High,22,0.55,0.59,0.05
1992,Very High,24,0.33,0.75,0
1993,Very High,23,0.3,0.83,0
1994,Very High,27,0.15,0.93,0
1995,Very High,27,0.37,0.89,0.11
1996,Very High,26,0.42,0.81,0.04
1997,Very High,30,0.47,0.83,0
1998,Very High,29,0.55,0.76,0.07
1999,Very High,31,0.32,0.9,0.06
2000,Very High,40,0.4,0.88,0
2001,Very High,33,0.3,0.88,0
2002,Very High,34,0.26,0.91,0.06
2003,Very High,36,0.22,0.94,0.08
2004,Very High,38,0.34,0.89,0.03
2005,Very High,39,0.28,0.87,0.03
2006,Very High,43,0.37,0.91,0.12
2007,Very High,61,0.95,0.51,0.2
2008,Very High,59,0.9,0.61,0.14
2009,Very High,63,0.94,0.54,0.21
2010,Very High,60,0.87,0.55,0.22
2011,Very High,52,0.83,0.67,0.23
2012,Very High,42,0.81,0.62,0.12
2013,Very High,46,0.65,0.74,0.07
2014,Very High,54,0.83,0.74,0.3
2015,Very High,55,0.84,0.62,0.11
2016,Very High,55,0.91,0.53,0.13
2017,Very High,55,0.85,0.56,0.05
2018,Very High,60,0.88,0.57,0.22
2019,Very High,59,0.95,0.61,0.25
2020,Very High,64,0.83,1,0.53
2021,Very High,65,0.91,1,0.72
2022,Very High,65,0.92,0.89,0.52
1970,Medium,7,0,1,0
1971,Medium,8,0,1,0
1972,Medium,10,0,1,0
1973,Medium,10,0,1,0
1974,Medium,10,0,1,0
1975,Medium,5,0,1,0
1976,Medium,8,0,1,0
1977,Medium,18,0,1,0
1978,Medium,13,0,1,0
1979,Medium,15,0,1,0
1980,Medium,16,0,1,0
1981,Medium,12,0.08,1,0
1982,Medium,11,0.09,0.91,0
1983,Medium,15,0,1,0
1984,Medium,15,0,1,0
1985,Medium,19,0,1,0
1986,Medium,14,0,1,0
1987,Medium,15,0,1,0
1988,Medium,15,0.2,0.93,0
1989,Medium,17,0.35,0.88,0
1990,Medium,19,0.11,0.89,0
1991,Medium,24,0.46,0.75,0.04
1992,Medium,22,0.27,0.77,0
1993,Medium,22,0.18,0.91,0
1994,Medium,28,0.25,0.96,0
1995,Medium,26,0.19,0.96,0
1996,Medium,29,0.24,0.93,0.03
1997,Medium,20,0.35,0.7,0
1998,Medium,23,0.35,0.78,0
1999,Medium,28,0.18,0.89,0.04
2000,Medium,30,0.33,0.9,0.03
2001,Medium,33,0.39,0.97,0.09
2002,Medium,33,0.3,0.88,0.09
