Year,Speeches,Climate (N),Climate (Prop)
1970,70,0,0
1971,116,0,0
1972,125,0,0
1973,120,1,0.01
1974,129,0,0
1975,126,0,0
1976,134,0,0
1977,140,2,0.01
1978,141,4,0.03
1979,144,2,0.01
1980,149,3,0.02
1981,145,2,0.01
1982,147,2,0.01
1983,149,1,0.01
1984,150,0,0
1985,137,1,0.01
1986,149,2,0.01
1987,152,1,0.01
1988,154,16,0.1
1989,153,35,0.23
1990,156,23,0.15
1991,162,30,0.19
1992,167,29,0.17
1993,175,18,0.1
1994,178,15,0.08
1995,172,22,0.13
1996,181,25,0.14
1997,176,31,0.18
1998,181,30,0.17
1999,181,18,0.1
2000,178,33,0.19
2001,189,32,0.17
2002,188,30,0.16
2003,189,24,0.13
2004,192,28,0.15
2005,185,32,0.17
2006,193,36,0.19
2007,191,161,0.84
2008,192,157,0.82
2009,193,172,0.89
2010,189,155,0.82
2011,194,137,0.71
2012,195,110,0.56
2013,193,100,0.52
2014,194,134,0.69
2015,193,147,0.76
2016,194,156,0.8
2017,196,158,0.81
2018,196,147,0.75
2019,195,175,0.9
2020,193,147,0.76
2021,194,176,0.91
2022,193,175,0.91
