Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,1,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,1,0
1986,0,0,0
1987,0,1,0
1988,2,1,1
1989,0,1,0
1990,2,0,0
1991,0,0,0
1992,0,0,0
1993,0,1,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,2,1,1
1999,0,0,0
2000,0,3,0
2001,1,0,0
2002,1,0,0
2003,1,0,0
2004,1,2,0
2005,2,0,0
2006,2,1,0
2007,3,0,0
2008,5,1,1
2009,4,0,0
2010,5,0,0
2011,1,0,0
2012,3,0,0
2013,0,0,0
2014,0,3,0
2015,0,0,0
2016,1,0,0
2017,1,0,0
2018,1,0,0
2019,7,0,0
2020,2,14,3
2021,2,9,2
2022,1,5,1
