Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,2,0
1975,0,1,0
1976,0,0,0
1977,0,1,0
1978,0,4,0
1979,0,5,0
1980,0,5,0
1981,0,2,0
1982,0,2,0
1983,0,0,0
1984,0,2,0
1985,0,6,0
1986,0,3,0
1987,0,0,0
1988,0,2,0
1989,2,6,0
1990,1,0,0
1991,0,1,0
1992,0,2,0
1993,0,2,0
1994,0,3,0
1995,0,2,0
1996,1,2,0
1997,0,1,0
1998,2,2,0
1999,0,3,0
2000,0,1,0
2001,0,2,0
2002,0,1,0
2003,0,2,0
2004,0,1,0
2005,0,4,0
2006,0,2,0
2007,5,0,0
2008,2,1,0
2009,11,7,1
2010,14,8,2
2011,7,5,0
2012,9,7,5
2013,5,3,0
2014,6,3,0
2015,5,2,0
2016,1,4,0
2017,2,1,0
2018,2,12,0
2019,5,5,0
2020,0,26,0
2021,3,17,3
2022,6,18,2
