Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,1,0
1984,0,0,0
1985,0,2,0
1986,0,0,0
1987,0,0,0
1988,0,1,0
1989,3,1,0
1990,0,4,0
1991,1,2,0
1992,0,2,0
1993,1,1,0
1994,1,1,0
1995,1,0,0
1996,0,0,0
1997,1,0,0
1998,0,2,0
1999,0,1,0
2000,2,0,0
2001,3,4,0
2002,0,1,0
2003,0,0,0
2004,1,0,0
2005,5,3,0
2006,0,0,0
2007,12,0,0
2008,2,3,0
2009,8,3,0
2010,0,1,0
2011,9,13,11
2012,6,2,0
2013,5,6,0
2014,9,10,4
2015,14,3,1
2016,3,2,1
2017,3,3,1
2018,3,3,0
2019,8,1,0
2020,9,18,0
2021,9,15,4
2022,10,6,3
