Year,Climate,Health,Intersection
1970,0,1,0
1971,0,0,0
1972,0,3,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,1,0
1977,0,3,0
1978,0,1,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,5,0
1984,0,0,0
1985,0,4,0
1986,0,1,0
1987,0,1,0
1988,0,3,0
1989,1,0,0
1990,0,5,0
1991,0,0,0
1992,0,2,0
1993,0,2,0
1994,1,1,0
1995,0,0,0
1996,0,2,0
1997,0,0,0
1998,0,1,0
1999,0,3,0
2000,0,3,0
2001,1,2,0
2002,0,2,0
2003,0,0,0
2004,0,2,0
2005,1,1,0
2006,0,1,0
2007,6,0,0
2008,2,2,0
2009,9,3,0
2010,4,2,0
2011,2,1,0
2012,2,0,0
2013,3,1,0
2014,5,0,0
2015,4,1,0
2016,6,0,0
2017,8,2,0
2018,3,1,0
2019,8,0,0
2020,6,14,6
2021,12,9,4
2022,5,3,2
