Year,Climate,Health,Intersection
1970,0,0,0
1971,0,1,0
1972,0,0,0
1973,0,1,0
1974,0,0,0
1975,0,1,0
1976,0,0,0
1977,0,2,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,1,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,2,0,0
1990,1,0,0
1991,2,0,0
1992,5,0,0
1993,2,1,0
1994,0,2,0
1995,4,2,1
1996,5,3,0
1997,4,0,0
1998,0,1,0
1999,0,3,0
2000,0,1,0
2001,0,2,0
2002,1,1,0
2003,0,3,0
2004,0,5,0
2005,0,5,0
2006,0,0,0
2007,1,0,0
2008,6,0,0
2009,16,1,1
2010,2,0,0
2011,5,11,0
2012,1,1,0
2013,2,0,0
2014,3,1,0
2015,8,4,0
2016,8,0,0
2017,14,1,0
2018,14,1,4
2019,21,2,0
2020,11,10,7
2021,10,7,3
2022,7,4,2
