Year,Climate,Health,Intersection
1970,0,1,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,1,0
1984,0,0,0
1985,0,0,0
1986,0,1,0
1987,0,0,0
1988,0,0,0
1989,2,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,2,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,2,7,1
2000,0,0,0
2001,0,2,0
2002,1,2,1
2003,0,0,0
2004,0,0,0
2005,1,6,1
2006,0,1,0
2007,0,1,0
2008,2,0,0
2009,2,4,0
2010,1,2,1
2011,0,0,0
2012,1,5,0
2013,6,2,2
2014,0,3,0
2015,8,0,0
2016,9,0,0
2017,9,5,0
2018,10,7,1
2019,17,8,1
2020,7,32,3
2021,1,6,0
2022,3,13,0
