Year,Climate,Health,Intersection
1970,0,0,0
1971,0,1,0
1972,0,0,0
1973,0,1,0
1974,0,0,0
1975,0,0,0
1976,0,1,0
1977,0,0,0
1978,0,0,0
1979,0,4,0
1980,0,2,0
1981,0,1,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,6,0
1989,1,2,0
1990,0,0,0
1991,0,1,0
1992,0,1,0
1993,0,0,0
1994,0,3,0
1995,0,3,0
1996,0,2,0
1997,1,0,0
1998,0,3,0
1999,0,0,0
2000,1,2,0
2001,1,2,0
2002,0,5,0
2003,0,3,0
2004,0,1,0
2005,1,4,2
2006,0,5,0
2007,5,4,0
2008,7,4,0
2009,3,0,0
2010,4,0,0
2011,3,1,0
2012,1,1,0
2013,2,4,0
2014,7,5,0
2015,10,4,0
2016,6,0,0
2017,3,0,0
2018,5,0,0
2019,8,2,2
2020,3,6,0
2021,8,6,0
2022,7,5,0
