Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,5,0
1979,0,4,0
1980,0,0,0
1981,0,0,0
1982,0,2,0
1983,0,2,0
1984,0,0,0
1985,0,0,0
1986,0,1,0
1987,0,3,0
1988,0,4,0
1989,0,1,0
1990,1,0,0
1991,1,0,0
1992,1,1,0
1993,0,1,0
1994,1,1,0
1995,0,0,0
1996,0,2,0
1997,0,0,0
1998,0,2,0
1999,0,0,0
2000,0,7,0
2001,0,1,0
2002,0,15,0
2003,2,2,0
2004,0,1,0
2005,0,4,0
2006,0,2,0
2007,15,0,0
2008,8,5,5
2009,17,0,0
2010,2,6,0
2011,9,2,1
2012,4,1,1
2013,7,0,0
2014,13,1,0
2015,10,0,0
2016,12,7,0
2017,7,8,0
2018,7,7,1
2019,9,0,0
2020,2,8,2
2021,6,17,8
2022,13,13,1
