Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,2,0
1973,0,0,0
1974,0,4,0
1975,0,0,0
1976,0,1,0
1977,0,0,0
1978,0,3,0
1979,0,0,0
1980,0,0,0
1981,0,2,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,1,0
1987,0,1,0
1988,0,0,0
1989,0,2,0
1990,0,1,0
1991,0,0,0
1992,0,0,0
1993,0,3,0
1994,0,2,0
1995,1,1,0
1996,0,2,0
1997,1,1,0
1998,1,0,0
1999,0,6,0
2000,0,1,0
2001,0,1,0
2002,0,1,0
2003,0,1,0
2004,0,1,0
2005,0,2,0
2006,0,1,0
2007,11,0,0
2008,11,4,2
2009,13,0,0
2010,16,2,2
2011,7,2,3
2012,6,1,0
2013,6,2,0
2014,1,8,0
2015,0,0,0
2016,14,1,0
2017,5,1,0
2018,1,0,0
2019,12,13,0
2020,8,12,8
2021,9,12,2
2022,10,10,0
