Year,Climate,Health,Intersection
1970,0,0,0
1971,0,1,0
1972,0,1,0
1973,0,0,0
1974,0,1,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,0,0
1979,0,1,0
1980,0,0,0
1981,0,2,0
1982,0,0,0
1983,0,1,0
1984,0,1,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,3,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,3,0
1994,0,1,0
1995,0,2,0
1996,0,2,0
1997,1,0,0
1998,0,0,0
1999,0,1,0
2000,0,0,0
2001,1,2,0
2002,1,0,0
2003,2,5,0
2004,0,2,0
2005,0,2,0
2006,0,4,0
2007,9,3,0
2008,5,1,0
2009,9,1,0
2010,3,2,2
2011,0,1,0
2012,1,2,0
2013,2,2,0
2014,3,2,2
2015,1,6,0
2016,4,1,0
2017,3,1,0
2018,4,3,0
2019,3,2,0
2020,0,4,0
2021,3,7,1
2022,4,6,0
