Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,1,0,0
1979,0,3,0
1980,0,1,0
1981,0,1,0
1982,0,1,0
1983,0,0,0
1984,0,1,0
1985,0,1,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,3,7,1
1990,2,1,0
1991,2,0,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,1,3,1
1996,2,2,0
1997,3,0,0
1998,0,1,0
1999,1,2,0
2000,2,5,0
2001,0,0,0
2002,0,0,0
2003,1,4,0
2004,1,0,0
2005,0,2,0
2006,0,4,0
2007,9,0,0
2008,2,1,0
2009,5,2,0
2010,4,9,0
2011,1,2,1
2012,2,0,0
2013,0,10,0
2014,0,4,0
2015,0,6,0
2016,1,0,0
2017,0,1,0
2018,0,1,0
2019,0,1,0
2020,0,18,0
2021,7,23,5
2022,1,8,2
