Year,Climate,Health,Intersection
1970,0,2,0
1971,0,0,0
1972,0,2,0
1973,0,1,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,2,0
1981,0,0,0
1982,2,0,0
1983,0,2,0
1984,0,2,0
1985,0,4,0
1986,0,2,0
1987,0,1,0
1988,0,2,0
1989,0,0,0
1990,0,0,0
1991,0,0,0
1992,0,0,0
1993,0,1,0
1994,1,2,0
1995,0,1,0
1996,0,1,0
1997,0,1,0
1998,0,0,0
1999,0,5,0
2000,0,8,0
2001,0,3,0
2002,0,3,0
2003,0,5,0
2004,0,3,0
2005,0,1,0
2006,0,0,0
2007,2,0,0
2008,2,0,0
2009,5,1,0
2010,4,4,2
2011,3,0,0
2012,2,3,0
2013,0,0,0
2014,3,10,1
2015,6,0,0
2016,2,3,0
2017,6,3,2
2018,0,0,0
2019,13,5,2
2020,5,15,0
2021,5,6,0
2022,8,27,5
