Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,0,0
1990,0,0,0
1991,5,0,0
1992,2,1,0
1993,3,1,0
1994,4,1,0
1995,1,7,0
1996,7,3,0
1997,7,0,0
1998,0,0,0
1999,7,2,4
2000,3,7,0
2001,2,2,1
2002,2,1,0
2003,2,1,0
2004,7,3,2
2005,5,12,2
2006,3,3,0
2007,6,1,0
2008,11,0,0
2009,7,1,0
2010,10,1,0
2011,7,4,2
2012,3,1,0
2013,3,0,0
2014,5,2,2
2015,4,5,0
2016,2,2,0
2017,5,2,1
2018,7,3,1
2019,4,7,1
2020,6,4,5
2021,3,3,0
2022,11,3,0
