Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,2,0
1973,0,0,0
1974,0,0,0
1975,0,1,0
1976,0,0,0
1977,0,1,0
1978,0,0,0
1979,0,0,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,1,0
1986,0,2,0
1987,0,3,0
1988,0,0,0
1989,0,0,0
1990,0,1,0
1991,0,0,0
1992,1,4,0
1993,0,0,0
1994,0,5,0
1995,0,6,0
1996,0,1,0
1997,0,1,0
1998,0,0,0
1999,0,7,0
2000,0,3,0
2001,0,4,0
2002,0,11,0
2003,0,1,0
2004,0,4,0
2005,0,6,0
2006,0,0,0
2007,0,20,0
2008,2,2,0
2009,4,0,0
2010,14,10,5
2011,7,0,0
2012,1,5,0
2013,0,8,0
2014,0,5,0
2015,0,6,0
2016,6,6,3
2017,4,1,0
2018,6,3,2
2019,5,2,0
2020,2,11,1
2021,3,7,0
2022,7,7,3
