Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,1,0
1974,0,0,0
1975,0,1,0
1976,0,1,0
1977,0,0,0
1978,0,0,0
1979,0,1,0
1980,0,0,0
1981,0,1,0
1982,0,2,0
1983,0,0,0
1984,0,0,0
1985,0,1,0
1986,0,2,0
1987,0,0,0
1988,0,0,0
1989,0,1,0
1990,0,2,0
1991,1,0,0
1992,0,1,0
1993,0,0,0
1994,0,0,0
1995,0,0,0
1996,0,0,0
1997,0,0,0
1998,0,0,0
1999,0,6,0
2000,0,6,0
2001,0,7,0
2002,0,8,0
2003,0,5,0
2004,0,9,0
2005,0,2,0
2006,0,5,0
2007,5,4,0
2008,1,4,2
2009,4,10,2
2010,0,5,0
2011,1,4,1
2012,0,2,0
2013,1,1,0
2014,2,4,1
2015,3,3,0
2016,7,0,0
2017,0,0,0
2018,3,0,0
2019,4,0,0
2020,6,11,0
2021,5,12,3
2022,10,3,0
