Year,Climate,Health,Intersection
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,4,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,0,0
1978,0,0,0
1979,0,1,0
1980,0,0,0
1981,0,0,0
1982,0,0,0
1983,0,0,0
1984,0,0,0
1985,0,0,0
1986,0,0,0
1987,0,1,0
1988,0,0,0
1989,4,0,0
1990,2,0,0
1991,1,4,0
1992,0,2,0
1993,1,0,0
1994,0,0,0
1995,0,0,0
1996,1,1,0
1997,0,4,0
1998,0,2,0
1999,0,0,0
2000,0,4,0
2001,0,1,0
2002,0,1,0
2003,0,1,0
2004,4,0,0
2005,0,1,0
2006,0,8,0
2007,6,7,0
2008,6,8,0
2009,2,7,0
2010,2,3,0
2011,1,1,0
2012,0,0,0
2013,1,1,0
2014,1,3,0
2015,4,1,0
2016,2,5,0
2017,1,2,0
2018,3,11,2
2019,10,1,0
2020,5,16,1
2021,5,13,1
2022,13,7,2
