Year,Climate,Health,Intersection
1970,0,1,0
1971,0,1,0
1972,0,1,0
1973,0,1,0
1974,0,0,0
1975,0,0,0
1976,0,0,0
1977,0,1,0
1978,0,0,0
1979,0,0,0
1980,0,3,0
1981,0,1,0
1982,0,1,0
1983,0,0,0
1984,0,0,0
1985,1,0,0
1986,0,0,0
1987,0,0,0
1988,0,0,0
1989,0,1,0
1990,0,3,0
1991,0,1,0
1992,0,0,0
1993,0,0,0
1994,0,0,0
1995,0,1,0
1996,0,0,0
1997,0,1,0
1998,0,2,0
1999,0,1,0
2000,0,5,0
2001,0,0,0
2002,0,3,0
2003,0,3,0
2004,0,5,0
2005,0,3,0
2006,0,1,0
2007,4,0,0
2008,3,0,0
2009,4,0,0
2010,1,0,0
2011,0,0,0
2012,0,0,0
2013,0,0,0
2014,1,0,0
2015,0,1,0
2016,2,0,0
2017,2,0,0
2018,0,0,0
2019,4,7,3
2020,2,8,0
2021,2,5,2
2022,1,6,0
